,trading_days,total_return,annualized_return,annualized_volatility,return_1M,return_3M,return_6M,return_1Y,portfolio_max_drawdown,rolling_max_drawdown_30d,rolling_max_drawdown_252d,downside_deviation_annualized,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,asset_count,sector_count,largest_sector_pct,top_3_holdings_pct,top_5_holdings_pct,hhi,sector_automobile_and_auto_components_pct,sector_capital_goods_pct,sector_chemicals_pct,sector_construction_pct,sector_construction_materials_pct,sector_consumer_durables_pct,sector_consumer_services_pct,sector_fmcg_pct,sector_financial_services_pct,sector_healthcare_pct,sector_information_technology_pct,sector_metals_&_mining_pct,sector_oil_gas_&_consumable_fuels_pct,sector_power_pct,sector_realty_pct,sector_services_pct,sector_telecommunication_pct,sector_textiles_pct,diversification_score,portfolio_beta,risk_score,concentration_warning,volatility_warning,diversification_warning
trading_days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_return,,1.0,0.9094411010719213,0.40964795053323605,0.10796017970699305,0.15079793358085825,0.3209877857120713,0.3439980174167551,-0.06670903174227907,-0.3049670461504111,-0.14489260763081338,0.37206250441703526,0.7062660568520631,0.7426357539314861,0.5945322571211733,-0.02887054397830821,-0.04973193076872389,-0.010275951792531062,0.002095676961505236,0.007326519941131365,-0.039998111951373184,-0.18362739968336877,0.12543837614973138,0.3079927211416591,-0.04472652906016898,-0.11666387957939231,-0.024364450327137948,-0.004350271053903832,-0.0012651004819412546,0.08654050846450771,-0.04972303390518451,-0.03575352231036112,0.16467254300318207,0.038055637065243335,0.03974668659506942,-0.016962870891514364,-0.113271187368606,-0.0018999355154553424,-0.11529053412766971,0.04000857052392483,0.37033671483001196,0.12063173408505881,-0.029417164204498185,0.33467005287859497,0.045431205374789126
annualized_return,,0.9094411010719213,1.0,0.41088499436644615,0.09748239183175952,0.18178105329671254,0.3752186470901436,0.39692854126398436,-0.08161924821669198,-0.35225201344040347,-0.1684537920173992,0.38382024448828894,0.8396931644986825,0.8674692509433797,0.6642683295291952,-0.011093317090240246,-0.04173974518104824,-0.06747369421490261,-0.04526156357845318,-0.030300655012441186,-0.1078431288124777,-0.21424605549100786,0.11798501894955254,0.32056854512108207,-0.05550470486684057,-0.12986421747842566,0.0035989575831470843,0.009090368356182613,-0.06759447482603707,0.11285900158414407,-0.017221713742499284,-0.013421066848679964,0.22015593549884552,0.059212726543736174,0.06644823285374296,0.007590210792100851,-0.17756045791207897,-0.0033951672188981302,-0.1283113390425581,0.1078535255276308,0.4410368496834666,0.11368325586101975,-0.06799274589844165,0.3069293241079427,0.03360580668740226
annualized_volatility,,0.40964795053323605,0.41088499436644615,1.0,-0.1652411529164394,0.10226918065262024,0.11130316095293802,0.09917041205506032,-0.5317153336114798,-0.43359503225967594,-0.5415914867365793,0.9783865156565859,-0.127510121692421,-0.06604439794186033,-0.08881987552214322,-0.4887115702236709,-0.4268536207405034,0.5361079613233645,0.6332171087859791,0.585836030799756,0.6417001600824866,0.0806664572316469,0.0039395169360346444,0.024870825109974615,-0.042069652643833375,0.018154747114271664,-0.004839095625666808,-0.0302192504495959,-0.17061962144062184,0.06684839064997537,-0.21075041647589468,-0.09154530283715036,0.25680409723880654,0.01927051225236361,0.0671367061730159,0.06473477765352385,-0.017447384379866572,-0.022144095871989584,0.19250828103572987,-0.6416926720081083,0.5765617374246051,0.717284612349792,0.5369840668231293,0.6795689279881423,0.4748126700185147
return_1M,,0.10796017970699305,0.09748239183175952,-0.1652411529164394,1.0,0.4694079606159781,0.24426957201381116,0.30573889584114916,0.07321636924075221,0.05568881898783628,0.04525785679475134,-0.15655398747845073,0.194794197678588,0.18249117116394403,0.15546544378891755,0.04182861736781131,-0.001038644071082931,-0.049428337515857484,-0.08099370567443916,-0.07303058466181661,-0.1240269826266812,0.061520194690386255,0.07544713063440349,0.13526310063193622,0.02107025892835924,-0.05705841135167186,0.016225221854579846,-0.07778625178633942,-0.09965933461084239,-0.20206340510846987,0.03965198087822566,0.2338013790730505,-0.0526363093503979,-0.06811427890623063,-0.08840861200636212,-0.15650851020281198,0.015245569762554416,-0.015109621687032476,-0.18467095781668244,0.1240235944834678,-0.09284306124854687,-0.11643725117637882,-0.05489713857413383,-0.1495580892604941,-0.06876090325149778
return_3M,,0.15079793358085825,0.18178105329671254,0.10226918065262024,0.4694079606159781,1.0,0.6780369718639919,0.5465229613285423,-0.16133301857827115,-0.05599573493540037,-0.152734341451519,0.09512767222909242,0.15124646461599056,0.1569759457171672,0.05345941795390044,0.04817206973805403,0.0203238115604886,-0.0167227471639119,-0.035081477029934756,-0.04951008594144958,-0.02694233034486222,-0.0102968104668711,0.07344541296443624,0.0922221346748061,-0.01576201795323307,-0.0878930653541172,0.029425920195350563,-0.05570205713331183,-0.2001834048987477,-0.21513652663646504,0.04438531626715223,0.23779612414002438,0.029084620028725958,-0.03399765462318778,-0.13225895536110788,0.030871692845996834,-0.11623099400497529,0.002915438365828039,0.07449794382974857,0.02693693611068716,0.0686982628624889,0.00374599789452885,-0.016030435295917297,0.0926132289400892,-0.0637898367873736
return_6M,,0.3209877857120713,0.3752186470901436,0.11130316095293802,0.24426957201381116,0.6780369718639919,1.0,0.7889583543206918,-0.1022031834888121,-0.03819318037464384,-0.11004883723676588,0.07387798327064041,0.34949621507548906,0.369886131315206,0.2310962232207268,0.014769406433623686,-0.029450598940325427,-0.0049703165675700255,-0.024720294104791242,-0.0310809117365629,-0.055926052729345706,-0.18803560087318402,0.25100804055265225,0.18221794971695207,-0.021891521722769244,-0.189557605315399,-0.024125752296032855,-0.07241478588616261,-0.14733395405669278,-0.1366065561868074,0.11158753044232157,0.1633572310176386,0.025274617099615426,-0.013343015887996369,-0.04199647739932136,-0.03828338344588026,-0.13559274310442757,-0.016554377444809542,0.004784288765424463,0.05591953357085913,0.0025221919008601374,-0.019659012411711096,-0.026214212860560464,0.13793750547516462,-0.018465153420913354
return_1Y,,0.3439980174167551,0.39692854126398436,0.09917041205506032,0.30573889584114916,0.5465229613285423,0.7889583543206918,1.0,-0.17511598540460613,-0.1780707903910839,-0.18288920064871886,0.08353514032569567,0.37176952882567355,0.3794395236031693,0.17849859773095325,-0.0026195210786326053,-0.058271997712928965,-0.047128274963601904,-0.053376474981947815,-0.050461333537205166,-0.1213604303865231,-0.038372701244235474,0.29899150292335697,0.060649567858695325,0.0010397000691029048,-0.17876322870338845,0.02686129642880731,-0.12628888263281685,-0.13962502850820155,0.054867263384507245,-0.018036416390050467,0.13048823824695072,0.02138433048726773,0.012402018233457464,-0.016172172941513695,-0.07552098186949285,-0.08864823723493694,-0.019300449307087172,-0.19992771132153045,0.12136166027442215,0.12248341430207343,-0.04746562514368342,-0.05604364997665996,0.13340250555574973,0.018559033589346536
portfolio_max_drawdown,,-0.06670903174227907,-0.08161924821669198,-0.5317153336114798,0.07321636924075221,-0.16133301857827115,-0.1022031834888121,-0.17511598540460613,1.0,0.6865651834236528,0.9323540801789433,-0.5684839978643008,0.21932987908605744,0.21249806053301878,0.6419114789414213,0.3112771876242385,0.2663015207647486,-0.145585660067614,-0.23393061111284233,-0.2449391219376991,-0.16274812420280188,-0.017529889737690835,-0.21600169418818385,0.15556517517596463,-0.04470686375106773,0.018516254484784726,-0.007017103565051408,0.08792177291507612,0.09007004148948612,-0.1626373765326992,0.3394780351609686,-0.07944406348119543,-0.1095008744139205,-0.022351405922483008,-0.030039854681933712,-0.10541094698063948,-0.06519640034328329,0.022794954310667977,-0.0892965685546263,0.1627518827150572,-0.4961637201492192,-0.33215208553977915,-0.20185095672390413,-0.3793560344205452,-0.2868787875749077
rolling_max_drawdown_30d,,-0.3049670461504111,-0.35225201344040347,-0.43359503225967594,0.05568881898783628,-0.05599573493540037,-0.03819318037464384,-0.1780707903910839,0.6865651834236528,1.0,0.81393492765667,-0.5146081999766758,-0.12463638557959597,-0.10135930224776528,0.29424089572396667,0.17901276102841754,0.1441268110791413,0.12013708645523273,0.019778834479659092,-0.03164597966103854,0.09946364217978686,0.027253792374797796,-0.10027100948988776,0.0403277176374558,-0.0763015112020608,-0.0560271411039913,-0.02625553354205246,0.03599540230734759,0.061876925795053786,-0.2835207278899079,0.4332429381011444,-0.13942081124849826,-0.20564074223538356,-0.09494228998872341,-0.006273322511880232,-0.18917760270112494,-0.04342107308292863,0.01398577099950359,0.09078876847470232,-0.09947103992638978,-0.6781928774449177,-0.16225441456503525,0.04065291774375789,-0.27673572006786723,-0.17282202344787928
