,count,mean,std,min,25%,50%,75%,max
trading_days,1000.0,2867.0,0.0,2867.0,2867.0,2867.0,2867.0,2867.0
total_return,1000.0,9.174590392978946,7.258869832079675,1.0879473173608831,5.235962051566953,7.463739616023512,10.230195387393088,95.04043008152281
annualized_return,1000.0,0.21202793707091402,0.04814086241005548,0.08658107499018647,0.18289908854864403,0.20682247780581214,0.23386458194398102,0.47179181408401344
annualized_volatility,1000.0,0.20428304810254452,0.0328607608542133,0.14383559175344632,0.18186035693931574,0.19899789958188593,0.2220037817651873,0.3771384429002164
return_1M,1000.0,0.0433926581499075,0.039195110568013856,-0.1031948890169192,0.016370529847065385,0.043776204505643235,0.06856641208816255,0.2283211262194491
return_3M,1000.0,0.10067866752795254,0.06317841963843887,-0.11814737916124463,0.06347342164583497,0.09952315495247133,0.13702594792071549,0.37690603949290846
return_6M,1000.0,0.1212188858914834,0.11508174572531989,-0.23574681997362912,0.03950640141233369,0.10671449595010929,0.18689860405907266,0.7291118588101206
return_1Y,1000.0,0.12735305169274724,0.16260937017312435,-0.3590942214242685,0.003289457856474609,0.12556880353297295,0.22913547816083912,0.9418820651285327
portfolio_max_drawdown,1000.0,-0.3923270924957171,0.09104965329320532,-0.7448185752284702,-0.4375848781594719,-0.3716874798887655,-0.33228784610910533,-0.1988183175864769
rolling_max_drawdown_30d,1000.0,-0.3430207504765498,0.0640310167923803,-0.5941300883522993,-0.37949600505885317,-0.3393977140376082,-0.3002376725167911,-0.17565040312053717
rolling_max_drawdown_252d,1000.0,-0.37097060356948935,0.07130193799770639,-0.6379828738208406,-0.4093891918388739,-0.3612998921054539,-0.3214062217889925,-0.1988183175864769
downside_deviation_annualized,1000.0,0.14067698728461295,0.020557702187412128,0.09465820712782792,0.12674917474850556,0.1379941027615626,0.1520571913265282,0.2624812241367389
portfolio_sharpe_ratio,1000.0,0.7484276080691081,0.2062013300054167,0.13589357153609607,0.6079479166646098,0.7529961807049228,0.879020298276358,1.352569132421336
portfolio_sortino_ratio,1000.0,1.0853229855439177,0.3038668170806448,0.19038924007459618,0.8869235733313587,1.0882979660511554,1.2628658699946431,2.0389100614558155
portfolio_calmar_ratio,1000.0,0.5657797436912361,0.17028998669545936,0.15230762180624807,0.44478416640378526,0.5517316072052754,0.6558259806085464,1.2362464072436443
asset_count,1000.0,12.299,4.654165903817812,5.0,8.0,12.0,16.0,20.0
sector_count,1000.0,7.792,2.239140404206433,2.0,6.0,8.0,9.0,14.0
largest_sector_pct,1000.0,0.4944714294199225,0.17813485295733764,0.16584417740729807,0.3562931304723103,0.459005303757111,0.6111645586139234,0.9825520712285958
top_3_holdings_pct,1000.0,0.7356780095587753,0.14619949875765467,0.36880753762138246,0.6256374426271573,0.7407707132723393,0.854695221102938,0.993659007357649
top_5_holdings_pct,1000.0,0.866806767901712,0.1065860446571762,0.5218039606013861,0.787004195295213,0.8839183038557534,0.9613535648009988,1.0
hhi,1000.0,0.2932950690007801,0.165232941732743,0.08216650419294179,0.17420861660143105,0.24224199449793032,0.36399967219136287,0.9343751546380243
sector_automobile_and_auto_components_pct,1000.0,0.14886964641194253,0.22364057243921762,0.0,0.0,0.03485385457718694,0.22432563964366475,0.9825520712285958
sector_capital_goods_pct,1000.0,0.1531298197534545,0.19833504372244762,0.0,0.0,0.06921125650513353,0.2416247467507635,0.9508431305255927
sector_chemicals_pct,1000.0,0.10169822242105775,0.16053850309345066,0.0,0.0,0.024499098772286537,0.13638600430949993,0.9099232029335594
sector_construction_pct,1000.0,0.010663879516854503,0.0466947415761678,0.0,0.0,0.0,0.0021382205156238333,0.7691017679669467
sector_construction_materials_pct,1000.0,0.05406268557133293,0.13764251337966787,0.0,0.0,0.0,0.021590497492891124,0.8850268162354709
