portfolio_id,ticker,quantity,purchase_price,purchase_date,sector
PORT_0001,DRREDDY.NS,810,1169.14,2025-01-01,Healthcare
PORT_0001,TATACHEM.NS,825,739.96,2025-01-01,Chemicals
PORT_0001,BIKAJI.NS,905,684.4,2025-01-01,FMCG
PORT_0001,MARICO.NS,204,916.34,2025-01-01,FMCG
PORT_0001,JBMA.NS,42,659.69,2025-01-01,Automobile and Auto Components
PORT_0001,IDFCFIRSTB.NS,964,80.14,2025-01-01,Financial Services
PORT_0001,RCF.NS,384,114.25,2025-01-01,Chemicals
PORT_0001,HINDALCO.NS,679,1260.08,2025-01-01,Metals & Mining
PORT_0001,ADANIPORTS.NS,374,1684.52,2025-01-01,Services
PORT_0001,ERIS.NS,785,1454.91,2025-01-01,Healthcare
PORT_0001,JSWSTEEL.NS,235,1221.57,2025-01-01,Metals & Mining
PORT_0002,CAPLIPOINT.NS,955,2977.61,2025-01-01,Healthcare
PORT_0002,ONGC.NS,203,198.85,2025-01-01,Oil Gas & Consumable Fuels
PORT_0002,RECLTD.NS,174,327.84,2025-01-01,Financial Services
PORT_0002,DCBBANK.NS,657,182.93,2025-01-01,Financial Services
PORT_0002,POLICYBZR.NS,842,1848.62,2025-01-01,Financial Services
PORT_0003,COROMANDEL.NS,237,2100.01,2025-01-01,Chemicals
PORT_0003,SCHAEFFLER.NS,43,4128.4,2025-01-01,Automobile and Auto Components
PORT_0003,RADICO.NS,945,4376.01,2025-01-01,FMCG
PORT_0003,SRF.NS,604,2488.2,2025-01-01,Chemicals
PORT_0003,BECTORFOOD.NS,622,212.11,2025-01-01,FMCG
PORT_0004,JBMA.NS,880,714.36,2025-01-01,Automobile and Auto Components
PORT_0004,SKFINDIA.NS,787,1393.6,2025-01-01,Capital Goods
PORT_0004,FEDERALBNK.NS,887,360.04,2025-01-01,Financial Services
PORT_0004,RBLBANK.NS,96,464.47,2025-01-01,Financial Services
PORT_0004,CDSL.NS,809,1442.72,2025-01-01,Financial Services
PORT_0004,TIMKEN.NS,358,3227.66,2025-01-01,Capital Goods
PORT_0004,NETWEB.NS,322,4389.91,2025-01-01,Information Technology
PORT_0004,POLYCAB.NS,993,8097.51,2025-01-01,Capital Goods
PORT_0004,GSFC.NS,776,130.25,2025-01-01,Chemicals
PORT_0004,HUDCO.NS,63,188.11,2025-01-01,Financial Services
PORT_0004,CARTRADE.NS,238,2433.87,2025-01-01,Consumer Services
PORT_0004,BHEL.NS,618,414.39,2025-01-01,Capital Goods
PORT_0004,BPCL.NS,273,269.57,2025-01-01,Oil Gas & Consumable Fuels
PORT_0004,SHOPERSTOP.NS,105,502.17,2025-01-01,Consumer Services
PORT_0005,HUDCO.NS,899,203.05,2025-01-01,Financial Services
PORT_0005,NTPC.NS,900,328.29,2025-01-01,Power
PORT_0005,SHRIRAMFIN.NS,699,1111.07,2025-01-01,Financial Services
PORT_0005,PRESTIGE.NS,154,1365.4,2025-01-01,Realty
PORT_0005,LUPIN.NS,169,2328.88,2025-01-01,Healthcare
