Price,Close,High,Low,Open,Volume
Ticker,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS
Date,,,,,
19-09-2019,258.0853577,258.0853577,245.7955787,245.7955787,7109860
20-09-2019,270.9844666,270.9844666,269.9687826,269.9687826,2760648
23-09-2019,284.5337219,284.5337219,284.5337219,284.5337219,34096
24-09-2019,298.7532959,298.7532959,298.7532959,298.7532959,2496652
25-09-2019,285.3970642,313.6838663,283.8227539,313.6838663,530580
26-09-2019,271.4212646,298.6111228,271.1368681,275.2503887,78256
27-09-2019,264.0880127,279.3131063,258.1970454,270.9844973,7044544
30-09-2019,250.8841248,277.281743,250.8841248,254.2358821,69396
01-10-2019,258.8572388,263.4278169,238.3404216,244.3735748,181556
03-10-2019,261.9956665,264.0676518,246.2017816,258.8572131,54700
04-10-2019,259.964325,262.6457208,249.0457217,254.3374454,41088
07-10-2019,259.8931885,264.0473255,252.1028983,262.0058158,33696
09-10-2019,251.0465851,261.8433099,247.8268721,259.8119421,63688
10-10-2019,242.0172272,253.9108738,239.9045992,244.01812,17264
11-10-2019,234.8159637,243.7539826,233.6073098,242.9414354,82748
14-10-2019,224.1919556,233.6175089,220.4034489,233.6175089,78136
15-10-2019,228.2344208,261.5894821,220.7183572,220.7284992,1193280
16-10-2019,233.3635559,239.4474929,224.0903564,224.0903564,17496
17-10-2019,239.9756317,243.7641376,226.700648,240.5139491,25044
18-10-2019,244.3227997,251.8896459,239.7014372,251.8896459,19864
22-10-2019,241.1945038,251.8896626,229.5547786,251.8896626,28188
23-10-2019,245.3892212,248.0096905,241.3569612,241.7327593,26960
24-10-2019,245.2267456,252.8951601,243.7540037,252.8951601,4612
25-10-2019,257.1203918,261.0307751,245.8056826,252.7021667,71760
27-10-2019,264.0982056,270.7814127,260.2182968,263.8645932,19848
29-10-2019,264.1794434,268.9531588,257.9837701,265.0935591,88912
30-10-2019,266.1600037,272.2033237,263.0723341,272.2033237,89444
31-10-2019,271.7277832,273.0685722,268.5651924,268.5754374,165132
01-11-2019,272.485199,274.0920818,270.4279631,271.2262946,96216
04-11-2019,269.1895752,276.9578964,258.0948684,272.6592151,53556
05-11-2019,262.60849,271.6357156,260.991362,271.6357156,23288
06-11-2019,264.0310669,273.068535,260.991291,273.068535,28080
07-11-2019,256.4776917,266.108793,255.6588954,265.883629,34124
08-11-2019,255.7714996,264.0618123,248.801486,260.8480468,24232
11-11-2019,257.7775574,262.0148183,251.2885816,254.6251866,23028
13-11-2019,252.8340607,255.4644387,247.8905731,255.4644387,54100
14-11-2019,250.5107422,257.9617687,246.8875535,257.9515487,14016
15-11-2019,251.6468353,258.1358118,248.7094082,250.4084208,50200
18-11-2019,248.9755402,252.5987045,247.4914716,247.4914716,15372
19-11-2019,251.3295441,254.6456592,249.2927732,249.2927732,23096
20-11-2019,253.878006,262.6288907,251.8617253,262.6288907,15648
21-11-2019,255.2392731,259.4458239,248.1464454,253.8268445,56868
22-11-2019,253.3457947,260.7763555,248.1464336,251.1657447,25476
25-11-2019,260.4693909,261.8101801,252.3019158,253.3458763,18524
26-11-2019,268.4219666,271.2058696,263.0281247,263.0281247,152500
27-11-2019,265.3719177,270.8066638,248.8220005,268.5140439,38632
28-11-2019,274.2558594,276.3437802,259.9780974,266.3135244,66972
29-11-2019,268.4423828,276.1390633,264.3176913,276.1288184,23172
02-12-2019,262.4856873,270.202834,259.763179,270.202834,11344
