Price,Close,High,Low,Open,Volume
Ticker,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS
Date,,,,,
2015-01-01,1113.428466796875,1138.622843807331,1088.1912987431685,1095.0352199804297,111455
2015-01-02,1101.8792724609375,1131.8216152377802,1098.4572542771107,1123.9082628918802,50549
2015-01-05,1102.1358642578125,1124.1220628581632,1099.312690729948,1110.4342206720114,39947
2015-01-06,1092.1265869140625,1101.8364728492886,1070.4824859869657,1100.5532016616212,64200
2015-01-07,1076.385498046875,1105.21573447775,1072.022421884426,1101.7937162136661,45574
2015-01-08,1101.8792724609375,1129.2551878721758,1081.3473934173526,1081.3473934173526,76715
2015-01-09,1082.2454833984375,1114.6259901475862,1074.5031814635504,1107.8247459352137,137732
2015-01-12,1083.9136962890625,1094.992434312739,1077.4119890192078,1088.9610833824768,38742
2015-01-13,1087.592529296875,1115.5672907831208,1083.058403844551,1083.9138796795698,90929
2015-01-14,1080.0640869140625,1113.8561271495453,1072.7923704046868,1086.4803276628677,58719
2015-01-15,1084.897705078125,1101.023832573217,1078.8236772428797,1079.6363620140337,47663
2015-01-16,1091.99853515625,1101.8795881736376,1072.7071307390202,1078.7811601165538,74290
2015-01-19,1089.13232421875,1120.7001501113732,1085.8386793129682,1095.8907781982246,104746
2015-01-20,1090.1588134765625,1113.8560776424938,1082.2027857301587,1090.8432400664722,73156
2015-01-21,1087.8492431640625,1105.2158525497034,1083.9139620003457,1090.7579992596725,49776
2015-01-22,1091.527587890625,1111.289570283049,1086.6940411288297,1091.6131699656078,56419
2015-01-23,1109.0653076171875,1128.2284466857768,1097.601680014002,1097.601680014002,169680
2015-01-27,1126.774169921875,1147.9904745227932,1113.5566843157305,1117.235333544959,171146
2015-01-28,1141.018310546875,1156.6310610012558,1129.2552588978754,1129.2552588978754,125523
2015-01-29,1117.491943359375,1139.3070920667221,1112.9578184722288,1137.8099807846304,46328
2015-01-30,1098.37158203125,1129.2550951790506,1089.0467011511703,1126.688552994429,45507
2015-02-02,1077.8826904296875,1107.8678272058542,1074.5034629566717,1095.0353440239535,65479
2015-02-03,1081.4754638671875,1095.0350460883774,1074.2037483818615,1081.3472057874903,47495
2015-02-04,1084.6409912109375,1102.6919091604984,1080.5773376053442,1089.217907261351,45751
2015-02-05,1082.5877685546875,1090.7578672394352,1073.8617313834222,1089.8168093544366,265480
2015-02-06,1095.420166015625,1102.6918822685286,1086.4802893428973,1087.2501829913515,56040
2015-02-09,1084.854736328125,1099.2271187908145,1074.5032160766748,1097.601634485078,31316
