Price,Close,High,Low,Open,Volume
Ticker,ATUL.NS,ATUL.NS,ATUL.NS,ATUL.NS,ATUL.NS
Date,,,,,
2015-01-01,1304.38525390625,1329.2003175973512,1299.118510904758,1314.254286518644,7934
2015-01-02,1286.9716796875,1311.454745143785,1281.0882098003688,1298.2642581861608,22956
2015-01-05,1258.075927734375,1305.0016627500086,1251.0062658583558,1279.1901569571469,15313
2015-01-06,1229.180419921875,1290.482837990572,1198.3394084638712,1271.3613877187827,19251
2015-01-07,1245.644775390625,1259.4046115291467,1217.603131958879,1217.603131958879,9266
2015-01-08,1229.8446044921875,1266.09460745561,1211.8144752596631,1233.972531964439,13853
2015-01-09,1257.791259765625,1270.697129164063,1221.3988904712808,1236.0128078742423,21218
2015-01-12,1299.830078125,1318.9515293448221,1261.1126985624771,1262.3463854176173,27228
2015-01-13,1304.717041015625,1330.4336744654995,1300.0671426660017,1301.3008293560067,16741
2015-01-14,1286.022705078125,1326.63799179196,1275.5842087192468,1302.0126762628072,8286
2015-01-15,1337.55078125,1437.6654371009224,1286.8766100021828,1295.3223245166726,115628
2015-01-16,1333.517822265625,1364.5485767042737,1314.7759777612691,1337.36113291736,22585
2015-01-19,1304.8118896484375,1350.3616865234376,1290.6250721657277,1337.9777891623974,18954
2015-01-20,1327.0174560546875,1346.4710153897709,1290.5775949128524,1342.722577136365,43864
2015-01-21,1299.87744140625,1345.6169851146942,1282.0845510882666,1328.5833044525966,75622
2015-01-22,1312.450927734375,1326.305633512303,1292.0009218931846,1303.8628473604376,55035
2015-01-23,1256.510009765625,1338.0251842278994,1237.4360569029652,1321.8929656946552,146744
2015-01-27,1269.5584716796875,1297.647495450967,1252.6196607980883,1256.5103502130407,24678
2015-01-28,1238.62255859375,1273.4966279508237,1235.538457222036,1268.7993506587939,25788
2015-01-29,1229.655029296875,1239.3343168292542,1217.033890760734,1234.7319116382616,11305
2015-01-30,1226.760498046875,1234.5893699160583,1222.2529657585574,1226.2860209638943,20207
2015-02-02,1257.8861083984375,1267.8026320515162,1186.1925823835293,1186.1925823835293,30491
2015-02-03,1257.506591796875,1262.1089961714792,1230.224160488657,1254.5648571540753,23214
2015-02-04,1226.85546875,1269.4160433410104,1219.5010733736121,1254.1853972585561,33776
2015-02-05,1229.275390625,1233.6405571208293,1212.4314522489271,1230.7936942967044,8232
2015-02-06,1204.1754150390625,1228.2314972653985,1187.1417330704694,1225.099901993586,4824
2015-02-09,1224.5777587890625,1241.0422049176145,1200.3794295003026,1205.0768217480647,19246
2015-02-10,1235.06396484375,1239.2867649495488,1209.9166770463169,1209.9166770463169,31639
2015-02-11,1237.4361572265625,1252.619422959404,1219.4060291688136,1223.8660671421858,6405
2015-02-12,1227.0926513671875,1252.6195424841228,1224.1509165185746,1238.3852295013487,2499
2015-02-13,1228.990478515625,1257.3642303533102,1220.3550190447977,1230.7935145420704,6437
2015-02-16,1204.5076904296875,1271.598710380525,1203.463748070747,1271.598710380525,7502
2015-02-18,1233.21337890625,1241.2319949231226,1208.9675546881178,1208.9675546881178,11333
2015-02-19,1233.403076171875,1236.961654002723,1214.6612329294094,1232.8811050877018,8975
2015-02-20,1233.2607421875,1238.3851175659427,1226.9976682090146,1228.9430704764732,41348
2015-02-23,1243.652099609375,1250.199791583884,1219.406270998226,1230.2243731461176,21445
2015-02-24,1230.5087890625,1251.6705127555808,1225.1946690374286,1239.334108914927,2560
2015-02-25,1251.1485595703125,1278.2412470365462,1226.2385129966606,1226.2385129966606,43320
2015-02-26,1237.720703125,1271.5983133464222,1228.895384913147,1255.466095938296,9900
2015-02-27,1235.53857421875,1252.6197526641704,1225.100076279882,1233.6406655025921,9390
2015-03-02,1224.8626708984375,1256.1306664036522,1187.1892343484315,1187.1892343484315,25752
2015-03-03,1252.3348388671875,1260.211205235565,1223.2019906239784,1224.1509448447882,8628
2015-03-04,1221.066650390625,1247.8746028860867,1219.3584867278325,1247.8746028860867,8188
