Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2015-01-01,127.79461669921875,131.34059644921933,127.13905232319979,130.10894657977823,293920
2015-01-02,126.70699310302734,128.92696097431832,125.8478056851714,128.3011935395702,435600
2015-01-05,125.02339935302734,127.53637374717826,124.41750161528661,125.95210810500477,315660
2015-01-06,122.1329574584961,124.47212082014667,120.74237248716301,124.15923711762515,377240
2015-01-07,122.0286636352539,123.25038624163885,120.00734768885668,122.19751837303424,731140
2015-01-08,128.11244201660156,128.91699131646462,122.16770568816864,122.17266932873275,872680
2015-01-09,127.0595932006836,129.0660106865841,126.69208671421543,128.52467823948808,327840
2015-01-12,125.9173355102539,127.7499347415314,124.65588092607383,124.65588092607383,196780
2015-01-13,127.77972412109375,129.9202281465485,126.14578432450519,126.64242127066466,580420
2015-01-14,124.576416015625,128.00320808508363,122.98717922367432,127.13906460531479,2587050
2015-01-15,128.03799438476562,128.92697893227643,126.34446025546188,128.61409517132148,1368270
2015-01-16,125.91238403320312,129.42361142882004,124.65589296928104,128.92697440503804,810480
2015-01-19,124.94889068603516,127.75488647292833,124.25856561620375,126.43383792143418,325300
2015-01-20,131.30584716796875,133.59533617466872,125.1525082379796,125.1525082379796,1360140
2015-01-21,128.39556884765625,132.74114279544432,128.0330183649378,131.5492169724257,1004960
2015-01-22,128.94683837890625,130.91351666164792,127.19866643321721,127.98336138324586,378310
2015-01-23,130.33743286132812,132.006126128743,128.7084638904972,129.3640284553361,255020
2015-01-27,136.6148681640625,138.76034315270144,129.92021262935813,130.81415296321353,1055220
2015-01-28,144.064453125,148.89176533216627,137.0767821102499,137.14134734471256,2744860
2015-01-29,145.04286193847656,146.0162815866838,141.54157637482714,144.3525442366596,1059650
2015-01-30,143.7813720703125,146.99956989200427,138.8596979461141,144.81934150469274,726130
2015-02-02,149.91477966308594,151.23583539176656,141.92886645514938,143.32938589188814,2714020
2015-02-03,145.8572998046875,152.13975387853736,144.57101198689185,149.88501799393867,667360
2015-02-04,146.14535522460938,149.98436444628902,144.27303931008927,146.30925391161807,501620
2015-02-05,146.62710571289062,149.8751159960444,145.04780366147187,146.21987488411986,216290
2015-02-06,145.91197204589844,149.85527178181002,145.26634988664455,146.70659442693798,308180
2015-02-09,143.9800262451172,146.40857315486758,142.3907818736465,144.422025268608,181200
2015-02-10,142.6837921142578,146.10562803327036,139.31163807848375,143.04137133062326,330010
2015-02-11,140.0814208984375,144.02471960635938,139.85297213864803,143.13573519678917,182820
2015-02-12,148.89674377441406,150.08371352733548,140.54330545937418,140.54827667954578,653460
2015-02-13,150.0688018798828,152.96418878459613,148.89673073396764,148.89673073396764,728530
2015-02-16,147.3522186279297,153.5651378100927,144.52138138372268,149.99928743267375,974540
2015-02-18,147.4117889404297,149.48772783568666,144.5213581401489,145.91193559243646,485050
2015-02-19,145.7381134033203,148.6930940478378,141.00516405912057,147.89847192733964,236600
2015-02-20,146.14535522460938,147.59554184094503,145.21664651875165,146.20992045548203,138300
2015-02-23,142.59938049316406,148.99109609045948,140.74691907555578,146.60724461547537,4213950
2015-02-24,142.02325439453125,145.81259635304974,140.3495904724639,143.81610632220531,310620
2015-02-25,142.16233825683594,144.81934918212545,141.65577398371846,142.52984477912753,220350
2015-02-26,139.02359008789062,143.78633704143857,138.16441778824313,142.64904923765386,392490
2015-02-27,141.2584686279297,142.02826512805717,139.38118123655542,139.45071769660908,518850
2015-03-02,144.1637725830078,146.60723303458553,140.20060428384573,140.25027100985088,705830
2015-03-03,147.50616455078125,149.96450867926367,144.02473422859507,144.62070470855625,2472640
2015-03-04,146.0311279296875,150.31213586442567,144.83920232248076,148.49444287206893,933390
2015-03-05,151.88153076171875,156.33636525163666,146.2893932996921,146.4979875081055,3075300
2015-03-09,146.08079528808594,151.86661254771266,145.2414776557179,151.6729168681709,1599670
2015-03-10,144.72994995117188,146.60723705890442,143.14567683190882,146.5079036041675,922780
2015-03-11,144.8541259765625,148.9911056754406,144.02473548625926,144.81935774776008,398460
2015-03-12,146.9647979736328,148.17162200198064,146.30923362879375,146.30923362879375,2048440
2015-03-13,149.08543395996094,155.34801806694963,145.60400440044137,151.47425626429225,2585500
2015-03-16,144.23825073242188,149.45790938340264,142.15734091610108,149.45790938340264,1027980
2015-03-17,145.9814910888672,148.49447327017742,144.22339174354912,144.75976822809474,1134190
2015-03-18,142.5099639892578,146.44829095418334,140.64757562116063,146.44829095418334,1227020
2015-03-19,140.0267791748047,144.8193221997329,139.0732296638346,143.0314263392611,1059700
2015-03-20,137.0519256591797,145.67355081503834,133.0986998622197,140.79657242887794,7859730
2015-03-23,132.6318817138672,139.47553926206265,130.48145008005665,137.5684549187512,553620
2015-03-24,133.2327880859375,136.32684171663345,130.2529664090712,133.09870156669496,600420
2015-03-25,136.5602569580078,137.8813130077379,133.2973486973675,134.78725948419984,1528320
2015-03-26,136.99232482910156,140.05658126367868,136.58012285831728,137.07178855424854,646920
2015-03-27,134.72271728515625,138.5815965825487,134.08702251370158,137.9558290951534,697550
2015-03-30,139.00372314453125,140.05161983357894,135.18458378834998,135.6712782991787,529100
2015-03-31,140.50357055664062,143.92539148532202,138.56668935586268,139.79338330904838,985290
2015-04-01,141.7948455810547,143.77642251286719,138.6610670835088,140.2502965115442,448110
2015-04-06,141.70045471191406,143.6174660166145,140.06154372369596,143.6174660166145,295280
2015-04-07,142.15733337402344,145.51460347830462,141.05977013076017,142.43544880981727,420600
2015-04-08,144.58094787597656,145.0179908212449,140.9455617288704,142.97184899217686,445590
2015-04-09,145.47988891601562,146.00632298193986,143.5628771582463,144.81936830142922,443770
2015-04-10,144.50645446777344,145.68348161852404,142.0381682111447,145.68348161852404,243060
2015-04-13,142.8725128173828,145.47490071750528,142.03816638657565,145.47490071750528,168320
2015-04-15,141.2137451171875,145.2315361264421,140.15590601437478,142.93210467876122,233200
2015-04-16,142.4950714111328,143.52806953353056,138.06506342671798,141.14421838574745,242640
2015-04-17,141.2584686279297,143.06126349507474,140.1509777366829,142.78314796717925,210050
2015-04-20,132.98947143554688,141.64089569693812,125.00851781504758,141.64089569693812,535080
2015-04-21,133.64996337890625,138.8596953311077,132.3040814776636,134.091977542799,420840
2015-04-22,131.56906127929688,135.54711275565185,130.1685415086401,134.09197019801752,284090
2015-04-23,135.24420166015625,135.5819112081047,131.60881490896614,132.50275551380847,186120
2015-04-24,135.11007690429688,136.92281390637254,130.61551854533283,134.24096223717015,208550
2015-04-27,131.7130889892578,136.41624178779077,130.41687374870477,134.4892878838116,144050
2015-04-28,131.6534881591797,132.38354508693013,128.44024646440823,131.99616886952114,348190
2015-04-29,137.98561096191406,140.0516225314718,131.241287722902,132.11535846513848,310230
2015-04-30,142.52488708496094,145.01799928773178,136.57517056207615,137.7670962921136,1146680
2015-05-04,144.13397216796875,145.6983754850919,141.04488981989246,142.05306219369683,530200
2015-05-05,143.3989715576172,147.10389472329226,142.55965376228582,145.8126354107702,386410
2015-05-06,142.91722106933594,144.7448567101068,139.55499410529364,143.42875656247912,298140
2015-05-07,137.04696655273438,143.6224346394964,134.76243364922462,143.6224346394964,253110
2015-05-08,141.54649353027344,143.46847598719708,137.17112347413158,137.17112347413158,192070
2015-05-11,143.24497985839844,145.3159624352226,141.65077962609053,141.65077962609053,410950
2015-05-12,141.7451629638672,143.98995666807213,139.74868775085938,141.53161269891558,243300
2015-05-13,142.3411102294922,143.4684858159513,141.1442285067739,142.9321094177368,110850
2015-05-14,143.24497985839844,144.91864381479238,140.0516081747286,142.4454017107953,829440
2015-05-15,143.45361328125,144.42204642396587,141.38760135816574,142.03819467372395,254670
2015-05-18,144.97329711914062,145.39544156726544,143.09103879303325,144.0247187047943,263620
2015-05-19,145.63880920410156,146.31422829067134,143.52810182433197,145.2117086327988,173240
2015-05-20,144.0594940185547,147.49621347069683,141.32301937853438,146.8307217288792,577790
2015-05-21,145.07264709472656,145.61399483789555,143.03147601406621,144.4220537461832,472550
2015-05-22,146.1354217529297,147.10386986269307,145.52952407093636,145.75301675969925,159890
2015-05-25,147.15353393554688,148.29580810516288,144.5213639534963,144.5213639534963,197680
