Price,Close,High,Low,Open,Volume
Ticker,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS
Date,,,,,
2015-01-01,584.8471069335938,591.8543891625734,581.3096907473645,588.2944195896778,94416
2015-01-02,594.9637451171875,601.5879499788182,585.8159812527819,585.8159812527819,397810
2015-01-05,596.7661743164062,609.4738510937658,594.5805863705759,598.8841021098815,425966
2015-01-06,574.7755126953125,596.0451137411833,570.1791331074791,593.0259307777587,277222
2015-01-07,577.2090454101562,585.3653959689638,568.0162291138405,576.8034694690327,339332
2015-01-08,596.2029418945312,598.4109734009185,580.4309739445724,585.0273540295426,373992
2015-01-09,611.4567260742188,617.607805069637,590.3673280922886,601.0922891616467,573142
2015-01-12,619.275146484375,624.1193944921662,615.6025195512335,615.6025195512335,708326
2015-01-13,628.355224609375,633.154420224425,612.7635184632736,621.8661752572131,387412
2015-01-14,636.9846801757812,644.8481099676834,618.7117085853454,629.3014574212926,328866
2015-01-15,640.2291870117188,644.3073889498829,631.3292915737588,642.1894061445046,468552
2015-01-16,647.2139892578125,652.0582366969919,633.6726058082439,638.0662255786625,429992
2015-01-19,652.3060302734375,656.9925134928433,643.8342090538887,653.4100459339553,512220
2015-01-20,646.1099853515625,655.5956649484197,642.144439790255,653.8607593934456,328108
2015-01-21,667.1768188476562,672.7420595707198,641.3783847391567,648.3631136244272,404208
2015-01-22,661.6566162109375,674.1389804090581,658.817639945216,667.8301931592408,383060
2015-01-23,653.6129150390625,666.8839335973989,651.2020678841592,665.577102286585,291836
2015-01-27,648.9487915039062,658.8175468808581,644.442515533449,653.6803812728865,313052
2015-01-28,650.0078735351562,663.3239434521921,645.2537845269198,648.9038577249705,389464
2015-01-29,658.344482421875,663.3689920198796,647.3942628805216,648.903854596159,304470
2015-01-30,641.2656860351562,662.4226317605317,637.7507684347568,660.1694935572646,179068
2015-02-02,625.5387573242188,641.2431192717024,621.9111828893373,641.2431192717024,279024
2015-02-03,619.364990234375,632.3656385576471,615.1065820542202,627.7241529681529,249998
2015-02-04,613.844970703125,629.9324110195026,606.7475851245563,621.4155373235684,180740
2015-02-05,613.1690063476562,626.2372078778817,606.2744364763189,613.7548442816243,263026
2015-02-06,613.7098388671875,617.810539689881,603.1200885515696,617.2923068642731,349022
2015-02-09,599.5150146484375,614.7236972800363,593.9272209910285,613.7548368662981,218030
2015-02-10,596.2930297851562,605.1929257520989,584.5316592811265,594.9411468534687,252438
2015-02-11,581.6926879882812,599.3347713960651,576.8484407758694,599.2897196329501,404194
2015-02-12,563.91552734375,582.886942934715,557.8771050275819,564.6365206781584,1386688
2015-02-13,566.258544921875,573.1982199066705,563.3520193478155,568.2413170615656,451508
2015-02-16,579.6648559570312,587.3931310146094,567.7908285987019,569.5032356406357,519454
2015-02-18,579.1242065429688,592.4177238510408,575.0460038061696,583.1122507337374,426822
2015-02-19,576.8485107421875,585.8160130200707,572.4098388759576,585.5906991689092,258518
2015-02-20,585.8609008789062,593.34130764298,583.5627112416892,590.3221248854153,427016
2015-02-23,573.7164916992188,590.3221063612424,570.2691798474444,588.0689685507033,288224
2015-02-24,561.43701171875,575.4515209212091,559.6345010815653,574.5502656026167,424874
2015-02-25,560.1075439453125,570.4494801953821,558.7782145510921,561.9326076977516,336278
2015-02-26,543.163818359375,561.9324637766582,540.8656292284955,561.9324637766582,642240
2015-02-27,552.0864868164062,558.3276688850187,538.9506795693966,544.8088391299335,680414
2015-03-02,574.8206176757812,584.3514034473667,566.93463382359,584.3514034473667,447324
2015-03-03,568.692138671875,579.0565754305542,567.3402556163951,576.7808836171914,437400
2015-03-04,555.6914672851562,574.5502224072247,552.7623877199429,571.3958290293027,267088
2015-03-05,556.4800415039062,561.2116313656551,552.0188172040354,557.4263484746054,351702
2015-03-09,554.1593627929688,566.8895941399103,552.0188814160493,554.7452007520608,280286
2015-03-10,551.8611450195312,560.7610408239269,547.512577333707,554.9028815602741,199878
2015-03-11,550.8246459960938,556.9306720917739,544.1102836308678,552.9651271354886,197694
2015-03-12,551.4105224609375,556.0069023837449,546.6563788575894,550.2163482137771,148724
2015-03-13,521.5789184570312,552.2441501007717,517.9738974853412,552.018836290041,775108
2015-03-16,529.7353515625,532.4165640544351,519.1681002527832,526.3330908299451,298120
2015-03-17,532.8220825195312,540.257437881545,525.1163616005492,532.6868722369212,630846
2015-03-18,536.0216064453125,542.5557075747425,532.5968471998149,535.7962926132632,450386
2015-03-19,525.8599243164062,539.4013074636383,523.8320998522572,538.9506798049385,309864
2015-03-20,526.603515625,534.3317916289179,515.1801145096018,526.3331500084977,410120
2015-03-23,522.3675537109375,530.9745858957206,517.320545997195,528.5862373298866,262828
2015-03-24,524.3502807617188,531.4251673079953,516.8248216095989,522.2774047385229,408504
2015-03-25,520.0919799804688,528.0680684055516,517.2755568066026,527.2118647590432,331166
2015-03-26,504.6353454589844,520.4749178122374,500.19667426111135,520.4749178122374,722024
2015-03-27,486.45257568359375,509.209273295471,481.2703574155425,504.8382068465931,1166150
2015-03-30,485.30328369140625,493.43713239769704,478.7466863069574,492.3331169814739,937686
2015-03-31,491.56707763671875,502.2469841354841,489.35899152453317,491.97265345458936,816426
2015-04-01,493.3020324707031,497.8984671890336,488.93096657010614,493.43724275969237,274332
2015-04-06,510.24566650390625,512.7691701266514,492.98660698018347,492.98660698018347,532498
2015-04-07,510.2230529785156,516.7121008208721,504.25223782994834,515.9685543478918,309828
2015-04-08,508.64593505859375,513.7154958731312,504.7254966986536,513.2648682451724,234660
2015-04-09,522.86328125,525.3867850736364,508.3079862365544,513.2648903576556,603644
2015-04-10,521.8043212890625,525.431896264002,512.8593724786738,523.6293854706436,396472
2015-04-13,522.6829833984375,531.0195943039815,520.4974504599862,523.1786627749542,256892
2015-04-15,517.1402587890625,528.3834511973606,514.1661274234962,526.8963580104496,279400
2015-04-16,511.7327575683594,520.429893373531,507.4067430519836,516.8699238726689,334600
2015-04-17,495.55517578125,513.7380444042099,493.43724795315484,511.50740466193446,344128
2015-04-20,476.6063232421875,497.9209771081058,473.1590108755857,497.9209771081058,589000
2015-04-21,455.0438232421875,480.3691042187092,452.8808158909969,476.76408279868133,1121262
2015-04-22,451.64154052734375,463.4930691566066,439.36193765443767,456.21542195688465,965966
2015-04-23,459.9331970214844,470.74826238617936,455.13400076424756,455.13400076424756,791702
2015-04-24,457.79266357421875,462.79461973818866,451.5289279237245,461.8933643930315,759562
2015-04-27,454.2101135253906,462.7945641561868,447.0225975101629,458.8515724946808,829462
2015-04-28,458.8291015625,465.94901328596626,448.73503069856,455.1339491478007,419202
2015-04-29,459.0318908691406,465.04775931207786,452.4301844470215,457.5447975424546,234122
2015-04-30,459.2796630859375,463.1550770130915,453.7820007733595,456.9363940260045,703946
2015-05-04,464.75482177734375,475.32207331011926,459.8204709499593,461.87079377876023,337638
2015-05-05,480.0310363769531,482.6221449985607,464.75475019747745,464.8449087197009,519530
2015-05-06,468.9907531738281,480.5718624283352,455.8774988213046,478.2060671324787,730358
2015-05-07,466.8502197265625,470.9058683535307,458.28829484740737,469.1033578526559,492426
2015-05-08,471.1311950683594,475.41215762517373,466.98544280611543,470.00462597446085,338812
2015-05-11,473.8123779296875,477.5751624750131,467.3233843605279,473.7448277948758,267206
2015-05-12,472.43804931640625,484.3796822955564,465.9490000166502,472.3028390152254,605220
2015-05-13,477.50762939453125,479.82837293496834,467.7515291764341,473.13650791846516,277544
2015-05-14,481.4505615234375,486.0694946410417,470.90586418501215,481.2702994732947,217444
2015-05-15,476.8541564941406,486.6778612523524,475.45722178293823,479.96349827601557,222724
2015-05-18,479.5128479003906,483.027765401706,474.0602646038416,476.7640303715441,301416
2015-05-19,500.3544921875,504.6580090396895,476.76414137355295,483.0729296336945,619684
2015-05-20,495.44256591796875,509.88520463224353,492.6937481540382,506.3702868303257,475306
2015-05-21,504.99578857421875,508.3078901546943,493.4371806022963,497.0422010998473,378106
2015-05-22,504.7705383300781,511.19198189962697,501.54853985318,507.4066988990842,471520
2015-05-25,501.57110595703125,507.2039513363238,497.3576936067159,504.6803925997963,303664
