Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Date,,,,,
2015-01-01,782.58935546875,796.0491232532248,779.0641781918638,785.6018005511554,96950
2015-01-02,802.6934204101562,805.4494467246325,785.3666223235408,787.0757988683146,308986
2015-01-05,803.2489624023438,823.3745080628626,800.0229226049198,807.1587146230022,344472
2015-01-06,804.1250610351562,816.1320190509858,790.4943640022638,805.449662780685,228284
2015-01-07,852.7723999023438,858.3913290659937,808.4192410652446,808.4192410652446,947474
2015-01-08,841.4276123046875,861.8522933684675,838.522043404857,858.903953326049,452894
2015-01-09,831.21533203125,845.9569802270404,823.4172137827521,844.3332415907782,483074
2015-01-12,825.5323486328125,843.9059982141846,821.2594068697027,834.9328205116541,276782
2015-01-13,826.1307373046875,841.7696968755645,822.755102199949,832.36922310335,463696
2015-01-14,831.535888671875,843.9060347476188,825.9596785656441,833.6509740722048,658212
2015-01-15,826.4511108398438,854.5884242771824,820.8321815182337,854.5884242771824,381804
2015-01-16,824.122314453125,837.4325394053217,819.1229931056569,831.0872308766316,395802
2015-01-19,815.5549926757812,829.8052421960288,810.3633583031764,828.9506538930463,280876
2015-01-20,820.7252807617188,829.7625629303241,816.1318684133191,816.9864567572074,258474
2015-01-21,818.289794921875,826.814293518204,810.1498193852789,816.9865267218635,270598
2015-01-22,812.3504028320312,822.4986403827248,810.2566507580059,816.3455932884219,287662
2015-01-23,818.1187744140625,823.3958468615468,814.4226694956452,820.4047877395797,460102
2015-01-27,817.9905395507812,828.9506448489401,813.9953497099128,824.6777033806466,227478
2015-01-28,817.7340698242188,820.575585972379,813.9952465134613,820.4046579033311,455520
2015-01-29,815.4268798828125,822.4986197892636,811.9017027166233,822.4986197892636,177374
2015-01-30,807.15869140625,818.2683398851078,801.219291979797,818.2683398851078,200600
2015-02-02,811.9016723632812,816.644627395758,807.1587173308045,807.1587173308045,324012
2015-02-03,822.2208862304688,828.0961816368188,816.409695387812,819.1230031980297,480162
2015-02-04,809.3380126953125,839.077681482827,803.8259065459164,835.3602424443658,680290
2015-02-05,791.9898071289062,814.6363999413326,788.891924149848,813.7604259591412,306482
2015-02-06,802.9498901367188,806.3895770812509,793.5280323531324,799.0401378537362,502006
2015-02-09,804.2318725585938,818.6530533076163,796.4764715904643,800.3221197902037,686106
2015-02-10,826.0665283203125,828.5234700184072,812.6921987345344,813.5681727256563,359742
2015-02-11,824.549560546875,827.6688289334165,814.4227093170325,827.6688289334165,390054
2015-02-12,840.701416015625,843.9061228111103,822.5414108412087,827.9253078256356,1068302
2015-02-13,864.37353515625,871.6802562842917,811.8590622255658,844.3334247145884,644926
2015-02-16,869.2017822265625,873.8165801396841,854.5883424348989,869.1163442562922,563458
2015-02-18,878.4314575195312,890.9084275838285,858.0922114016577,873.7952736144662,295476
2015-02-19,889.2420654296875,897.296499088193,875.9531731240966,886.6355288939026,265050
2015-02-20,896.2708740234375,904.5817244588151,873.8165453558228,889.6264290615271,332866
2015-02-23,880.3968505859375,897.3177411469396,873.8165622121388,897.3177411469396,374346
2015-02-24,885.7808837890625,892.1902968410818,876.3804113127676,881.080647550915,178172
2015-02-25,884.2425537109375,890.032410840591,873.8166172187694,888.7719138459854,355214
2015-02-26,878.3671875,896.6127313640492,869.0949252057273,884.9261945034775,345486
2015-02-27,890.2461547851562,900.3089549030321,875.3762945141435,878.3887397407523,519516
2015-03-02,906.88916015625,924.2159606736377,878.6236908096419,896.4632234984213,781958
2015-03-03,926.6514892578125,935.3469676194078,905.863668959865,906.7182573268083,747818
2015-03-04,919.7507934570312,937.9107975090284,916.1401782212565,929.7922074622531,455000
2015-03-05,944.640625,959.7027451091258,920.818974047269,921.2462682347619,810556
2015-03-09,939.76953125,944.7474669030646,921.1394625853828,942.1837017282937,358904
2015-03-10,921.2677612304688,945.2602909278439,904.36825328062,944.3202644697237,313578
2015-03-11,920.8189697265625,940.4745022590089,914.409556944243,924.2373232104662,198510
2015-03-12,938.615966796875,946.4568587997659,922.5711495539513,923.8102612754374,504848
2015-03-13,921.6522216796875,947.1616650498656,915.3496321075978,941.7564350431082,218480
2015-03-16,918.8961181640625,927.142916559106,908.0215023355106,924.6645894940857,145822
2015-03-17,936.1801147460938,948.080298776118,920.8189106276697,927.2283229986278,421918
2015-03-18,938.615966796875,961.4121590516809,933.6380300124101,940.047444406088,494498
2015-03-19,943.1023559570312,957.0108030922817,918.6825340473953,944.2774150122082,325996
2015-03-20,911.6107177734375,956.7116378678487,888.921460146159,956.7116378678487,1115574
2015-03-23,898.4714965820312,913.9822969596265,889.1992332739518,913.9822969596265,101134
2015-03-24,918.1484375,922.2077325116347,899.454315735893,899.454315735893,207346
2015-03-25,923.5323486328125,927.2284016857773,899.7961352740709,899.7961352740709,251918
