Price,Close,High,Low,Open,Volume
Ticker,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS
Date,,,,,
2021-07-19,1559.748291015625,1742.1658095357884,1530.0341625001938,1726.7675450133556,13548172
2021-07-20,1709.5982666015625,1731.687067804505,1551.4342346983954,1560.2894526587595,6980467
2021-07-22,1667.1915283203125,1750.381430168892,1645.2503379375123,1722.8318629711805,1731678
2021-07-23,1609.09130859375,1673.6852196348625,1579.180330034708,1672.6520629651113,1084767
2021-07-26,1625.9163818359375,1660.845296544062,1593.9392063989221,1608.6979027544676,747225
2021-07-27,1650.2681884765625,1687.6076412553277,1593.9884091941908,1637.7232968962517,676427
2021-07-28,1608.255126953125,1647.857627290311,1602.3516486419917,1645.3486009654498,256379
2021-07-29,1596.3497314453125,1624.5388652588124,1574.2609308026192,1609.681801745678,351507
2021-07-30,1654.9417724609375,1699.0702493283698,1599.9410082014736,1603.286336637989,1271880
2021-08-02,1639.641845703125,1682.392939569855,1633.29565460587,1666.2567416114703,288875
2021-08-03,1645.7423095703125,1679.5397013315016,1639.8388308310102,1646.5786117037305,234059
2021-08-04,1618.7830810546875,1656.4177583683734,1613.6175371096717,1652.9740624050296,172637
2021-08-05,1611.059326171875,1626.9003029839682,1574.359319676687,1624.3912765484674,210820
2021-08-06,1630.294677734375,1651.9900084972933,1596.890877779099,1613.617399604265,312272
2021-08-09,1576.622314453125,1653.9578570992715,1550.3517636357294,1638.116880823562,499926
2021-08-10,1495.9906005859375,1602.794413901107,1485.7087569003509,1591.873002689579,643538
2021-08-11,1550.00732421875,1567.8653692325777,1412.5054821414028,1495.547763560413,678501
2021-08-12,1551.581787109375,1572.2932068695332,1532.3463571743903,1554.5827702464721,153642
2021-08-13,1586.412353515625,1608.698010526809,1545.1863682459448,1556.550613243677,289245
2021-08-16,1503.1239013671875,1595.4642361459787,1494.5639059720568,1593.9391228931743,539674
2021-08-17,1472.8685302734375,1527.032989442889,1466.0303829058664,1510.306468295641,327596
2021-08-18,1519.80126953125,1572.1946378175312,1446.3521386071966,1487.676485424545,1365679
2021-08-20,1519.2601318359375,1573.276982848097,1502.0416532869433,1554.582634709189,365365
2021-08-23,1460.7666015625,1538.2005141519978,1442.4165983062512,1520.1457328670929,431169
2021-08-24,1439.366455078125,1460.7665643648058,1422.787543858954,1460.7665643648058,399166
2021-08-25,1435.9227294921875,1466.0304448071813,1427.657835849141,1452.255662104295,419543
2021-08-26,1406.4544677734375,1441.43262490506,1399.2227308438635,1441.43262490506,315671
