Price,Close,High,Low,Open,Volume
Ticker,COROMANDEL.NS,COROMANDEL.NS,COROMANDEL.NS,COROMANDEL.NS,COROMANDEL.NS
Date,,,,,
2015-01-01,264.4621276855469,267.25953017530446,261.9659891789908,265.4950252657588,16445
2015-01-02,259.55584716796875,266.61391780747056,257.2748939640702,263.8165159257134,339757
2015-01-05,260.97607421875,263.9456079957647,259.51280741778424,259.51280741778424,27915
2015-01-06,261.23431396484375,266.5709068329738,258.3078063106996,259.08246623860947,102491
2015-01-07,260.8039245605469,265.10761968530835,259.1254729548217,259.4267368670891,64535
2015-01-08,260.9330139160156,262.52538626657616,259.90014291097793,261.66464729521033,158401
2015-01-09,261.4925537109375,262.7406360353747,258.26478176947097,259.94323368610367,524959
2015-01-12,257.7052307128906,262.5253739804922,256.586280609549,261.7076614888958,37950
2015-01-13,255.76856994628906,260.67479239560413,254.21925036633047,257.9634699968428,22819
2015-01-14,255.5533905029297,258.6950824353546,253.91799174185482,254.60657239883318,32213
2015-01-15,254.43446350097656,260.37355757730495,250.7763226093946,255.72557205094668,50571
2015-01-16,253.401611328125,256.50027765399017,252.88516256253493,253.9180600937151,18087
2015-01-19,253.4447021484375,256.06994655563363,252.23964609167928,253.53075506590937,16430
2015-01-20,260.0722961425781,267.689841913589,254.34838676998572,254.34838676998572,145913
2015-01-21,261.4494934082031,265.92534709460574,259.9432000305427,262.52541724938914,50913
2015-01-22,258.39385986328125,265.96835260183184,254.95090384254556,260.1153378736491,47633
2015-01-23,253.78892517089844,265.1076389165613,250.81936481232904,265.1076389165613,720969
2015-01-27,249.57131958007812,258.04957893969043,240.40442689279726,258.04957893969043,2722275
2015-01-28,252.06741333007812,255.3812636274729,247.24726983092833,250.4750409775462,101587
2015-01-29,248.96881103515625,255.5534605937869,247.37643827802552,248.28023018932024,608907
2015-01-30,249.52822875976562,253.7888972812033,246.51564228495863,249.61430791257973,227712
2015-02-02,243.54620361328125,252.1535969020676,241.78167222847222,250.47514470368236,68283
2015-02-03,233.00209045410156,245.52583415179512,230.247714761105,244.4499102510423,611948
2015-02-04,237.1336212158203,244.44990354008337,233.26029527944576,236.2728821188482,123628
2015-02-05,240.1031951904297,246.51568606503236,236.78934422608313,238.42474334931254,240136
2015-02-06,234.12103271484375,240.9208662791301,232.57171285835864,240.9208662791301,99397
2015-02-09,234.4222869873047,236.31589714854616,229.47303741884798,236.31589714854616,47569
2015-02-10,236.4880828857422,239.97406595715196,231.88312315199357,236.70326767453722,57510
2015-02-11,235.11090087890625,241.86770867002014,230.07557144131567,241.7386030470409,603563
2015-02-12,243.07272338867188,245.05243913467635,236.53110079207497,240.1462156203103,109025
2015-02-13,246.21437072753906,247.84979577714245,241.0499369313229,246.12831784507037,657681
2015-02-16,247.54852294921875,250.13073975411115,242.64230051285608,248.71052576495384,113149
2015-02-18,244.88026428222656,252.19654634338272,242.85752222354904,247.67766624678626,76585
2015-02-19,246.9459991455078,252.62688146085276,244.44986144763948,247.89281724267664,114951
2015-02-20,253.35848999023438,255.63944272736632,246.1282887827915,247.03205408334725,158311
2015-02-23,248.5383758544922,260.2874574595345,245.82705337143145,250.60414411455426,74746
2015-02-24,250.1308135986328,256.50027834425026,246.17140807535426,249.61436483165292,74352
2015-02-25,243.11578369140625,253.9180495286928,241.86770141546668,251.33583207585863,71396
2015-02-26,244.32080078125,247.03212371482937,237.04754481985918,241.86768907270752,75094
2015-02-27,248.92568969726562,249.52819114079196,242.8144385161723,243.5890982393722,112964
2015-03-02,240.31834411621094,245.31061990904624,236.70322973679902,242.55624454685906,84933
2015-03-03,244.57896423339844,245.13843929014644,238.46771251371243,241.00690289051894,72421
2015-03-04,249.70045471191406,251.33585398775108,236.70328714599844,243.58920095388206,2736356
2015-03-05,244.57896423339844,253.0572480350449,243.15875023775573,250.51805765823838,52733
2015-03-09,245.5258331298828,247.84983925290544,241.4803487728207,244.57901484762644,46014
2015-03-10,243.4169921875,248.75358479041827,241.2221181228883,244.44988955182973,119357
2015-03-11,240.3614044189453,243.46007057098754,235.32607520533594,241.86769791127531,71707
2015-03-12,239.7588653564453,243.54613840360972,236.7032520641409,240.14620845780115,54192
2015-03-13,234.76654052734375,241.00689769993127,233.3463265622883,238.4677073778115,66512
2015-03-16,241.00692749023438,242.64232638752685,234.12101527622767,235.84249332972934,101726
2015-03-17,242.38414001464844,243.54614307332338,238.42473483248767,241.86769129216256,46074
2015-03-18,245.35366821289062,249.31307329842588,238.59688733980997,243.58916357743755,186909
