Price,Close,High,Low,Open,Volume
Ticker,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS
Date,,,,,
2015-01-01,712.0064697265625,719.6027200239631,706.5338851540614,708.984291692168,27945
2015-01-02,750.8452758789062,762.8931059786765,714.5792453320398,716.1720192820595,305699
2015-01-05,766.0787353515625,784.6609837528631,763.7099892402682,763.7099892402682,226708
2015-01-06,742.7179565429688,763.7097753110139,737.1637136023422,763.7097753110139,91777
2015-01-07,735.1626586914062,750.6410671634924,723.6866001162723,743.5348795166791,73140
2015-01-08,729.567626953125,750.5185703678522,724.5442742256831,739.2058815148554,94791
2015-01-09,716.2944946289062,737.5721758895442,714.7017208232016,729.4041562229933,129845
2015-01-12,711.1487426757812,733.4882593641801,708.9841972473366,718.785822094074,172364
2015-01-13,717.438232421875,729.1185444159097,711.2713854388363,711.2713854388363,222029
2015-01-14,718.0507202148438,730.8336932713581,714.8652218747162,716.7438567707368,74009
2015-01-15,725.1569213867188,730.9562464246528,720.4194790012042,720.4194790012042,143693
2015-01-16,725.606201171875,744.1476207438574,720.9504685998542,725.9737721258896,291702
2015-01-19,729.4043579101562,744.9235995678192,726.9539513326306,726.9539513326306,172216
2015-01-20,722.91064453125,737.2455105409858,720.0110072238786,729.4042308008209,238241
2015-01-21,728.9141845703125,732.8348245213889,720.5419633831254,720.5419633831254,78036
2015-01-22,722.5022583007812,738.3890684726072,720.460253133545,726.1778676018064,142801
2015-01-23,721.2362670898438,733.0798977498695,718.7858607463901,725.3202776622663,147616
2015-01-27,732.753173828125,744.9235455555233,720.5420218184374,721.6446847569132,391592
2015-01-28,741.2070922851562,743.2899277162695,729.4042917039876,735.1219065325743,283836
2015-01-29,728.58740234375,747.1288181812974,726.9537983026205,747.1288181812974,131943
2015-01-30,728.3424682617188,742.8815361844287,726.9538946719533,731.0379053161778,177825
2015-02-02,720.0111694335938,731.0379995950838,719.1943671994093,730.5479381960339,241537
2015-02-03,737.8171997070312,751.2536019053672,711.965447612901,724.5033377440182,477429
2015-02-04,746.7203979492188,754.7250475739727,737.3680050837704,737.8580663420387,229686
2015-02-05,737.3681030273438,749.0075330668227,733.488293014184,748.1907309587891,108030
2015-02-06,734.7950439453125,747.4146445530458,731.0377747650697,735.9794167913576,176826
2015-02-09,727.1988525390625,734.2642101877069,726.9538218956685,734.2642101877069,159231
2015-02-10,733.0797729492188,743.1672574043357,722.9514085124213,734.059945290463,118791
2015-02-11,734.5908813476562,740.1860051318922,727.7706043793837,735.8977945000272,72165
2015-02-12,737.0414428710938,743.2899996225675,730.3028247426474,737.2865234132298,314903
2015-02-13,743.0855712890625,750.2325883253684,735.9385542527566,740.0225639877885,1023122
2015-02-16,734.4275512695312,742.4730311707957,731.0378029679451,740.839427141817,120685
2015-02-18,741.9014282226562,747.4148430721611,733.529205673408,736.7555843338482,81049
2015-02-19,742.4730224609375,747.3738344903826,733.4882004069548,740.0226164462149,269943
2015-02-20,740.88037109375,750.6411666371826,738.389134537555,744.8827215210869,65836
2015-02-23,734.3458251953125,746.4753647590335,731.2419875784409,740.9619512810614,204763
2015-02-24,735.0811767578125,743.2900291974496,730.9563354676119,736.7556113583511,629178
2015-02-25,731.2012329101562,740.8394874955998,728.5874562801268,736.1020453963454,186423
2015-02-26,715.6820068359375,733.4882825667171,714.2117730331472,733.4882825667171,303578
2015-02-27,726.7088623046875,730.9153633462149,713.3132874814975,717.9690695757553,328940
2015-03-02,746.3529663085938,753.0915840618587,728.5875195045314,729.4043216564423,414567
2015-03-03,746.7203979492188,757.1754535725895,741.9829563226205,747.3738295781224,422640
2015-03-04,751.2537841796875,755.0927642897424,744.923567460587,745.0052277348585,242531
2015-03-05,740.9212646484375,752.2340051675841,737.2865346973539,751.4580330974599,107544
2015-03-09,732.9574584960938,744.8010907882257,731.037993204002,743.2900266096557,211259
2015-03-10,732.8348999023438,741.247952087539,731.2421257370461,735.9387381056449,242918
2015-03-11,721.8897094726562,737.0005488137998,717.1522671094052,734.3051117669195,66561
2015-03-12,741.9830932617188,747.3739675121509,722.7473627395541,722.8290728667708,267467
2015-03-13,719.8069458007812,746.1488170088098,714.7019320007757,744.1068114888077,647290
2015-03-16,718.9083251953125,735.1218255166405,714.1300034172707,721.889622686613,98314
2015-03-17,718.6224365234375,726.1370253845344,711.4345884251175,722.8698171713305,129284
2015-03-18,705.6761474609375,722.8698207984665,702.8990005243231,718.7858105114695,142567
2015-03-19,712.0881958007812,721.4405915894562,709.8011594579534,709.8011594579534,587870
2015-03-20,714.7425537109375,718.7857334322209,706.5337038850807,712.2513176737461,145229
2015-03-23,710.33203125,717.9691116428531,707.5548839142452,717.9691116428531,661847
2015-03-24,699.8768310546875,717.4789554786138,687.3389392697151,711.4346002423313,167682
2015-03-25,707.0238037109375,710.6177525156907,695.9153162567453,706.6562826873746,100476
2015-03-26,681.2130126953125,710.6587210790984,677.2515420953182,705.4720472188608,1192257
2015-03-27,700.3670043945312,709.5968585989597,684.5618530850602,691.8314120671296,111618
2015-03-30,702.7356567382812,712.6598220527364,694.2817750657032,698.3657855072661,260353
2015-03-31,719.3167114257812,725.3201862693253,700.1218641540141,708.9841460380343,127601
2015-04-01,726.8722534179688,735.8979072071174,714.4976809007496,717.9690900391643,358652
2015-04-06,711.8021240234375,734.3050095052913,708.8207767352699,734.3050095052913,78633
2015-04-07,712.2105102539062,717.1521523580835,705.7169244161552,716.3353503622316,225536
2015-04-08,725.19775390625,733.4883154983861,713.5992034995486,718.622506705752,237076
2015-04-09,713.0681762695312,730.2210189976644,710.6994304275237,730.2210189976644,156979
2015-04-10,718.5407104492188,725.3201568999664,710.6177212871293,720.3785149008235,178435
2015-04-13,716.2129516601562,724.7077140372162,713.4766843747628,722.8699091833603,219328
2015-04-15,714.2525024414062,720.3376871721616,710.6177236542864,715.5185355415573,82928
2015-04-16,710.4951171875,717.152072655309,706.9420488418791,717.152072655309,828157
2015-04-17,708.8208618164062,712.5781814384579,706.5338258767825,710.6178364309836,104264
2015-04-20,694.4859008789062,709.800938387262,690.1976903765667,709.800938387262,68030
2015-04-21,697.5079956054688,705.8802151180352,680.3959857529602,698.3656276335906,98850
2015-04-22,705.594482421875,708.1674290085194,686.9305741593597,700.7753798875216,401569
2015-04-23,714.7425537109375,720.4193373718396,705.3901611858934,707.7589068397948,577051
2015-04-24,697.4264526367188,717.9690453782479,690.3611443890394,717.9690453782479,190814
2015-04-27,707.26904296875,709.8011098402992,686.1955063840123,698.365879071871,44692
2015-04-28,707.1055908203125,712.4964647608085,699.1826004473185,707.2689612117065,47611
2015-04-29,702.776611328125,710.3728615850755,694.8127901216861,703.2666726916773,153047
