Price,Close,High,Low,Open,Volume
Ticker,CYIENT.NS,CYIENT.NS,CYIENT.NS,CYIENT.NS,CYIENT.NS
Date,,,,,
2015-01-01,394.6219482421875,400.43596096751526,392.7352694104477,396.5856151889815,14488
2015-01-02,394.3524475097656,406.01901554793506,390.19410172484686,393.62089581637474,380572
2015-01-05,400.0894775390625,403.51629517121506,396.97070641366673,398.51084494485457,47329
2015-01-06,399.9353942871094,401.8991082208145,391.9651973844257,400.4359580351697,59259
2015-01-07,398.8958435058594,401.6295797512489,394.9685094069949,399.66591270181664,227490
2015-01-08,399.89697265625,407.36665416501774,396.5856841115012,400.4360305591857,34804
2015-01-09,406.28851318359375,407.36662892266,404.20936383171755,407.32813486082836,43162
2015-01-12,411.6404724121094,416.18389939276494,408.90673621245423,409.6768053955285,55734
2015-01-13,415.45233154296875,417.2234812947931,411.6404796197486,411.6404796197486,84231
2015-01-14,415.7218322753906,422.5369727888863,412.44903822690935,417.83952254205497,39294
2015-01-15,442.712890625,455.8425637166638,417.3775900658679,418.1861534876905,732961
2015-01-16,443.2133483886719,454.2638703506719,439.90206000682304,451.260581468706,177494
2015-01-19,434.7040710449219,452.0306283496353,428.15848272980793,444.3299362142071,60005
2015-01-20,420.3038635253906,440.5566790755594,417.608620661265,440.32566765889544,57296
2015-01-21,421.5743713378906,428.1584532602495,416.2608753296479,423.49954423924066,49440
2015-01-22,432.3554382324219,437.32239485143276,421.99799625972827,431.23882829461286,44206
2015-01-23,424.4621887207031,435.089135188771,419.6492558093229,435.089135188771,80045
2015-01-27,425.4247741699219,431.2002936481959,417.5700582792097,431.2002936481959,35848
2015-01-28,421.6898193359375,427.19583218808816,417.8009797906343,427.15733813343917,24527
2015-01-29,413.7196960449219,421.68989381781427,411.3709942810359,421.68989381781427,68979
2015-01-30,410.0617980957031,415.83731637874115,406.6349811808429,414.29717816993104,153995
2015-02-02,414.10479736328125,415.83745341919456,405.865045830455,410.06193323281684,38769
2015-02-03,416.4533996582031,423.5380454551662,412.5260656735903,423.5380454551662,42184
2015-02-04,410.60089111328125,419.6492038667096,406.8275333772921,417.60850176435576,41559
2015-02-05,409.63824462890625,415.68326793111777,404.74827791191757,412.2564512242201,51826
2015-02-06,410.9859313964844,415.0672886564844,404.36330823755327,411.25543680938057,73740
2015-02-09,407.982666015625,408.2907125061514,396.58565088558004,406.8275621780942,47552
2015-02-10,409.17626953125,411.56351236236264,402.7462102145759,407.98267161634175,138574
2015-02-11,410.4853515625,411.9869958072894,402.8231541093773,411.91000769270164,14071
2015-02-12,411.8715515136719,415.79893319412395,406.59659554247634,410.98600000825184,31860
2015-02-13,415.22125244140625,419.3026091170357,408.44465401754974,409.6767457305105,17998
2015-02-16,416.83843994140625,422.7679820590689,414.3742091520966,419.6492112638098,14380
2015-02-18,422.2674255371094,423.5380585131664,414.45125138532444,419.572183346571,29846
2015-02-19,417.83953857421875,427.7349562189054,411.9870313223077,423.5380695836808,35110
2015-02-20,422.4599609375,426.6183535815934,419.07168452499405,420.49629380051533,27095
2015-02-23,424.53912353515625,429.6985963685133,422.3829392618809,427.3883888611557,25221
2015-02-24,427.2343444824219,429.3135405363987,423.53802205384625,423.53802205384625,172505
2015-02-25,420.53472900390625,431.2772026632223,416.60739527960493,425.1166496831172,17931
