Price,Close,High,Low,Open,Volume
Ticker,DEEPAKFERT.NS,DEEPAKFERT.NS,DEEPAKFERT.NS,DEEPAKFERT.NS,DEEPAKFERT.NS
Date,,,,,
2015-01-01,112.77731323242188,113.44394185366238,111.36564724332911,111.36564724332911,46591
2015-01-02,112.03226470947266,114.81641085685334,111.7577785544089,112.81653731394775,89975
2015-01-05,114.85562133789062,116.30651022786084,112.14990862345942,113.60079751342963,431228
2015-01-06,111.6793441772461,113.91450565356828,110.89508392141558,113.5615860700439,104499
2015-01-07,111.6793441772461,114.46349030105029,110.26766584314855,111.36564748011584,256970
2015-01-08,112.69889831542969,113.4831586125404,112.26755762041957,113.32631642672139,41859
2015-01-09,109.20891571044922,112.93417690361781,108.65993101964582,112.69890127670328,120065
2015-01-12,108.18937683105469,109.7579097659465,107.52274817387499,107.60118160872173,55166
2015-01-13,108.30701446533203,109.44420676852636,107.99331773459305,109.44420676852636,33338
2015-01-14,107.95408630371094,112.89494770465733,107.40508936160359,108.38542693879278,79728
2015-01-15,108.1109390258789,110.58137613861668,107.24825767146557,108.42464806857652,82720
2015-01-16,108.5030746459961,109.60104388407444,107.48352649263651,107.60117046171727,43114
2015-01-19,108.07173156738281,109.60105393770591,107.13061675441676,108.34623007308328,57660
2015-01-20,107.01297760009766,109.64026942768798,106.34634892076794,107.56196229425028,162157
2015-01-21,109.4442138671875,113.24789650939911,107.28748545069588,108.8560185741458,518621
2015-01-22,108.15015411376953,111.48327234056202,107.36588156358113,109.16968991601067,114574
2015-01-23,109.20891571044922,109.71868985376756,107.522751090554,108.3462342977612,95184
2015-01-27,110.58139038085938,111.28722964683531,109.01285730735673,109.79713001511055,83561
2015-01-28,107.56195068359375,111.56170998581817,107.13061002117882,110.58137234650718,123029
2015-01-29,111.52249145507812,112.1499095434572,107.44432324862804,107.64038831574564,136986
2015-01-30,111.44408416748047,112.6989081576462,110.5813903601156,112.149923433324,118269
2015-02-02,111.44408416748047,112.18913398320309,110.5813903601156,110.97352054291645,73100
2015-02-03,114.3458480834961,116.07123548324824,109.60105124718285,112.14990945981404,179328
2015-02-04,111.6009292602539,115.60067653339003,110.30689482976915,115.20854638378907,96973
2015-02-05,110.46375274658203,114.2282245138368,109.7971240666086,111.36565705513252,78381
2015-02-06,107.91488647460938,111.16958422953587,107.36590175722436,108.73836972168932,73853
2015-02-09,107.16981506347656,108.8167688836151,106.73847442320303,107.91486471958669,52355
2015-02-10,109.05206298828125,111.75777563349595,105.87578679268022,106.66004703465443,82733
2015-02-11,103.3269271850586,109.79711767215055,99.32717385116563,108.46386038985108,909377
