Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Date,,,,,
2015-01-01,795.8856201171875,799.3282712739583,786.3329171773765,791.0295060101332,186924
2015-01-02,799.2826538085938,806.8518661736407,796.1363991744428,799.7842177273612,204160
2015-01-05,794.4721069335938,805.0964012163258,789.9807412684537,799.2142824001629,121542
2015-01-06,763.37451171875,788.8408362539964,760.1142624482151,788.8408362539964,682896
2015-01-07,752.203125,774.7740061787064,745.5230449936373,764.3092915081604,415972
2015-01-08,753.7535400390625,765.9965233426897,752.3627865630132,756.9225610270315,124860
2015-01-09,776.1874389648438,783.7566517931167,756.9223960532476,756.9223960532476,152108
2015-01-12,778.0343017578125,786.9030404006007,766.4980506524176,781.0893282377106,194864
2015-01-13,786.0593872070312,788.795251385028,777.4414039140815,777.4414039140815,112556
2015-01-14,777.5782470703125,793.4006398651721,773.8164336916415,784.281092280515,256164
2015-01-15,773.1551513671875,788.0428223576719,770.6245105767318,780.0176324637513,188754
2015-01-16,780.7015991210938,784.0074347738806,775.6174407435142,776.0734180749331,233268
2015-01-19,780.7015991210938,787.9288286918239,777.6237521340163,784.7369873718918,188148
2015-01-20,772.6764526367188,786.5381197616972,770.784135472743,786.5381197616972,196708
2015-01-21,765.6998901367188,777.464126881228,762.7588587812374,776.9853284460138,225258
2015-01-22,755.0984497070312,769.7353106977166,750.7438439916064,766.497882824589,491236
2015-01-23,765.3351440429688,768.276231282687,757.3783617246486,757.3783617246486,284424
2015-01-27,769.9176635742188,775.1614024733028,759.4530069053455,765.4490638130916,550398
2015-01-28,793.0130004882812,795.224479450825,768.3902241750103,772.8131821000978,565222
2015-01-29,806.3048095703125,811.639722560827,790.1631994612809,799.1003448246345,519390
2015-01-30,794.4721069335938,816.1994383091095,779.85806658858,808.9038008717097,555528
2015-02-02,770.5106201171875,792.4887081713422,756.0105167710503,784.2811151062765,1081282
2015-02-03,756.8768920898438,776.6663222434667,754.27778753127,770.6018006014311,226616
2015-02-04,746.001708984375,768.7777536198038,741.0315451151912,757.3327341376752,258772
2015-02-05,739.5953369140625,745.5230430668879,734.1236081576083,745.4774564595115,390698
2015-02-06,731.5928344726562,741.8751459449556,725.0039840519235,740.5072138995747,267052
2015-02-09,737.9537963867188,741.0544091464697,716.7964350098919,720.6038349669018,181220
2015-02-10,743.9041748046875,753.5709273640904,731.7524237825905,740.6895681025715,338944
2015-02-11,747.1417846679688,756.922477550104,739.8005040614823,745.5230426472409,119496
2015-02-12,749.7636108398438,753.3202009247201,743.3799276676401,748.7148406256046,125904
2015-02-13,753.7305908203125,763.6709197272298,750.0827718689741,752.3626587135606,382978
2015-02-16,748.1448364257812,761.9381512524641,741.4191705185558,761.9381512524641,182534
2015-02-18,759.0654907226562,761.4821930008912,740.7808096756731,746.8909174463831,182914
2015-02-19,759.9318237304688,767.4098632389123,755.5544523986201,763.7620445188223,218156
2015-02-20,771.5365600585938,774.7055806342188,758.1308137464357,762.3941911832924,165942
2015-02-23,768.4129638671875,774.659886600544,764.6283854761092,773.337541229155,593010
2015-02-24,769.3706665039062,774.7055796614211,765.0844679385573,770.6017831829321,189252
2015-02-25,796.0223388671875,803.4319696886636,758.8830115680587,769.3704890384555,890970
2015-02-26,784.5774536132812,797.5044006040198,775.6174873798958,797.2764119246018,517330
2015-02-27,774.7967529296875,792.990261784552,773.109658864042,784.2126970938219,303472
2015-03-02,804.5035400390625,810.3172506279107,782.2746466111134,795.6803903953041,324572
2015-03-03,808.44775390625,818.5932488438777,798.5758342167044,806.487029249293,754516
2015-03-04,793.1498413085938,817.453458231453,785.8770242710414,811.5029310834178,270110
2015-03-05,808.2882690429688,825.319012110898,792.4886425683651,795.6804840516669,1166766
2015-03-09,803.4548950195312,822.1271448467909,792.5114388485257,808.9038019734925,643736
2015-03-10,803.88818359375,818.9126171712096,796.7293604343233,807.080025502517,352058
2015-03-11,808.67578125,820.2120297708611,799.4194193410644,807.0798606216521,501972
2015-03-12,820.5084228515625,823.4722756361658,807.102733247164,810.7277309268906,151164
2015-03-13,808.6302490234375,833.9825787205167,805.8487983021186,829.8787825431058,275896
2015-03-16,811.6396484375,818.4793083962429,795.9312516634384,816.6553990739116,143212
2015-03-17,820.7363891601562,830.7223040176302,812.7567857267654,812.962008926116,223370
2015-03-18,821.4659423828125,828.9667468430303,813.9423167926531,822.8566397769453,265376
2015-03-19,835.532958984375,845.5188746996746,825.3190545799649,832.8426813206111,467244
2015-03-20,823.6319580078125,845.6784530446207,816.3134988453904,832.6146900665734,323112
2015-03-23,822.6060180664062,830.7907898068432,804.84566564494,817.3394570410354,193710
2015-03-24,830.015625,836.262492675312,824.0195114802372,828.5108774215059,180638
2015-03-25,820.7135620117188,836.2623769725708,818.0232847812388,830.904643641367,209228
2015-03-26,823.4951171875,829.331649695652,810.2717736667705,820.7136664067789,217200
2015-03-27,818.1375122070312,832.1588183239973,804.8685799895786,832.1588183239973,140264
2015-03-30,825.341796875,827.6900356194885,818.5704889261874,822.5831117357582,138064
2015-03-31,814.124755859375,836.718456331651,799.2371395713959,825.182206849044,392544
2015-04-01,821.8307495117188,824.8630099619699,807.1254802628113,807.1254802628113,136006
2015-04-06,855.9835205078125,861.9796340743129,816.678293355487,823.4495461888899,432418
2015-04-07,882.4301147460938,884.0488565080142,842.6916798959058,864.031440886747,503404
2015-04-08,886.1691284179688,897.8193715782845,874.564527520137,888.9962212884818,401488
2015-04-09,881.8602905273438,893.7157029129233,871.5323912976455,893.7157029129233,399102
2015-04-10,883.798095703125,890.0449631128652,873.4930187595993,882.3161693205453,118882
2015-04-13,881.2447509765625,890.5238801210363,872.1023816580586,889.133126758527,271886
2015-04-15,876.662109375,893.0088874969709,871.3727828406193,880.0819397629144,338338
2015-04-16,864.8065795898438,878.4858992785831,848.1178207018406,875.2484714178404,343912
2015-04-17,863.39306640625,875.9096217349994,855.7326250682571,861.7971457659428,432288
