Price,Close,High,Low,Open,Volume
Ticker,ENDURANCE.NS,ENDURANCE.NS,ENDURANCE.NS,ENDURANCE.NS,ENDURANCE.NS
Date,,,,,
2016-10-19,621.140625,628.3419768498775,549.2231010839896,549.2231010839896,36506028
2016-10-20,589.0225830078125,647.6415752432775,583.7895889516868,633.7189616909758,8610390
2016-10-21,601.3128051757812,606.8338409119261,581.0530279163472,589.5505986074726,3193161
2016-10-24,602.4170532226562,608.7542188093728,595.3596939143058,606.7378639239846,942296
2016-10-25,601.456787109375,609.1862245383688,594.1113865249893,602.4169671280013,633022
2016-10-26,590.6548461914062,602.4650503849803,582.8293544809417,597.7601441803857,514571
2016-10-27,587.6782836914062,593.3433703518874,580.9090249562543,590.5108270216468,359111
2016-10-28,599.5365600585938,603.6653233335626,587.6782990353717,587.6782990353717,401342
2016-11-01,584.4137573242188,596.9920956893628,581.9652506993493,593.3914195995596,214674
2016-11-02,577.9324340820312,589.93468550752,564.7779547987469,580.8129744241486,644219
2016-11-03,580.4768676757812,594.7355773221954,575.2438744103581,575.2438744103581,354758
2016-11-04,570.39501953125,584.5096797824701,558.8248601780658,581.0049987123068,322506
2016-11-07,589.8866577148438,597.0880089131437,574.1877355444483,578.988636343315,532110
2016-11-08,599.4404296875,606.8338282398519,582.1091904595097,590.5107664042862,398604
2016-11-09,608.08203125,621.1885127474047,505.0547206738019,526.1786823749875,685896
2016-11-10,607.1699829101562,622.4368729623176,599.1525009309466,618.7402022878983,341773
2016-11-11,571.6912231445312,603.9532492659687,564.5858673583301,595.3116288472188,337195
2016-11-15,563.0975341796875,576.059963292473,526.6586939527998,576.059963292473,552423
2016-11-16,544.4701538085938,574.8598796383066,536.2606250740672,571.4031958626266,260799
2016-11-17,525.9866943359375,550.1832467517274,521.6658834975732,544.470162922274,382901
2016-11-18,520.8017578125,531.9398245599426,506.0149594640609,526.0827488505499,472679
2016-11-21,502.1261291503906,517.2969610194335,498.09336153843367,517.2969610194335,514445
2016-11-22,508.6554260253906,513.4083294100029,501.2140299863217,506.8310603287533,268588
2016-11-23,523.7302856445312,528.3871360288849,506.9751299507769,512.9762560155351,264459
2016-11-24,519.0733642578125,526.1787207906797,512.7361987266842,521.3778200535384,174139
2016-11-25,523.6822509765625,532.8999565121734,519.7454773962397,526.1786957994073,165067
2016-11-28,540.245361328125,553.8798719809598,520.8497114212672,527.0428848401917,246027
2016-11-29,560.4572143554688,571.1631888026491,536.9327986204239,541.925747558608,520680
2016-11-30,569.5789184570312,577.7884476204264,557.1925701720844,560.7452487084819,309485
2016-12-01,561.17724609375,573.7555813998799,554.1198875112123,572.267314032321,92939
2016-12-02,550.0872192382812,562.9535978015153,542.5977673497525,561.1772880051108,98655
2016-12-05,543.7979736328125,560.5051307360494,536.7406733729364,547.3026544232089,151236
2016-12-06,543.9900512695312,551.5754978825967,541.0615135383208,546.7745971413516,103540
2016-12-07,566.9382934570312,576.5400934694977,547.254603431475,548.2627807118366,586912
2016-12-08,560.8411865234375,576.8282090167352,558.9208262770231,570.2509986146633,193847
2016-12-09,556.1842651367188,567.3223296975622,554.0238601361877,562.0893955800649,43010
2016-12-12,549.0790405273438,559.3049834083843,545.9104574925038,552.3916740384379,70120
2016-12-13,546.58251953125,556.9044555610452,545.478288979189,548.2628346988911,35633
2016-12-14,547.4947509765625,554.984144668089,544.4221626761357,551.0954266556375,75435
2016-12-15,542.0696411132812,551.5754471484973,540.1972782754672,544.0860544019811,35556
2016-12-16,550.3272094726562,557.3845092748088,542.7417637684508,542.7417637684508,115222
2016-12-19,551.1433715820312,560.6011220252965,545.4782856099359,553.9759145680789,81711
2016-12-20,546.9666748046875,553.5438857379924,543.4619936300151,552.1036154368527,20829
2016-12-21,545.1422119140625,552.0075225689662,541.0614467874491,551.1433371002587,68476
2016-12-22,535.8765258789062,547.3026932679784,532.1318584036047,546.3425131043502,29454
2016-12-23,539.0931396484375,545.3823077082797,533.8601462778231,539.7172215630744,26758
2016-12-26,520.9456787109375,538.6610125007608,515.1366010813871,538.5650179368633,22773
2016-12-27,526.61083984375,530.88365343387,513.7923990733901,513.7923990733901,32053
2016-12-28,547.542724609375,555.7522530820431,525.5065786845064,527.618986712585,88237
2016-12-29,547.110595703125,554.7920363127996,542.5017430582684,542.5017430582684,41959
2016-12-30,553.7838134765625,566.2181561633034,536.7886158023683,542.5496957865199,100004
2017-01-02,555.5121459960938,563.9137212791707,550.1831585374898,556.9044187639513,29239
2017-01-03,549.9431762695312,560.697205579688,548.1668664489262,558.7288480097552,22090
2017-01-04,548.5509643554688,556.7124964693311,545.3823812557431,545.3823812557431,14696
2017-01-05,550.711181640625,562.665433370902,547.8306418793405,551.0472797756138,42381
2017-01-06,540.4373168945312,555.0800626351913,538.8050576957573,550.7112551351554,31005
2017-01-09,541.2534790039062,549.6070567446544,535.780441269986,537.7008012745379,22751
2017-01-10,535.9246826171875,545.2864409741866,533.4281785591334,542.3578440402425,77279
2017-01-11,551.3353881835938,568.426581096981,547.3986148746397,556.424330651521,208118
2017-01-12,576.3480834960938,583.7894789931279,546.2944592096653,554.7920293353501,475175
2017-01-13,563.6737060546875,581.7731357837034,560.7451685222235,578.0284100177714,88396
2017-01-16,560.9851684570312,566.0741107674443,556.9044034318838,562.8575311895169,46087
2017-01-17,560.0250854492188,573.6116583280767,555.2241845881024,562.9536232535503,568160
2017-01-18,570.3469848632812,579.9487859552557,561.993406192315,561.993406192315,88258
2017-01-19,577.4043579101562,585.5178925751902,567.0344231463599,572.2674171211867,111362
2017-01-20,563.0016479492188,576.4441710147524,559.3049775480969,571.4032248651773,27828
2017-01-23,561.0332641601562,568.9067533108936,557.8646813057032,562.6655821775252,36243
2017-01-24,572.7954711914062,579.8528306345424,557.0965487853174,557.0965487853174,66236
2017-01-25,587.8223266601562,592.8632726801347,574.2357534691721,576.012121991442,217281
2017-01-27,584.6536254882812,594.7835127681377,580.9568973251462,589.5505200467752,62223
2017-01-30,600.7366943359375,604.9134542687538,577.6923722685565,577.6923722685565,95612
2017-01-31,590.414794921875,608.4661699366936,572.2673667296572,602.0329512407635,219576
2017-02-01,607.8419799804688,609.714342832951,583.7894810117075,595.3116418211491,88030
2017-02-02,615.1873168945312,618.7399944952069,600.1124796839242,604.9133795213955,76203
2017-02-03,608.8501586914062,618.2599702572778,606.2096635000065,614.2272022440101,97302
2017-02-06,614.3233032226562,619.9883900565029,605.009543213252,605.009543213252,54012
2017-02-07,612.5948486328125,619.0760637241472,607.7939485651573,613.4109782024191,42580
2017-02-08,606.4016723632812,619.3161051925065,602.9930450556496,614.4672078727993,55630
2017-02-09,595.3597412109375,609.7624446928797,591.2789752243872,608.754267170094,230927
2017-02-10,615.0914306640625,622.9169229647881,595.3117414075816,599.1524623198886,302035
2017-02-13,629.6860961914062,632.5666364837775,607.8419989742576,612.5949021776187,141163
2017-02-14,648.4576416015625,654.7468684750453,626.3734981263281,629.0139935418453,302526
2017-02-15,637.8956909179688,652.6344921159257,624.2131231003603,649.5619037622499,89118
2017-02-16,635.1591186523438,644.6649248223704,629.5900859467105,640.8242045281763,23617
2017-02-17,637.3675537109375,640.4401418244473,627.0456173921777,636.1673285575934,176694
2017-02-20,645.0969848632812,648.1215756582503,630.4542381539652,634.2469613176547,98942
2017-02-21,645.7691040039062,652.9224573532096,639.4799361724082,644.8569212028322,72728
2017-02-22,642.1685180664062,649.0818273568373,637.5596647410354,645.2891037748526,32932
2017-02-23,663.3403930664062,675.9187874335053,646.2012018673922,646.2012018673922,186604
2017-02-27,687.1049194335938,692.2899158932788,661.9001894860229,667.3252309928278,168296
2017-02-28,677.791259765625,695.8426366873806,675.1987613779032,691.3297778057538,51864
2017-03-01,687.200927734375,692.5299157114484,673.326313196053,673.326313196053,51551
2017-03-02,673.9025268554688,699.9714457031891,672.1262167245986,691.2818256222008,67426
2017-03-03,660.6519165039062,679.8075215219784,657.8193734432826,676.3508965493572,53474
2017-03-06,663.7244873046875,676.2548257599796,658.3954995253957,670.1097083459711,33185
2017-03-07,672.2221069335938,684.4644039801408,659.6437702727656,663.4844909148195,66964
2017-03-08,674.142333984375,679.7594219757924,658.6834598980494,669.9655745537375,31449
2017-03-09,671.5018920898438,680.1915683946149,663.6284625921948,669.3895428712974,14186
2017-03-10,660.7959594726562,678.7993364275305,658.8755992641363,676.3508888826162,25989
2017-03-14,670.3016967773438,682.640046085465,664.0125289145133,681.5358155410727,34639
2017-03-15,672.6061401367188,679.7114961082534,657.819343592602,657.819343592602,68995
2017-03-16,676.2547607421875,679.807438455061,665.9328257656452,678.847258457243,67207
2017-03-17,670.9259033203125,678.0312601211672,663.1004113817257,677.0230240445444,15848
2017-03-20,672.9902954101562,683.4562239574727,662.7163560104221,662.7163560104221,40223
2017-03-21,677.6470336914062,684.3202963994669,664.4445587169014,664.4445587169014,35792
2017-03-22,697.9548950195312,715.2861330330398,666.5089986869303,667.421122841795,113956
2017-03-23,709.3809814453125,719.174829292811,702.8517690818926,719.174829292811,77266
2017-03-24,698.7711181640625,715.3342260834443,696.1306226986538,710.1972856199116,30879
2017-03-27,693.8260498046875,707.7486599099676,687.5368824780772,707.7486599099676,37330
2017-03-28,690.2254028320312,700.5953942157299,686.8647726700242,696.178530839963,50636
2017-03-29,705.732421875,723.9758450255101,685.5686383928571,686.6248131333565,111460
2017-03-30,719.6549682617188,728.3445862442643,697.0907364349671,697.0907364349671,167534
2017-03-31,737.8984985351562,743.8516276157912,715.3342633815113,724.9360655745517,209190
2017-04-03,739.0507202148438,756.8140541204396,734.5378615016615,734.9219570280065,82989
2017-04-05,749.2285766601562,757.5821558793956,739.3387326072682,742.2192731239198,73144
2017-04-06,749.4685668945312,753.453337759725,743.2753935156878,751.052887504727,27576
2017-04-07,768.5761108398438,796.9494187877866,741.5470197607484,741.5470197607484,143210
2017-04-10,798.3896484375,815.1927979836892,769.1041592284275,769.1041592284275,139237
2017-04-11,803.6707763671875,817.113298313592,799.8300558110719,799.9260503830769,70650
2017-04-12,799.6859130859375,807.5114037580685,778.7060029105749,806.5512237298186,63378
2017-04-13,799.1099243164062,816.1531218611539,792.1486182770022,797.9096991371987,69551
2017-04-17,788.4999389648438,822.4902805974596,780.6264501330814,805.447083192955,185980
2017-04-18,785.475341796875,806.5513073222565,782.5468041281418,794.0689656613168,29033
2017-04-19,781.3466186523438,795.5092762561804,777.9859880344843,789.268105108727,39606
2017-04-20,796.7094116210938,800.7901769111083,769.10423465923,769.10423465923,54979
2017-04-21,794.30908203125,804.6310193317468,783.0269645167535,798.8699380477485,67824
2017-04-24,810.0079345703125,823.2584672537387,783.1228909188878,796.9495082386611,36708
2017-04-25,799.6859130859375,811.4481184319973,796.9974207277857,811.4481184319973,58565
2017-04-26,788.9320678710938,807.5115309011779,784.4672065948423,806.4553561457031,38898
2017-04-27,774.625244140625,791.7644343434896,772.9449290774132,788.9319501207235,23310
2017-04-28,774.0011596679688,794.0689473165353,756.6219231988268,778.3700260321623,60316
2017-05-02,779.1381225585938,793.8768630594642,768.384094149764,778.2259397792985,21477
2017-05-03,770.2086181640625,787.7799051820207,765.0236213237952,775.8256492370587,21981
2017-05-04,772.7529907226562,783.5070203702562,770.0644979619431,772.1289087736899,45537
2017-05-05,765.8876342773438,772.9449341472272,758.5422335109434,769.3442589881563,22735
2017-05-08,764.1112670898438,772.9449352132284,758.5422345570813,758.5422345570813,22591
2017-05-09,763.295166015625,770.5445138958149,759.8865384539189,770.5445138958149,26551
2017-05-10,777.409912109375,787.2517590294536,764.3514263989099,769.9204597644439,87953
2017-05-11,765.9356079101562,787.0595681911674,762.6709724248324,776.7856303335464,76931
2017-05-12,778.5140380859375,788.499934885003,751.0529097956238,768.1441043975199,174006
2017-05-15,788.2598266601562,796.949444423586,782.2107040439131,783.6989714059249,115988
2017-05-16,767.0878295898438,791.0923297196456,761.9028341199119,790.2281442730781,105251
2017-05-17,775.2014770507812,778.4181159501153,770.064536316505,774.6253923607736,49075
2017-05-18,771.8406372070312,779.7141245979676,760.5585226799119,760.5585226799119,33203
2017-05-19,768.960205078125,774.5772937926243,758.7823195204436,768.960205078125,42123
2017-05-22,773.1370849609375,776.7857578876682,767.6640462684682,769.1043165241313,160897
2017-05-23,769.9204711914062,777.7459632761459,753.9815032871526,777.3618677536163,63650
2017-05-24,798.1017456054688,816.1531205508203,763.4392073227575,777.2658248069282,180675
2017-05-25,786.57958984375,794.0689832855912,777.9379685020689,785.3313673709007,36408
2017-05-26,780.7223510742188,789.2679766968952,773.1849613566604,787.2035662113283,44836
2017-05-29,785.6193237304688,800.0220243906286,784.7071409677109,787.3476360887402,23886
2017-05-30,782.0667114257812,787.7317976023776,778.3700413882568,785.6193896074733,24889
2017-05-31,807.8956298828125,820.6660146031087,771.6488279537128,782.5468495951325,340907
2017-06-01,806.5993041992188,811.3522075501953,787.3957016536519,790.2282447500719,81447
2017-06-02,833.96435546875,839.86948611025,803.5746926043591,805.6390445112967,101023
2017-06-05,835.1165771484375,839.9654745560897,831.5159020529427,834.3964421293385,108736
2017-06-06,844.6704711914062,849.759414154092,840.1576128642154,840.1576128642154,86146
2017-06-07,863.6339721679688,883.1256157887012,844.9584581615189,844.9584581615189,181080
2017-06-08,847.3589477539062,883.365701907755,840.3976419508289,880.0050715200624,72582
2017-06-09,857.0088500976562,863.202024284272,837.4212086249122,846.7829658404535,66060
2017-06-12,841.7899780273438,862.2418042011429,840.2056572837389,849.7594618240663,14453
2017-06-13,846.686767578125,856.7686582365967,840.1575548726344,843.038095060769,27557
2017-06-14,854.1282348632812,871.79557294421,845.0065235007381,846.6868387517329,110920
2017-06-15,884.325927734375,892.6795068508607,854.5603427617739,854.5603427617739,79187
2017-06-16,899.4967041015625,913.1312732143551,882.7415496702139,884.3258702738392,90526
2017-06-19,894.8878784179688,910.5388027680638,893.2075631956174,907.8023128478463,28512
2017-06-20,868.0028686523438,895.8960907083309,862.2417876657131,895.8960907083309,19293
2017-06-21,860.7536010742188,879.4771160414659,855.7606520286691,864.1622292575621,44353
2017-06-22,857.2008056640625,875.6362757650169,854.800355354166,865.1702889719703,76386
2017-06-23,842.942138671875,860.9935129474221,839.8695506110973,857.2007898069971,56228
2017-06-27,854.4163208007812,869.731206591148,846.878929732027,846.878929732027,79960
2017-06-28,851.7277221679688,859.9372500724647,836.6528832985442,849.7593647389566,100918
2017-06-29,837.901123046875,858.4489404383743,834.6364875169069,857.4407631321229,34944
2017-06-30,840.5897216796875,846.8788899235905,834.396548008617,837.1330379865399,34826
2017-07-03,839.6295166015625,848.2231403857297,835.7887961263809,846.4947692881033,96284
2017-07-04,839.389404296875,854.5602372369884,833.8203717751549,843.3741163076648,30740
2017-07-05,832.8602294921875,843.0381149552171,830.5557738454019,837.7091272023597,42302
2017-07-06,826.1389770507812,843.3741628695439,821.9621584753388,835.3566825194438,57890
2017-07-07,825.1307983398438,830.5558396941956,821.1940831196079,823.8345785637224,24676
2017-07-10,828.6834716796875,844.9585370402181,823.8825709010499,837.277095794398,15491
2017-07-11,847.983154296875,873.6199183668535,835.3567614151946,835.3567614151946,89507
2017-07-12,866.4185791015625,896.7603085519645,851.9198815389666,854.0802869866563,337585
2017-07-13,861.4255981445312,879.4289749774738,854.8003320281115,872.803708861054,48730
2017-07-14,846.8309326171875,867.9548968552024,837.5171730276586,866.178528335975,41899
2017-07-17,852.1118774414062,866.5625768355544,836.3648996946849,836.3648996946849,80207
2017-07-18,835.1646728515625,862.2417644816226,829.5956397685098,854.5603233726549,32907
2017-07-19,845.1025390625,856.4806498137566,838.2852251847692,844.4783985551558,65679
2017-07-20,853.287353515625,856.8982856236497,847.3654013497919,847.3654013497919,112727
2017-07-21,856.85009765625,858.1982024928217,852.0837142642383,854.2502735412188,141941
2017-07-24,882.3673095703125,894.5000762097537,855.0686874820078,856.9945178592195,100172
2017-07-25,878.8527221679688,895.2704147113783,872.1123157114163,887.8078218487666,115664
2017-07-26,881.2117919921875,885.7856387935825,873.6047390664605,877.5045335322625,32112
2017-07-27,890.1188354492188,896.474052268119,881.0674090497624,881.0674090497624,80090
2017-07-28,883.0894775390625,890.6483968749344,877.5527153200849,886.459680628875,10870
2017-07-31,870.956787109375,884.9190573283755,866.7199367756275,876.2528206407201,18942
2017-08-01,885.496826171875,893.2483408272461,860.8462196763916,860.8462196763916,49417
2017-08-02,881.500732421875,886.0745796261688,874.5677312210304,878.1786632244203,21594
2017-08-03,878.948974609375,890.6002836837332,873.0752154528203,877.9379254131392,34400
2017-08-04,869.1272583007812,885.0635522868238,860.6536160778039,879.6230577586261,28388
2017-08-07,887.7114868164062,900.3256515812269,866.6236218428922,866.6236218428922,82759
