Price,Close,High,Low,Open,Volume
Ticker,ERIS.NS,ERIS.NS,ERIS.NS,ERIS.NS,ERIS.NS
Date,,,,,
2017-06-30,573.9530029296875,578.0560634555984,562.8842733844508,571.3766436376303,518461
2017-07-03,573.9052734375,583.972101114281,568.7048566407051,571.5674649795005,342564
2017-07-04,571.6629028320312,579.2011286257645,569.7067986419875,574.4301143866726,248827
2017-07-05,574.859619140625,577.0065759285052,568.2755950284869,573.2851608668741,279189
2017-07-06,570.08837890625,588.4567797259365,567.7982692743262,576.3383945501619,491197
2017-07-07,569.4205322265625,575.3842998451901,565.9376686413167,570.2315813267286,193182
2017-07-10,570.6133422851562,574.4301539392376,524.8593009338717,565.3652262607944,39676
2017-07-11,579.7259521484375,603.056224375506,568.1801205156981,568.7526189517313,1556007
2017-07-12,590.0313720703125,598.7623523770399,581.0618992655126,583.972206621113,551157
2017-07-13,648.1422119140625,666.892319073276,587.8842855155973,595.8519133479994,3673770
2017-07-14,652.1976318359375,694.6596576101865,592.5599551867114,674.6213982560465,4672241
2017-07-17,630.5372314453125,657.3026097319032,615.8425425036156,645.1365233980056,907124
2017-07-18,614.125,642.1785902395715,607.9226807777753,622.2834818765599,546062
2017-07-19,623.47607421875,632.1592955866931,615.4607481561013,615.4607481561013,387365
2017-07-20,619.802490234375,632.684229554538,612.7414236250548,623.9533078481596,333763
2017-07-21,607.111572265625,626.2433280422787,603.2947608093382,621.47231372192,177971
2017-07-24,587.168701171875,609.4016741960867,582.0637392140802,608.5905668286396,183919
2017-07-25,586.4052734375,601.147717197712,584.4491694977756,588.7430817634736,213647
2017-07-26,582.5408325195312,591.6057594792946,580.3461776404145,589.0294001690622,113685
2017-07-27,562.3117065429688,584.0198205576373,558.2086460914766,583.9721220649293,229771
2017-07-28,580.3938598632812,584.1629726151858,548.6666163935663,548.6666163935663,302337
2017-07-31,573.8099365234375,582.7794677969632,564.6496112465869,580.3939603561242,132167
2017-08-01,565.6514282226562,575.7182564711557,563.0750689234397,573.9053060309063,71565
2017-08-02,554.3441162109375,570.6132619479245,553.4376119227361,565.8422480520387,91161
2017-08-03,544.658935546875,560.4987366496098,542.84598520759,555.346018338135,71446
2017-08-04,542.2734375,547.139906705176,537.9795249165653,544.8497966980442,75716
2017-08-07,535.3078002929688,555.298361702339,531.4909888826802,543.8956259661179,233028
2017-08-08,530.5844116210938,538.9336854338883,520.0404831969184,536.3096279498671,105378
2017-08-09,522.9984741210938,538.1703202758998,520.0404690609316,524.8114825385549,48594
2017-08-10,506.2046203613281,529.0577906476796,501.4336060318151,521.7581154275563,118922
2017-08-11,504.05767822265625,519.0863737872693,486.64347542556493,500.9565188204345,178480
2017-08-14,516.4146728515625,523.5711953183526,507.6359936443141,507.6359936443141,48659
2017-08-16,560.9759521484375,570.4225266544544,515.2696063621906,521.9013286846525,288807
2017-08-17,555.3460693359375,578.1992396791034,545.5177914406912,566.0331531085995,294836
2017-08-18,563.1705322265625,567.6552972576698,543.8956230596235,553.9147529580903,124222
2017-08-21,572.9034423828125,577.7698538592333,554.3918828938308,562.0255060662071,162176
2017-08-22,558.7333984375,579.2010587001757,555.3459903846825,572.5216395718377,53293
2017-08-23,571.615234375,579.6782605107472,562.0732053953992,568.7049271842063,203476
2017-08-24,575.09814453125,579.916857905764,564.8881610534139,572.521784851433,142044
2017-08-28,575.5751342773438,579.2010932294792,566.7964569659154,576.3384848609644,92891
2017-08-29,571.615234375,583.8290198209044,562.0732053953992,571.5675358780866,111640
2017-08-30,564.2677612304688,577.6743561822474,559.6399012847779,574.430043603472,55900
2017-08-31,563.933837890625,568.180051871287,557.7315198765995,563.7906841789506,130910
2017-09-01,555.0120849609375,568.7048719200936,553.9147284389502,565.8899619966668,61593
2017-09-04,549.8117065429688,562.4071961024661,542.9891327115973,555.7277759978758,30197
2017-09-05,559.3538208007812,562.979780621203,550.5274428842624,552.3881504173524,49840
2017-09-06,550.4796752929688,558.1609969758489,548.6666664903358,554.0101794245334,27166
2017-09-07,535.8326416015625,557.1591119477565,533.8765372506844,553.2468450060754,73458
2017-09-08,559.7830810546875,563.9338398285252,537.2161621378336,537.2161621378336,116857
2017-09-11,558.5903930664062,562.9797030484422,553.4376741832143,560.8327465537659,39842
2017-09-12,568.80029296875,574.4301130537832,550.1933374794663,557.2544618329059,98166
2017-09-13,562.4548950195312,576.3385351707767,560.1170863331887,576.3385351707767,47678
2017-09-14,548.3327026367188,566.2717049478506,543.9910329855276,560.1170847872972,50182
2017-09-15,542.3211669921875,555.3460592024396,539.267764461361,548.5712422572782,30526
2017-09-18,558.3040771484375,561.8346394230571,543.1322864265793,549.3346050949926,630544
2017-09-19,554.200927734375,562.0731001687835,549.6207663296107,559.1627935228331,20775
2017-09-20,553.246826171875,558.2086928675712,551.5292726110362,554.2010290656657,27287
2017-09-21,550.1455688476562,557.9700428320609,544.8974538659096,551.6245714218024,38858
2017-09-22,539.8878784179688,553.3421714918728,538.1703251982968,550.6703573280375,26157
2017-09-25,536.1666259765625,540.9853389121997,531.4910085301489,534.3536171936864,28095
2017-09-26,542.6551513671875,547.4261654318896,534.3535752466225,539.9833951389379,25521
2017-09-27,547.3306884765625,549.9070476171987,540.555872069626,546.1379350077416,32350
2017-09-28,540.1265869140625,546.7583092943266,535.8803719914525,546.3289063039632,39654
2017-09-29,550.3365478515625,552.0064030032578,541.1284661476727,544.6590286878135,21771
2017-10-03,550.1455688476562,555.2028316366296,540.3649909271285,553.4375798932798,22564
2017-10-04,558.351806640625,562.7888148352754,545.3269147765049,552.4834359677975,31272
2017-10-05,553.580810546875,562.3594302355701,553.4376568224183,557.9701203912225,13295
2017-10-06,556.8251342773438,562.979755112577,552.9606238775226,558.2087402387416,311871
2017-10-09,563.21826171875,564.6972645657489,558.3040934878353,558.3040934878353,43127
2017-10-10,562.4071655273438,566.7487767113125,560.4510031539801,563.4567653336068,23357
2017-10-11,561.6915283203125,565.2697889910698,558.2086646381408,560.403319534888,45658
2017-10-12,553.6285400390625,561.4052588117358,553.4376878090746,558.017850129165,12192
2017-10-13,557.3497924804688,563.9338146274139,553.437584575127,555.3459900391791,23742
2017-10-16,554.3441162109375,572.3308153024601,553.4376119227361,563.0750366964588,48879
2017-10-17,558.3040771484375,562.025491645454,549.6208543086274,557.9224309435649,24120
2017-10-18,546.1856689453125,556.6341423042213,543.8955590847798,554.4871861499392,19783
2017-10-19,547.950927734375,552.2925385873785,545.8039715525686,547.807774026289,5751
2017-10-23,543.3231811523438,552.4835061447843,541.1762245222475,552.4835061447843,10973
2017-10-24,544.2295532226562,553.3422367143063,539.2199884348544,547.6170198139614,18253
2017-10-25,537.4070434570312,547.5692686138726,535.3077855910435,541.5578024557537,13408
