Price,Close,High,Low,Open,Volume
Ticker,FINCABLES.NS,FINCABLES.NS,FINCABLES.NS,FINCABLES.NS,FINCABLES.NS
Date,,,,,
2015-01-01,237.14462280273438,238.76984524024522,235.88057927628083,235.88057927628083,53202
2015-01-02,242.607177734375,247.25706767785837,236.55778816054314,236.55778816054314,294129
2015-01-05,242.56204223632812,244.14210396555762,240.25967759537252,240.4402395462591,138246
2015-01-06,231.6821746826172,241.93000801923318,231.14043378012764,239.85333915203773,160218
2015-01-07,231.8627166748047,234.75198287022587,231.14041390299164,231.45643169844155,94686
2015-01-08,236.78350830078125,238.905310740128,233.03651072504664,233.03651072504664,165201
2015-01-09,244.18719482421875,252.5840808606893,239.17612682161115,239.26642154810605,696731
2015-01-12,242.3814239501953,247.3924646765728,240.25962175328394,242.60714700190752,117972
2015-01-13,246.39930725097656,256.1956943794761,242.7426043968866,242.8780327333183,853269
2015-01-14,243.05860900878906,249.740006265821,239.2664504702677,245.99300887304707,249187
2015-01-15,247.70849609375,250.59773478224082,243.78090926696524,248.7919502691522,163967
2015-01-16,245.7672882080078,250.28174958174722,244.63867286457298,248.29537555566768,86988
2015-01-19,242.607177734375,248.20509359350822,240.16935744543693,245.76730085865708,372063
2015-01-20,240.033935546875,244.5483972740907,239.35676628779265,242.87804092420336,92549
2015-01-21,238.3184051513672,242.38142001624234,236.73834381502684,241.07221531592714,108196
2015-01-22,238.95046997070312,241.47858524242858,237.4607030101645,239.26648782393,83433
2015-01-23,234.93255615234375,243.2391476721714,233.3976284253986,241.07221195195908,107400
2015-01-27,234.34567260742188,237.1898052399077,231.59186226489237,236.557769642892,149124
2015-01-28,230.73410034179688,235.15828030895423,229.33461470139974,234.57137834617657,99235
2015-01-29,227.52882385253906,231.54670497791707,226.62593169439407,230.73409376936198,354251
2015-01-30,228.92832946777344,232.67534051789272,226.7162462423288,230.86954226668476,124923
2015-02-02,232.08843994140625,239.2664442917939,225.81335538771373,228.74775517619798,193703
2015-02-03,231.5918731689453,236.55778078075505,230.3278294694837,234.3908447882371,82844
2015-02-04,233.35250854492188,235.1131318661003,230.68896543702894,233.44277572491748,314973
2015-02-05,230.32778930664062,237.00918559938808,223.91724963294567,232.94617098911283,106181
2015-02-06,226.80650329589844,234.70682331477408,224.91043806408248,230.32779091562642,130475
2015-02-09,225.85850524902344,231.14043075962115,219.53825909544005,226.12937569672852,146871
2015-02-10,227.66429138183594,232.449637176755,223.28527192674778,224.0075885330949,129511
2015-02-11,224.27841186523438,230.91467489502824,223.0143683248171,230.59865712140328,160218
2015-02-12,228.6123046875,231.54671814538477,219.8542530108538,226.98709595500935,750011
2015-02-13,239.7630615234375,241.02713290417086,229.33466551100943,232.7656455482,482364
2015-02-16,249.28854370117188,252.80981779536202,241.74938826681492,242.33626269016605,489160
2015-02-18,248.25025939941406,255.8796831244347,244.50323415276972,250.23660601091908,226126
2015-02-19,243.9614715576172,252.08750096111038,242.87798994885202,248.7919225486504,259895
2015-02-20,247.4827880859375,249.6497241226586,242.29115729495996,243.7809240980753,117140
2015-02-23,249.19822692871094,257.59511268402423,246.5346841337463,247.39244267560434,294056
2015-02-24,249.74002075195312,254.7059285025903,248.5211106114339,250.73320781289792,113081
2015-02-25,245.6318359375,252.4938228373612,243.78091776866856,250.55260992890933,95581
2015-02-26,243.51004028320312,247.34733217924196,238.58926671253167,247.34733217924196,124748
2015-02-27,246.44444274902344,247.3924685594608,242.51685607676995,245.3158274727485,73329
2015-03-02,244.638671875,246.48959000911194,237.46066729815544,243.51005653613046,104746
