Price,Close,High,Low,Open,Volume
Ticker,HGINFRA.NS,HGINFRA.NS,HGINFRA.NS,HGINFRA.NS,HGINFRA.NS
Date,,,,,
2018-03-09,264.6548767089844,272.80950876444325,249.18579284280162,266.87886726956407,15776490
2018-03-12,265.09967041015625,267.8672908698283,258.6748091900312,264.8031202549624,1278682
2018-03-13,268.8557434082031,273.9956446863396,260.94822154325595,264.0123922988834,1262968
2018-03-14,268.9545593261719,273.8967598644522,267.37304912096255,268.3614892286186,477332
2018-03-15,284.91790771484375,290.304919250135,269.00401334117544,271.771664194963,2210265
2018-03-16,292.92425537109375,300.48581676663616,287.6360943391155,288.7233845774812,1339569
2018-03-19,297.2734069824219,307.40491960609546,294.70345628394415,298.50895730238204,565161
2018-03-20,293.61614990234375,301.4742615732051,293.5173300139967,297.42165071253953,247595
2018-03-21,293.9127197265625,300.4858414758869,293.5667595997974,297.32282055232474,282172
2018-03-22,291.9852294921875,298.41009080198256,287.7349486916281,298.41009080198256,234442
2018-03-23,288.82220458984375,291.39212467622,273.4519431858762,288.2785444448046,195670
2018-03-26,293.072509765625,296.1860902613723,289.1681590367228,289.86007922013334,136812
2018-03-27,293.2207336425781,297.520453876072,292.57825364557243,295.2964637723472,84581
2018-03-28,297.02630615234375,299.49740686908535,291.58988457551214,293.0231350571438,283595
2018-04-02,300.0904846191406,303.5005855951009,298.0147539319275,300.83181485280215,78989
2018-04-03,298.45953369140625,301.07889421684155,297.1251333739803,300.4858240574521,59151
2018-04-04,296.6802673339844,300.4857674614387,296.53200736326187,299.2502174307584,122914
2018-04-05,316.74566650390625,328.1621384721841,294.55517248406886,297.520493012432,622573
2018-04-06,318.080078125,330.139061913511,312.9896165865399,316.3008976416872,202562
2018-04-09,328.1621398925781,342.44511256526863,319.2661782689841,319.2661782689841,330216
2018-04-10,337.6512145996094,342.8899361560625,329.1506219341158,329.1506219341158,322857
2018-04-11,337.3546447753906,345.95408700398207,335.62487434037075,345.95408700398207,151072
2018-04-12,334.2904968261719,342.2474285873358,333.5985766013742,338.6396277918665,130852
2018-04-13,335.2789306640625,340.6659116994974,333.1043501402531,335.9708207108737,189580
2018-04-16,331.1274108886719,336.0696110511893,329.2987907955812,331.32511096109096,52196
2018-04-17,331.9182434082031,334.5376343566232,330.08965296998366,332.4124635622742,37755
2018-04-18,331.2757568359375,335.57547812618515,330.04020647464813,335.57547812618515,52240
2018-04-19,331.3251647949219,333.1537550203266,329.24943435643996,332.16531482722104,36502
2018-04-20,329.3482971191406,333.1537678776199,326.6300864831972,331.32517758164494,38673
2018-04-23,337.99713134765625,350.89626362046005,330.13901985699624,330.13901985699624,100266
2018-04-24,338.095947265625,344.0760283785552,337.05809715555284,338.49134746450966,194951
2018-04-25,333.0549621582031,340.5670841035273,331.22634161961633,339.0350137458159,62927
2018-04-26,331.7205505371094,335.08124131974523,331.1274803602202,332.11592060010145,37971
2018-04-27,332.4618835449219,334.1422138681315,329.79308280862097,331.9182233094815,35138
2018-04-30,332.0664978027344,334.1421980943116,326.67948663794317,334.0433782059897,45076
2018-05-02,330.68267822265625,334.93298945631875,329.4965680048551,332.9066688164369,23703
2018-05-03,330.7815246582031,345.95408857584727,329.59541445339613,329.59541445339613,18365
2018-05-04,330.8309326171875,332.7583728244773,330.28727243195215,330.8803425591181,10790
2018-05-07,329.4471435546875,332.46190460179355,326.18530259466263,327.27259296960574,60270
2018-05-08,324.9002990722656,331.1274601372855,321.83612848281126,330.0896100147156,57708
2018-05-09,328.6563415527344,329.9413016492767,324.30721103582334,324.30721103582334,30912
2018-05-10,327.9644470214844,332.1159079366125,326.9265968751029,326.9265968751029,28188
2018-05-11,327.22314453125,329.84253542032747,326.28414435867074,328.755245073043,47930
2018-05-14,326.28411865234375,328.6563691182824,325.5921984409111,327.2725588602183,15952
2018-05-15,324.603759765625,328.6563706700049,323.2199495010274,327.1737103511928,54091
2018-05-16,325.93817138671875,327.1737216952355,322.6763306381555,324.94973113990534,28616
2018-05-17,325.39453125,327.1737115732997,323.7635807613734,326.1852713570662,22827
2018-05-18,325.3450622558594,327.17368252650505,324.3566221273805,325.69102233378675,12637
2018-05-21,323.61529541015625,326.926575908096,321.8855251672563,322.4785952834961,33973
2018-05-22,323.9612731933594,326.5312237276246,321.8361328117788,321.8361328117788,9861
2018-05-23,323.3187561035156,326.18522630169224,322.23146598288383,325.2461961600563,71450
2018-05-24,325.39453125,342.9887550330363,322.2315104921321,333.796273087985,83076
2018-05-25,326.1358337402344,336.06964500459776,322.3303331976637,326.1852436809331,118078
2018-05-28,327.5196838378906,331.12748472808687,326.33354346846596,328.0633139110754,28634
2018-05-29,326.58062744140625,329.49653802049033,325.6910373178078,328.26098780304795,16517
2018-05-30,325.2462463378906,328.4092671468359,319.8592651713083,327.7173469183785,16751
2018-05-31,323.0222473144531,329.15058865870384,321.24306700924546,328.01388845455443,45515
2018-06-01,315.21356201171875,326.9759939208462,311.3586514081963,326.9759939208462,439011
2018-06-04,292.7265625,329.15059031394827,288.13032155109886,319.1673381483427,142839
2018-06-05,291.78753662109375,296.3343370588815,288.1302960969963,293.5667167780717,110733
2018-06-06,289.168212890625,293.22082436649106,283.7317909550208,291.6393137704451,72698
2018-06-07,295.0494079589844,299.9421991518631,271.8210626087796,287.6361062514722,290019
2018-06-08,298.75604248046875,304.93379356567283,289.76123086745156,294.55517174253,102707
2018-06-11,306.21875,309.6782905656253,296.58145842432947,298.2124088228213,121481
2018-06-12,304.2913513183594,307.84974241881224,301.42488049139604,307.84974241881224,20828
2018-06-13,301.2271728515625,304.24190361483653,300.28814252736726,303.00635327500237,59303
