Price,Close,High,Low,Open,Volume
Ticker,INDIAMART.NS,INDIAMART.NS,INDIAMART.NS,INDIAMART.NS,INDIAMART.NS
Date,,,,,
2019-07-04,608.778076171875,625.634699079487,551.7555642106088,551.7555642106088,15123226
2019-07-05,619.8132934570312,630.1703553677215,610.2043062625278,614.2723121394257,2809364
2019-07-08,630.0533447265625,639.9896199580064,607.4454075568933,613.4773225249155,925882
2019-07-09,620.7717895507812,632.9758637069015,618.013000170498,626.5699105868965,351768
2019-07-10,619.6729125976562,625.2138361106153,617.9661997059643,621.8004674060213,126072
2019-07-11,619.5794067382812,625.6346671199219,618.8312179755553,625.6346671199219,158714
2019-07-12,609.362548828125,626.5698634314911,582.1488656509002,619.5560216766609,390750
2019-07-15,593.3709716796875,618.6208002618018,589.1626669160017,607.8662436434939,111966
2019-07-16,585.6325073242188,596.6208617165378,584.4869357616469,596.106524628828,109908
2019-07-17,600.4315795898438,605.6452131843355,582.7800784914391,587.6664223142968,202698
2019-07-18,591.5005493164062,596.1764429868916,590.0977812152606,596.1764429868916,70828
2019-07-19,573.2412719726562,595.1946312258904,572.7970848200266,594.7503869944695,91318
2019-07-22,564.82470703125,574.9947785362917,556.4314984367683,574.9947785362917,56598
2019-07-23,566.01708984375,576.5144512889701,562.9310105589981,568.1212425940985,79746
2019-07-24,569.3135375976562,575.0882556857069,565.783214543165,566.2508039766717,60540
2019-07-25,584.3231811523438,589.6303101171002,566.250837075185,570.4591422227297,79544
2019-07-26,571.7683715820312,600.6653637927095,563.4452569875468,582.1254316802249,34736
2019-07-29,563.749267578125,572.7737102884513,561.107375602239,569.056396756604,28834
2019-07-30,572.4464111328125,579.8343476224048,555.4962927717226,566.2041030969697,71154
2019-07-31,562.8374633789062,572.3295531457674,556.8990995070335,572.3295531457674,44166
2019-08-01,569.2200317382812,596.5740158221613,561.1073658231796,589.1627341143387,591232
2019-08-02,574.9011840820312,580.7460517526497,558.3251621996717,574.6673893752065,374786
2019-08-05,556.4781494140625,572.8204336579748,553.6258654083745,572.7970313557929,94144
