Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2015-01-01,359.9809875488281,361.36664733557,356.7903133165514,358.98730707694995,2002764
2015-01-02,367.05517578125,368.12179046217244,359.5434254899942,359.5434254899942,6778320
2015-01-05,363.9010009765625,370.1182538936478,360.5462300860535,366.45354065858766,9937024
2015-01-06,356.29803466796875,361.91363037942995,352.6333217536894,361.00200914421725,9667316
2015-01-07,358.0028381347656,360.0448611068284,355.5323353124777,358.26719943026603,7249916
2015-01-08,359.8077392578125,364.1014837347003,355.5322450088461,362.02298308183504,13564920
2015-01-09,378.2225341796875,384.5218459642034,348.79541782707446,361.0202455220383,44863328
2015-01-12,385.7890319824219,386.38158586265354,378.3228619940553,381.422374598344,12758888
2015-01-13,380.85711669921875,384.3030718104022,378.3228273715676,384.3030718104022,8801236
2015-01-14,388.1045837402344,388.89771221018583,381.53182866822647,382.60752417865683,9921260
2015-01-15,389.1256103515625,392.5077347851084,385.1144760290912,389.2988095220252,8342452
2015-01-16,386.217529296875,393.82044283233546,385.0688774360613,391.6325514832669,6690960
2015-01-19,383.3367919921875,388.7791894600593,381.89644801049684,386.52746683635553,4087744
2015-01-20,387.2931823730469,388.8976447560737,383.14530547750036,384.15721401830626,6804504
2015-01-21,395.62548828125,396.72855921976054,386.16287473658036,388.62425283334323,8494908
2015-01-22,400.4660949707031,401.66032772554786,394.05741530891845,396.5187927144086,9958396
2015-01-23,403.85736083984375,405.67147832350275,394.7502729593578,401.11337182548584,9486328
2015-01-27,389.5357971191406,404.9421977072836,388.36893961342696,404.9421977072836,13739968
2015-01-28,391.00347900390625,392.8723025652776,388.4053584429754,391.9971372632549,13134356
2015-01-29,391.1767883300781,391.9789974504669,387.91320114282564,391.0856261794535,15369424
2015-01-30,390.5204162597656,394.2854399156699,387.7946767663769,394.09399049032385,10833744
2015-02-02,389.599609375,392.3618040847124,387.6304984816886,390.44739937147375,8702540
