Price,Close,High,Low,Open,Volume
Ticker,JUBLFOOD.NS,JUBLFOOD.NS,JUBLFOOD.NS,JUBLFOOD.NS,JUBLFOOD.NS
Date,,,,,
2015-01-01,132.84519958496094,135.68555778030293,131.3131442304123,134.67391440832728,1080330
2015-01-02,133.40936279296875,135.10191134878195,132.60201328760712,132.97163906861277,1746390
2015-01-05,134.265380859375,136.13301316889155,133.5552949704338,133.99788712198452,1154770
2015-01-06,129.97567749023438,134.04168095576247,128.88622883388223,133.84713867321742,1935150
2015-01-07,128.3074188232422,131.22072837504712,125.97288241522716,129.96591839532866,2200140
2015-01-08,131.50282287597656,132.2615479256474,128.92509021622107,130.1945052925757,1882460
2015-01-09,133.7984619140625,134.21672696224425,131.82382935621993,132.77709666351137,1290150
2015-01-12,137.97145080566406,138.2778618672141,133.74982357293635,133.74982357293635,1932080
2015-01-13,135.8995361328125,139.8585226561538,134.4453008823264,138.3216140196158,1840160
2015-01-14,135.99681091308594,137.54344159109584,134.2361793414699,136.37617343491138,1586760
2015-01-15,137.5580291748047,138.73503406643644,134.46476787976152,137.13976415448687,2100520
2015-01-16,137.89849853515625,138.99768364677143,135.25268267113034,137.0570852156095,1876400
2015-01-19,136.8528289794922,138.8080029770781,136.27892417796588,138.32163995694634,1191950
2015-01-20,134.4355926513672,137.3489021425768,133.53094979330862,137.14949154030248,1316720
2015-01-21,136.22055053710938,137.05709554011418,133.78873539379563,135.40346421118517,1618990
2015-01-22,136.66798400878906,138.89551970850033,135.40830579494687,135.60284799938935,2092180
2015-01-23,135.63204956054688,137.73800969541512,134.52801087659,136.6680051415997,791430
2015-01-27,138.2729949951172,138.8079972637658,135.28186551294556,136.08436149460806,2482170
2015-01-28,138.68638610839844,141.628890731716,137.15434585197985,138.80797684053672,3246090
2015-01-29,137.87416076660156,139.87797354750384,134.75657278447468,138.81283760499022,1697400
2015-01-30,135.21380615234375,139.31871178146014,133.87630766719056,138.32165855059003,2071940
2015-02-02,136.3518524169922,137.5434327075997,135.03866654946177,135.20889654601112,842530
2015-02-03,135.02407836914062,136.98412044310447,133.55526761909414,136.191346468211,1286540
2015-02-04,131.045654296875,135.37428223940412,129.625467736877,135.06787115964494,6576020
2015-02-05,139.2895050048828,140.88962856878638,129.15368714632348,131.0261876421343,21594820
2015-02-06,143.550048828125,146.85245803809698,137.15437779656153,139.48406092286996,20015440
2015-02-09,141.65321350097656,144.93616351344554,140.4616183001436,142.6988909067946,2679640
2015-02-10,148.21424865722656,148.97297371289207,140.5102608932706,141.04526313575786,5579430
2015-02-11,150.5585479736328,152.52345889597953,148.75899871090903,149.31345972490013,3373360
2015-02-12,158.038818359375,159.63895702782182,149.21618507778092,149.99436896424467,8050650
2015-02-13,157.88314819335938,158.74887370405773,154.6634276405668,158.06796850057927,2813900
2015-02-16,159.11851501464844,161.27796784271368,157.38706398567655,157.5913281263036,1723960
2015-02-18,164.25938415527344,164.87705983254142,158.26251995038132,158.65161926263846,3043690
2015-02-19,158.12147521972656,163.8070601437286,157.19738844492107,163.51525420414274,5638400
2015-02-20,157.35789489746094,160.08638430221072,155.74803449633615,156.90071247342814,1869070
2015-02-23,154.87257385253906,160.3393043240727,152.8152677645152,154.66344131487705,1645070
2015-02-24,162.0172119140625,162.73216599301173,154.85794920960987,154.85794920960987,3432770
2015-02-25,163.53468322753906,167.22132291838273,162.2506926817837,163.11641819026593,5423970
2015-02-26,163.68063354492188,166.50153344508698,158.13122907370087,163.53471571673344,3640970
2015-02-27,161.28770446777344,166.62310746200677,159.76538582005935,163.95783273353115,2843520
2015-03-02,161.91510009765625,162.73705471438598,157.56214552604317,159.77995950887004,1631860
2015-03-03,162.9705047607422,165.20292395459867,161.46279136026652,161.46279136026652,1694750
2015-03-04,159.8432159423828,164.58525575489261,158.9239974815062,163.5152659335409,1687540
2015-03-05,159.42979431152344,161.47252496194614,158.31116528648633,160.6262580446158,748930
2015-03-09,155.43675231933594,160.1544794453276,154.80448634446415,158.65161952810868,1494120
2015-03-10,153.44754028320312,155.95717536974198,151.5020881084557,155.14981093610712,1669160
2015-03-11,150.9622039794922,153.20433006648403,149.70251087077378,153.20433006648403,2215220
2015-03-12,157.3627471923828,157.9707009596886,152.71798634721506,152.8152648870325,3173770
2015-03-13,154.58074951171875,158.5543418489315,152.94657691650696,157.86369984141288,2161420
2015-03-16,151.84738159179688,154.5661488646199,150.97193416621752,154.07978588538242,956390
2015-03-17,151.6723175048828,154.22085509345288,150.96708515745166,152.32891057962524,1745310
2015-03-18,151.00111389160156,152.5234323827039,149.79979674606952,150.5779804769108,1835220
2015-03-19,147.8349151611328,153.49618844183172,147.07618995646928,153.49618844183172,1639680
2015-03-20,154.318115234375,156.41433850644432,143.91967226937933,148.04888925082582,4837870
2015-03-23,153.2481231689453,155.5875281226692,151.25890018556169,155.14980437039927,1199370
2015-03-24,147.73760986328125,153.45722788505037,146.71624473140926,153.20432450223075,2879330
2015-03-25,148.31153869628906,150.6655339032475,145.0383102682902,148.82221392400845,2860720
2015-03-26,145.0529022216797,149.21616848221288,142.6794483111171,148.63254176424235,5133580
2015-03-27,146.7357177734375,147.961347146129,141.28844643179022,146.38553583229415,1820340
2015-03-30,145.63656616210938,150.7676908705417,144.454707405048,146.93029377421774,2058890
2015-03-31,143.80296325683594,147.33881713288744,143.10259930795036,146.88163469840322,2000670
2015-04-01,143.62783813476562,146.80865590746444,142.24656917098477,144.54707121269166,2905550
2015-04-06,148.69090270996094,149.08972394762947,143.46736863738147,144.54709513288563,2074920
2015-04-07,151.589599609375,152.71796520753188,148.34069868884464,150.08673988574003,3289130
2015-04-08,156.21981811523438,156.91044533665666,151.96899495115105,152.68881761088278,2378670
2015-04-09,156.10794067382812,157.57675166547506,154.37162111295098,156.50676191641904,2310000
2015-04-10,156.43865966796875,159.18660771420025,154.17220625344504,156.1225266790432,2024780
2015-04-13,155.08656311035156,158.06797059202972,154.56129761575258,155.62643374345927,820980
2015-04-15,151.52151489257812,156.9055413725223,150.57796959902143,155.24705680414982,1165750
2015-04-16,148.37478637695312,153.00008911239576,147.85437432614145,151.4437361829576,1051720
2015-04-17,143.42355346679688,149.7511242952249,142.02767956591345,148.59844667129374,1582200
2015-04-20,139.99472045898438,144.67839840068854,137.44618315561388,143.57435976305283,2464360
2015-04-21,139.48402404785156,143.36519059633736,137.64557282945876,139.29433538722603,2355180
