Price,Close,High,Low,Open,Volume
Ticker,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS
Date,,,,,
2021-03-19,256.91229248046875,256.91229248046875,232.53094867399832,244.72161328253628,797366
2021-03-22,269.7244567871094,269.7244567871094,269.7244567871094,269.7244567871094,103188
2021-03-23,283.20587158203125,283.20587158203125,280.1462422477421,283.20587158203125,807676
2021-03-24,269.05511474609375,280.8155373107816,269.05511474609375,277.1822239321127,372598
2021-03-25,255.62149047851562,255.62149047851562,255.62149047851562,255.62149047851562,64156
2021-03-26,242.857177734375,242.857177734375,242.857177734375,242.857177734375,125005
2021-03-30,254.95223999023438,255.00006403151076,230.71433600549258,230.71433600549258,1603528
2021-03-31,248.30712890625,255.2868706263918,242.28348860891487,242.28348860891487,537255
2021-04-01,260.68902587890625,260.68902587890625,248.59397852856358,249.5501092152119,527640
2021-04-05,273.6923828125,273.6923828125,262.93591361899564,266.66481710365247,431503
2021-04-06,328.4308166503906,328.4308166503906,287.7952716499784,292.8149566206176,3641770
2021-04-07,316.0967712402344,334.5500795091494,305.57933500475576,327.95278443356153,1610389
2021-04-08,309.16485595703125,326.13617523846807,307.39600839334844,320.30377235387783,521383
2021-04-09,319.20416259765625,324.988740257906,299.364455385407,307.9696295979488,704343
2021-04-12,295.44427490234375,312.8458587525708,289.2772225411217,308.83009965520074,603548
2021-04-13,303.8582763671875,309.7862974340458,293.34084034319216,297.3566003147786,319966
2021-04-15,297.4521484375,307.8739630914865,291.85878022880826,307.8739630914865,288127
2021-04-16,287.8430480957031,301.8025579095413,283.9707316089136,291.52415600787185,577405
2021-04-19,300.12939453125,314.5669726688298,282.536597032338,288.75144603643344,1202262
2021-04-20,302.7109069824219,311.45949478372086,297.3565706146959,303.5714185535883,569326
2021-04-22,321.116455078125,329.5782163874423,299.6991363254385,304.0495187109506,1102639
2021-04-23,315.8099060058594,325.99271961005894,309.021402508111,323.36336062243316,400051
2021-04-26,313.80206298828125,328.43084895584695,310.7424335098989,328.43084895584695,523268
2021-04-27,311.794189453125,322.21600698881537,307.8740482207672,314.3757245240998,609651
2021-04-28,317.1007080078125,324.6063390619394,306.2008249914171,306.2008249914171,2084800
2021-04-29,359.8875427246094,367.5365873273802,313.6108287136038,323.17213446706734,3772871
2021-04-30,392.1569519042969,413.0484109318632,353.7683149184939,354.7244454993547,4805983
2021-05-03,414.5782165527344,429.97192440081534,393.2564875625537,396.7941823052243,2332322
2021-05-04,390.627197265625,436.712710028246,375.4247245256879,424.52204324584835,1768388
2021-05-05,399.9972839355469,409.22393934913197,379.9663341113092,396.7942402567518,1047432
2021-05-06,399.9972839355469,411.04058184225966,394.02146706421024,402.4832295897816,593610
2021-05-07,398.41961669921875,406.35548868916203,396.79418307294645,406.35548868916203,441798
2021-05-10,402.6743469238281,413.71767150547555,387.8065295904477,405.3993246350807,941975
2021-05-11,419.8847351074219,439.34199809493595,395.40778661392653,397.3200477590623,864569
2021-05-12,422.179443359375,443.3577589205795,410.22781118207655,420.6974526409058,1016524
2021-05-14,405.78179931640625,428.9201702826493,396.2683178574589,425.4780944691635,647034
2021-05-17,405.0168762207031,411.13610544269756,397.7502787538656,407.3115835316027,430937
2021-05-18,403.8695983886719,414.00458955771404,399.662629180426,414.00458955771404,319258
2021-05-19,400.953369140625,414.5304060245019,398.75425127422096,407.0725990867941,611215
2021-05-20,394.40386962890625,404.4432408558239,392.01354314630686,404.4432408558239,509590
2021-05-21,417.78125,429.30261130447326,395.8380424945477,398.3717825829701,1070676
2021-05-24,463.0061950683594,472.0416399735263,417.5899962748703,420.69742040284586,1985360
2021-05-25,450.958984375,477.39598920250387,443.6445912388247,471.8504434835345,1354919
2021-05-26,463.34088134765625,481.6029811212541,441.92356235579024,451.29363029635994,1086601
2021-05-27,456.1220703125,470.5118526952779,454.1620143431661,465.5399621299003,398914
2021-05-28,462.6715393066406,473.28459360505684,457.22161300876365,460.8548972073483,576746
2021-05-31,464.0101623535156,472.1850963823515,458.94268191225046,463.72333484883643,344233
2021-06-01,450.24188232421875,469.41231787695335,444.07485761736666,467.26102408132806,388392
2021-06-02,479.9775695800781,492.40726759709213,440.7762142956494,447.46912861250314,1436166
2021-06-03,498.95672607421875,506.65362402560595,478.01750112472007,485.7143407185272,1246978
2021-06-04,546.7633056640625,573.678407631823,504.78920385355207,505.6018915879963,3630077
2021-06-07,563.5911254882812,570.7143092658863,531.847581746673,554.3644429742759,2358385
2021-06-08,548.4364624023438,584.7694234524209,537.0107489687107,573.678332369639,1828933
2021-06-09,529.4573364257812,556.4680267265096,512.7728452587706,553.0259798011311,797784
2021-06-10,555.6073608398438,565.9336160083893,533.9988368028459,533.9988368028459,1150997
2021-06-11,550.9702758789062,566.0293333107376,546.9067206988883,561.2486801577752,356954
2021-06-14,542.6040649414062,555.5118268386908,530.6524335550316,554.5556963277808,402211
2021-06-15,538.9707641601562,553.790786625251,536.3892001882703,545.3289968483788,746461
2021-06-16,527.0191650390625,542.5084914503352,522.4775449764793,541.839188401176,356739
2021-06-17,539.5921630859375,546.906583923749,517.2665417880214,519.4656300169005,439426
2021-06-18,527.8317260742188,546.81094774622,502.3030351203748,544.9942768138155,601877
2021-06-21,522.764404296875,531.5608174673051,513.4899258275908,519.1789145554698,260753
2021-06-22,529.7919921875,539.6879798473161,520.135095557861,527.5929032711807,1202659
2021-06-23,521.2346801757812,534.1424447676221,520.1351065156636,531.6086750417444,233356
2021-06-24,516.023681640625,526.4454698661431,514.398247995888,523.0034231482356,191350
2021-06-25,525.5372314453125,535.4331602606684,517.2666780375386,521.091200610829,598968
2021-06-28,516.2149047851562,533.0427790405352,513.01183244364,530.7480423886301,298114
2021-06-29,507.41845703125,521.0911112135967,501.8729119228768,516.2626639646918,339594
2021-06-30,500.486572265625,520.8521422937068,495.27564884468126,511.52986898051057,420016
2021-07-01,531.9911499023438,549.775157749106,492.40731520137325,500.4866313650297,1563086
2021-07-02,519.4179077148438,533.0427676963192,517.4100569553409,525.8717887587005,941031
2021-07-05,527.3060302734375,544.8988568023833,523.3859181239566,523.3859181239566,898152
2021-07-06,521.664794921875,539.6400956097327,519.5613544375132,530.6046504107186,406073
2021-07-07,535.8156127929688,549.2970309403792,516.7885904669712,521.0433833180952,1408011
2021-07-08,537.39306640625,557.0415339705662,527.7839677945475,540.9785553178978,1210071
2021-07-09,539.1142578125,548.4365318947318,535.4331780563963,541.1221672447625,861258
2021-07-12,538.9228515625,552.5477079487814,535.2417149979859,543.4644703579272,1570099
2021-07-13,535.194091796875,546.8588965365853,533.5208632829946,544.0382996559568,461345
2021-07-14,537.5844116210938,558.3802514659293,532.5647261413059,539.879148326314,1273615
2021-07-15,538.3493041992188,543.7514652470182,533.9989217899035,539.2576399095892,476952
2021-07-16,537.9189453125,548.1495523708146,531.9431302501163,542.1259424594457,649539
2021-07-19,541.456787109375,566.0293570162247,533.1384386033291,538.3015675677948,3772322
2021-07-20,562.0135498046875,568.8499068744205,535.6721636901038,546.906698136081,9104621
2021-07-22,624.162109375,642.1373548659742,578.4590735801822,582.6660720038001,10833527
2021-07-23,601.9320678710938,632.9585206214098,598.633405299057,623.3972136633824,2581763
2021-07-26,601.071533203125,621.2936606534469,598.5377637356523,608.6727248903801,2362885
2021-07-27,591.7013549804688,611.8279493173493,580.7537071011196,607.0472966686986,1453718
2021-07-28,573.7261962890625,594.6654812841866,560.3403669224296,594.5220383407959,1643128
2021-07-29,566.220703125,585.0564926108278,562.8264502665296,578.2201336651342,927640
2021-07-30,567.2721557617188,582.1878250455308,564.6905920051389,568.8975891164223,1429915
2021-08-02,587.3988647460938,599.2071137557633,566.268399887338,573.6784127182825,2121066
2021-08-03,577.5505981445312,597.2947156729776,575.5905423545394,590.4105646244652,1170426
2021-08-04,583.335205078125,587.972473100116,569.9015829858026,581.2317646267874,865186
