Price,Close,High,Low,Open,Volume
Ticker,KANSAINER.NS,KANSAINER.NS,KANSAINER.NS,KANSAINER.NS,KANSAINER.NS
Date,,,,,
2015-01-01,121.34564971923828,122.15602962770251,119.03159555375154,119.03159555375154,74070
2015-01-02,122.70525360107422,124.19693318025841,120.96445469785536,122.09597467190802,1514220
2015-01-05,122.04495239257812,124.19693841101272,121.84386533212516,122.70525876900405,255855
2015-01-06,119.90499114990234,121.56174761686552,119.2746911177394,121.55873872971225,246975
2015-01-07,120.3101577758789,120.9554471987986,119.90497476714246,120.94944316452313,650160
2015-01-08,124.97431945800781,126.05782120798428,123.7767685078265,125.96777441143655,607200
2015-01-09,126.88917541503906,127.71755351883827,125.86570054919537,126.46598031190565,727560
2015-01-12,131.39422607421875,136.56260001687767,130.67989718641667,132.36066942369123,3929700
2015-01-13,133.56723022460938,135.00189215275543,130.61988140121352,132.96096015533882,980085
2015-01-14,134.74676513671875,136.4995721377397,133.5192080761183,134.99588446498726,566355
2015-01-15,134.11048889160156,135.30203561095462,132.3606905948582,135.30203561095462,221295
2015-01-16,134.45562744140625,136.24445859562348,133.4111591031337,133.86136547385382,308835
2015-01-19,135.78826904296875,136.56262466908777,134.17953118136407,134.46165212362428,309720
2015-01-20,140.728515625,145.26658997151455,135.36505832061712,136.20243560761102,1135215
2015-01-21,140.96263122558594,143.70589805055718,140.76453929711286,141.60492554963838,1710315
2015-01-22,143.5528106689453,144.36618560586507,141.73999068192012,143.4627776296109,808455
2015-01-23,148.0728759765625,149.76865151325603,143.82593552703912,143.82593552703912,1895970
2015-01-27,146.60220336914062,150.06879799266258,145.59674062137955,148.89825865620008,330105
2015-01-28,147.60467529296875,149.31846313854817,146.4671648742553,147.0674309618906,1092990
2015-01-29,148.1449432373047,150.53404097336812,147.66772546755257,147.96785854120475,338775
2015-01-30,145.08050537109375,150.58503684079818,141.66493812593714,150.48898603383563,1540425
2015-02-02,140.21827697753906,145.56673085033196,139.2968569885879,145.08050027687366,580470
2015-02-03,143.44178771972656,143.70591031356264,140.22431179017372,140.22431179017372,648270
2015-02-04,142.48133850097656,143.87997635498579,141.96510141881913,143.87997635498579,173505
2015-02-05,142.89248657226562,143.7658879230284,142.3852488112335,142.68538177501225,296430
2015-02-06,141.20870971679688,143.28267046139746,139.70803111505762,142.5083150270446,189045
2015-02-09,140.9686279296875,141.59891415150312,135.66820589280888,141.2087343495774,272520
2015-02-10,141.8510284423828,142.385277591181,138.06329334314464,141.06467854441917,536235
2015-02-11,140.2152862548828,143.46577721627293,139.8641257904317,142.31925389384318,52500
2015-02-12,140.58746337890625,142.14517372561087,138.96370865250725,140.64448109800998,165150
2015-02-13,144.75335693359375,145.98691799860833,140.16425532160443,141.06466806726954,936795
2015-02-16,145.17355346679688,146.947367801114,144.30615597660707,145.20656878634333,254265
2015-02-18,145.35665893554688,146.46717185944897,144.6663460322394,145.62678555747044,622050
2015-02-19,143.21966552734375,145.8068548937018,142.80548331086624,145.8068548937018,82920
2015-02-20,143.5348358154297,144.60632945524702,142.9855833504482,143.70591647916007,106530
2015-02-23,142.6043701171875,144.66632305581368,142.26521775448285,143.04557732089557,76110
2015-02-24,142.04013061523438,143.0455934879342,141.13071856026357,142.14518061557138,74265
2015-02-25,141.4368438720703,142.43929777435773,141.12470278403848,141.84803091738996,46920
2015-02-26,138.97572326660156,141.66796269737665,138.12332893467135,141.47286591438785,56235
2015-02-27,139.5159912109375,140.3983920707976,138.6635967890367,139.44395652493913,56550
2015-03-02,141.87506103515625,143.46578685801967,139.0837754968545,139.0837754968545,177300
2015-03-03,140.98666381835938,142.33728326691272,139.60302904454082,141.4308662657794,168720
2015-03-04,139.69602966308594,142.5653394858922,139.44691035362504,140.53041173144905,143295
2015-03-05,138.1383514404297,140.16428048184125,137.16289496472075,140.16428048184125,200115
2015-03-09,135.95632934570312,138.18334521789956,135.39506891708794,138.18334521789956,90615
2015-03-10,135.78826904296875,139.20383669885115,135.16997710551897,136.3825311017776,126810
2015-03-11,134.63270568847656,136.802703589506,133.92138570183593,136.20242387737193,80520
2015-03-12,135.7672576904297,136.7396914806442,134.2215416326957,134.59671823431466,85665
2015-03-13,135.9263153076172,136.50257892026346,135.3020194228442,135.69219919862422,87495
2015-03-16,138.07833862304688,138.9637346615813,134.58172290976574,135.96535773205346,127410
2015-03-17,137.99127197265625,142.26823324454952,137.34298732520082,138.54353327792526,185190
2015-03-18,138.03627014160156,140.7044930292333,137.46301542744104,140.46139148306426,109680
2015-03-19,137.1539306640625,139.2428819958772,136.26251671301267,138.0633429856041,131760
2015-03-20,130.86297607421875,140.28429358320307,129.48233693292985,140.28429358320307,276930
2015-03-23,126.13282012939453,131.98550325093657,124.61712435376587,131.4632621852324,417765
2015-03-24,126.9762191772461,133.8343652919767,124.36802265377294,127.25233606515059,2368110
2015-03-25,130.20872497558594,131.44228639373722,126.41498503765688,126.976245590683,741315
2015-03-26,128.63897705078125,131.43024848419392,125.57756529061415,127.85861745974275,235924
2015-03-27,129.02915954589844,130.25972556218946,125.45751470751098,130.25972556218946,63609
2015-03-30,130.86001586914062,134.2215613426264,128.15877691492068,130.86001586914062,356229
2015-03-31,129.68948364257812,132.63082891853225,128.699023912082,132.63082891853225,584659
2015-04-01,130.95004272460938,132.03053539393724,129.05917024887836,129.65945006037592,96342
2015-04-06,133.95144653320312,135.96237270723267,131.70041387248736,132.6608535584452,165051
2015-04-07,135.03189086914062,137.34296305906506,134.49165146851036,135.602164178618,133177
2015-04-08,138.96371459960938,140.46440729143401,134.46165026334546,135.06193008791732,838303
2015-04-09,141.57489013671875,151.26932962127796,139.1137584909967,140.46437750547238,808539
2015-04-10,144.1260986328125,147.60769720516052,141.18475332621932,143.1656590686349,408534
2015-04-13,144.06605529785156,145.98693420326163,143.55582226795232,145.23659474498854,177583
2015-04-15,142.7454376220703,146.76727473066683,142.14515789006168,146.25704176718224,280357
2015-04-16,138.66358947753906,144.06606698965098,137.4630434990289,144.06606698965098,134595
2015-04-17,138.0633087158203,140.19428777466823,135.66221677450181,139.83412810523367,162024
2015-04-20,134.16151428222656,144.6663354164999,133.86138124611924,144.6663354164999,218674
2015-04-21,134.73179626464844,136.83275534424683,129.7194981647521,136.83275534424683,729298
