Price,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,
2015-01-01,124.74361419677734,125.37793675010101,124.00026674568979,125.25899843570734,2509980
2015-01-02,126.02711486816406,126.76550932864104,124.71387084158889,124.98147257393454,6318150
2015-01-05,125.5216293334961,126.75063572151087,125.08057687798795,126.08162008640831,3051150
2015-01-06,124.02503967285156,125.10536761261517,122.26082969601724,124.38679996183322,11345430
2015-01-07,126.02216339111328,129.23838251362065,123.64345021137592,123.64345021137592,17858870
2015-01-08,132.8758087158203,134.09985452849776,127.49892694458278,128.8468639726185,34548830
2015-01-09,134.88783264160156,135.83436356488525,132.86591906118565,134.23864372996056,32187050
2015-01-12,135.8839111328125,137.4697098496556,133.634042094898,134.88782077464705,8434210
2015-01-13,138.05943298339844,139.73444487806907,135.5568361190633,135.98301470254245,9608210
2015-01-14,137.885986328125,138.51040300226995,136.49841052273845,138.1734224671678,7592900
2015-01-15,138.79783630371094,143.11916363884714,137.97025123620716,142.52449472251888,19854090
2015-01-16,138.29730224609375,138.75817398004455,136.7759143517582,137.46970219697025,13403000
2015-01-19,137.7125244140625,138.65903997572894,136.97412249832473,138.08419805422986,8775380
2015-01-20,138.33200073242188,138.89693688399296,137.03856841109626,137.96527240316345,18918630
2015-01-21,137.58370971679688,140.64133721648608,137.27646184470552,138.36175037576575,13420650
2015-01-22,137.53411865234375,138.60950108148626,135.7996415961679,137.43499962832922,20000080
2015-01-23,137.30120849609375,138.33693731105595,136.97413385082564,137.97518461697848,7774060
2015-01-27,137.603515625,138.06438736305068,135.0216115473111,137.11289607869486,8433660
2015-01-28,133.91650390625,137.76703760642275,133.46057755913813,137.083155647475,37201990
2015-01-29,131.95901489257812,134.2832153764632,131.29992026023214,133.70339781584016,22504270
2015-01-30,131.0471649169922,133.6934792956299,130.56646642672752,132.81137450275065,13992500
2015-02-02,134.0354461669922,134.79365989898633,129.2829803405137,130.8291404901926,16563690
