Price,Close,High,Low,Open,Volume
Ticker,MAHLIFE.NS,MAHLIFE.NS,MAHLIFE.NS,MAHLIFE.NS,MAHLIFE.NS
Date,,,,,
2015-01-01,133.71701049804688,134.5384936999384,132.28650193818754,132.56977441312824,9059
2015-01-02,134.63766479492188,137.0596206926824,132.85306864938818,132.8955630197704,37446
2015-01-05,138.57513427734375,141.93186939044878,133.70291510350745,134.69434831956127,76200
2015-01-06,135.02008056640625,139.49571693157503,133.41960815845368,137.668640443129,32134
2015-01-07,134.4677276611328,139.01419370735485,132.10243976014547,139.00003356473994,28913
2015-01-08,133.2496337890625,137.95188780286054,132.5839538392545,137.93772766477153,67805
2015-01-09,134.0144805908203,134.8501241624574,133.2921460408503,133.95782607998677,24646
2015-01-12,135.827392578125,138.51844687721044,134.77929113753976,137.01712331570766,117117
2015-01-13,133.63204956054688,137.32871078667517,133.41960562333165,135.82738728369267,11448
2015-01-14,134.5526885986328,135.47330694144733,133.2779691075031,133.63205630494173,12000
2015-01-15,139.8073272705078,141.60609765677623,133.70289745387072,135.34585048544972,87023
2015-01-16,143.40484619140625,146.98818477287253,140.55798836186202,142.99410446842148,93391
2015-01-19,141.50692749023438,145.54350178170304,140.0339242740932,143.6172764650478,49882
2015-01-20,143.6031494140625,147.0165388722321,141.06789803235642,141.5069600951487,68580
2015-01-21,141.74771118164062,144.65120940871955,140.7845984857607,143.05075092931688,34099
2015-01-22,139.6656951904297,142.7533313164088,138.51845872417795,142.44172451496172,40677
2015-01-23,140.11891174316406,142.20092647051632,139.36824302755105,140.21804666535306,35458
2015-01-27,140.40219116210938,144.36796531196165,139.56654753902967,143.5039874562825,37388
2015-01-28,139.2974395751953,141.64856688225686,138.51845051947373,139.04250125354596,41529
2015-01-29,143.7589111328125,146.95984172678558,139.93478100534583,139.93478100534583,131157
2015-01-30,145.71347045898438,151.5488150728109,141.91767419773285,144.31129578939507,572657
2015-02-02,146.6341094970703,149.82088040286212,145.60016815826356,145.60016815826356,121200
2015-02-03,146.69073486328125,148.4611707113854,144.46707692465773,148.41867634478575,73341
2015-02-04,146.0675811767578,147.31396661208532,145.1186284708735,147.29980647041623,37685
2015-02-05,141.2378387451172,147.016529613512,140.2180714096214,146.06757693518378,27528
2015-02-06,135.4733123779297,139.43907240733472,134.55269399817115,139.36825775518054,52284
2015-02-09,133.8303680419922,140.21807050098585,129.7654588676082,135.92655721530977,101189
2015-02-10,137.01712036132812,139.93479263339933,132.03159343347545,132.03159343347545,68002
2015-02-11,137.49867248535156,140.18972664389022,136.79049813559786,140.18972664389022,47494
2015-02-12,137.45620727539062,139.651545435128,136.40811961809985,137.6969854893108,46894
2015-02-13,136.1248321533203,138.80172644838885,135.51580661417492,137.4561922552954,60427
2015-02-16,134.76513671875,138.23518020037613,134.28358034746526,136.83300545777553,71827
2015-02-18,136.3089599609375,137.28623288124183,132.11658176104518,132.11658176104518,81791
2015-02-19,139.70819091796875,140.50134016825632,135.9832089140018,138.78755854719276,216963
2015-02-20,142.5550079345703,144.4670730184731,138.23516132304925,139.708164466879,96786
2015-02-23,145.40187072753906,153.37588429067688,140.11891130969983,140.11891130969983,223758
2015-02-24,147.34226989746094,148.8577676040599,144.1838332239434,144.1838332239434,124105
2015-02-25,150.543212890625,152.3986236877839,145.9542533626313,145.9542533626313,88304
2015-02-26,151.15223693847656,154.32484762976523,148.46118260430865,151.83207710415394,87161
2015-02-27,155.44375610351562,161.17995168827767,149.0135462965561,149.0135462965561,271546
2015-03-02,139.4107666015625,146.44998929199318,137.10211941602066,146.44998929199318,315522
2015-03-03,141.77606201171875,144.1838582211488,139.6515523573738,140.1756031874346,90686
2015-03-04,141.74771118164062,149.1693541563928,139.9631150860244,143.31984938216507,230623
2015-03-05,143.05075073242188,145.79845952013608,141.08203097417814,143.00825636328673,67328
2015-03-09,141.88934326171875,144.41043406814902,138.9433506076445,142.76748118731723,38127
2015-03-10,143.24905395507812,144.4671051278038,140.52967902845404,140.52967902845404,62467
2015-03-11,141.15283203125,143.00824259373601,140.52964644802756,141.80435184145978,20334
2015-03-12,141.77606201171875,142.75334900850882,140.78462882331755,141.32283979586884,27215
2015-03-13,141.67689514160156,147.01650928567344,138.88669200832538,145.26024743706688,92555
2015-03-16,139.8073272705078,141.63441793880858,139.08499266814835,139.72235247353288,25688
2015-03-17,139.7790069580078,141.63441790793652,138.00857080503553,140.40219267136246,29826
2015-03-18,139.08499145507812,141.549441907269,137.83862003896775,139.89231479824906,39009
2015-03-19,137.41372680664062,140.44469469236884,136.5355887528472,139.9348179811123,37133
2015-03-20,135.51580810546875,137.52700842080506,134.29774306289661,137.51284828040795,32715
2015-03-23,132.6689453125,138.4759558945657,131.71999272712955,135.52996320848212,37834
2015-03-24,133.87283325195312,134.55268736120368,130.3603094909975,132.6689423720841,33835
2015-03-25,132.52731323242188,134.55268752127327,132.28653505616163,134.55268752127327,21395
2015-03-26,132.1165771484375,134.11361729221218,131.0118350989137,131.79082417000163,26915
2015-03-27,130.58694458007812,134.46773054701328,129.73714069263357,130.3320062040207,116436
2015-03-30,132.86724853515625,133.8728417213406,130.58692183804362,130.58692183804362,35155
2015-03-31,132.95220947265625,133.929482276085,132.2865294811014,133.5612349574271,23558
2015-04-01,135.98318481445312,140.9687114409747,131.70581856572352,133.13632736142114,215685
2015-04-06,141.47860717773438,142.625857557942,135.11922539912146,135.17587991111785,125144
2015-04-07,140.005615234375,143.5889677129603,138.97168784774473,141.5635933597706,50373
2015-04-08,139.05665588378906,141.29447408125668,137.9518999489529,137.9518999489529,30065
2015-04-09,142.52670288085938,144.46708844839023,136.28063038012718,138.80172118429746,111304
2015-04-10,142.073486328125,143.58898420754045,141.22368251681226,143.58898420754045,43960
2015-04-13,144.15550231933594,144.75036772332268,139.36825880671753,141.63441139801205,87065
2015-04-15,143.9997100830078,146.44998654154494,142.54088069158024,144.46710635820406,76936
2015-04-16,141.76187133789062,144.46708576051398,140.7845985024557,144.46708576051398,112805
