Price,Close,High,Low,Open,Volume
Ticker,MOTILALOFS.NS,MOTILALOFS.NS,MOTILALOFS.NS,MOTILALOFS.NS,MOTILALOFS.NS
Date,,,,,
2015-01-01,235.700439453125,243.0407535663238,233.84153090860352,243.0407535663238,9044
2015-01-02,240.3715057373047,242.03975933723527,237.3209877780636,238.32194284722536,18120
2015-01-05,255.7671356201172,264.06075210648646,243.0407506992753,243.0407506992753,50447
2015-01-06,249.23715209960938,259.29432857479355,245.9959497187923,259.29432857479355,23886
2015-01-07,247.90252685546875,252.57366121778472,245.948298138856,246.9015861161384,14501
2015-01-08,251.57273864746094,255.4812259069844,250.19048827595287,250.7147851251377,10112
2015-01-09,257.0065002441406,260.81965298042746,249.1418727255491,252.14472468696562,47454
2015-01-12,264.2037353515625,265.10937049229784,249.80908226031875,259.9616216568435,26891
2015-01-13,267.1589660644531,269.78050810433626,259.58031471233807,262.15420398831264,31061
2015-01-14,265.2047424316406,269.7805133534692,262.20186185389593,265.01407318821356,9826
2015-01-15,273.40301513671875,303.90823430252476,265.5860701807074,267.01600232910454,127515
2015-01-16,271.4010925292969,273.593643189821,266.92062750226444,269.7804913683601,7067
2015-01-19,269.5898132324219,276.2628286994822,265.1570302048538,269.7804824540105,23594
2015-01-20,279.9330749511719,287.60706243941615,266.9206968005543,266.9206968005543,144980
2015-01-21,282.9358825683594,286.93970402883457,281.64896697010334,285.50977194895665,38199
2015-01-22,285.748046875,286.8920039872113,279.4086881839205,279.4086881839205,22430
2015-01-23,288.22662353515625,291.7061188070943,277.4067992577269,277.4067992577269,36586
2015-01-27,299.2847900390625,304.86150176671293,288.2266430215267,288.2266430215267,89181
2015-01-28,307.1016540527344,309.62786086402957,299.71367372058677,304.09880334904256,44505
2015-01-29,318.25518798828125,319.160794085735,306.0530847706661,312.67844766128036,72851
2015-01-30,305.5764465332031,326.0244850854673,300.2857099471409,320.30475727695034,61636
2015-02-02,311.20086669921875,327.93105878837974,291.9444382382015,309.3419435372943,94246
2015-02-03,292.4687194824219,308.8652831898072,290.7528128792938,308.8652831898072,39645
2015-02-04,296.94921875,302.66894688001605,283.2695298206366,296.5202275034321,72609
2015-02-05,284.3932800292969,299.6704073995321,279.14176749577854,295.03952233766796,17497
2015-02-06,285.4436950683594,298.7634279901826,280.00120475267744,280.00120475267744,69444
2015-02-09,285.77777099609375,290.2654391115663,279.4282203432902,284.5365159712064,15383
2015-02-10,288.5945129394531,292.1750900230692,282.722372350085,286.44616668928353,10894
2015-02-11,291.2202453613281,294.08470679111167,284.10682115517557,286.54163085377667,7074
2015-02-12,290.69512939453125,295.32598577155676,286.6848714111901,291.22026904384006,8325
2015-02-13,292.0318298339844,300.67294293653373,284.7274594850329,295.99432872953787,252726
2015-02-16,296.614990234375,297.9040037707605,292.17508062132276,294.2279389221093,45308
2015-02-18,293.0821838378906,300.768477724207,291.6976823642706,299.8136571600032,9817
2015-02-19,287.73516845703125,294.94405170063123,284.53651389919446,288.35579596495546,14724
2015-02-20,296.0898742675781,300.76848938581725,282.9610910007369,286.44618036744504,420786
2015-02-23,291.3157653808594,300.768483314407,288.97644329955597,296.949200986605,96942
2015-02-24,285.109375,294.8962840221549,279.14174754746654,294.8962840221549,17329
2015-02-25,279.4282531738281,288.4035613204887,275.0838309374784,286.4461906730813,22843
2015-02-26,281.3856506347656,284.3455712695436,275.51348046344253,282.626905795233,27892
2015-02-27,279.7146911621094,284.25008876462266,270.4051908201083,279.66693265142806,27050
2015-03-02,279.9056701660156,288.2603509265326,268.63879805307255,283.5817355284059,31779
2015-03-03,282.72235107421875,286.15971064357876,275.03602869652633,279.8101311154128,45736
2015-03-04,285.6822814941406,290.40862509274547,282.00621704713234,286.39839680957834,96651
2015-03-05,282.3404541015625,288.35581203484435,278.8076063383263,286.54165878026816,7783
2015-03-09,281.910888671875,286.44628823560544,276.8980786277519,284.5843757065447,11052
2015-03-10,281.8152770996094,294.99181806044174,279.81014813395984,284.58425084321567,38589
2015-03-11,273.8903503417969,288.3558795302006,273.07874683985887,288.3558795302006,24591
2015-03-12,272.84002685546875,279.71474784908594,272.12391129941767,276.8502856248815,20621
2015-03-13,270.7870788574219,275.8953739683592,269.25936034684156,275.60891035704645,17876
2015-03-16,271.16900634765625,273.8902504433432,264.53299260017474,271.16900634765625,44061
2015-03-17,270.023193359375,272.1238098629623,261.57305625888546,271.6463996702202,42158
2015-03-18,268.92523193359375,271.16906630294784,261.0002321443501,270.26197502422576,6458
2015-03-19,274.6541442871094,276.56378551857034,267.3497724045338,272.9354788343196,41830
2015-03-20,275.8476257324219,281.67203638024966,272.21931963118254,276.89793406872,45341
2015-03-23,274.1766357421875,276.8978793497646,272.1715073398253,272.1715073398253,13218
2015-03-24,293.3686218261719,309.0754319488748,272.1238640210219,272.1238640210219,2121490
2015-03-25,283.2952880859375,297.3311336411637,274.033516466223,295.516980300683,76003
2015-03-26,269.068359375,281.57651162043237,265.53554161054325,279.76235880746225,60320
2015-03-27,261.3344421386719,274.5586857702263,256.2261454702626,268.30462172365327,26538
2015-03-30,268.3045959472656,273.8903024379873,259.23379999887055,262.5756721903845,25973
2015-03-31,270.5006408691406,273.07866792112264,267.54072057684755,269.25938585229574,7369
