Price,Close,High,Low,Open,Volume
Ticker,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS
Date,,,,,
2015-01-01,281.79876708984375,283.4536690030236,277.01398447682635,279.13656794624194,45594
2015-01-02,280.6835021972656,285.0006029069147,280.6115461271895,280.6835021972656,46665
2015-01-05,281.6548767089844,283.3097566631538,271.6535750344195,281.3310853467762,72549
2015-01-06,279.5682373046875,282.5902165770264,276.29444472457834,280.6115454233999,54039
2015-01-07,277.5535583496094,279.6041852720951,271.9773040989043,277.73343751898693,42760
2015-01-08,275.3230895996094,285.504247575662,274.2438144369626,279.8920255130626,314935
2015-01-09,275.17919921875,280.32373976536775,273.45234139344643,276.294441436175,27596
2015-01-12,271.7254638671875,281.11516951055796,269.81874909847284,275.39500324650794,41573
2015-01-13,275.86273193359375,277.6255568461178,271.97734567270845,271.97734567270845,27289
2015-01-14,273.12860107421875,276.65422925309196,271.977369720855,274.5316457591428,19017
2015-01-15,271.22186279296875,274.89138085590207,270.21452172056917,274.85541379956345,22478
2015-01-16,272.44500732421875,276.8700308530179,269.782808579385,270.5382923679941,21424
2015-01-19,268.0560302734375,274.8554742172124,267.6603047350864,269.81885557972424,88027
2015-01-20,265.7175598144531,272.6609148759542,264.8541527825464,269.0992977403439,141124
2015-01-21,266.0773010253906,271.9773475057697,264.422421186165,266.2212131670233,124470
2015-01-22,260.6089782714844,269.71086085954715,259.13395574430655,266.9407169524214,112300
2015-01-23,261.3284912109375,265.96936105287506,259.7095785306994,263.3431293187371,55015
2015-01-27,258.8101806640625,267.6242607461893,257.73090555196535,264.78216083450343,54537
2015-01-28,260.4290771484375,263.16323181267916,257.9827028133816,259.0260108067382,57004
2015-01-29,259.8175048828125,261.90409908282464,258.30651530421443,258.30651530421443,33943
2015-01-30,260.8608093261719,262.6236342846715,260.10532546276363,261.1846006721527,95470
2015-02-02,250.39181518554688,261.8681154980474,249.09669389016392,259.1699278344101,91674
2015-02-03,244.88755798339844,253.269924678476,243.84424979459823,253.269924678476,90222
2015-02-04,249.88815307617188,251.68694491218784,238.23199515353346,247.44180057077182,73798
2015-02-05,254.96075439453125,256.07599652855333,247.80155423976,254.34916079029978,126927
2015-02-06,253.44981384277344,257.47911264888967,251.2552962037368,255.42848520705343,69073
2015-02-09,248.62899780273438,253.19793343963633,247.5137556520005,252.55037277282608,64002
2015-02-10,249.9961395263672,252.5504155730726,248.23331445216536,248.23331445216536,78821
2015-02-11,249.276611328125,254.38516318904192,247.98146787604867,252.19064566895284,33666
2015-02-12,248.19729614257812,251.8308467192211,247.94546090427744,251.79487966713842,51478
2015-02-13,257.4431457519531,274.7115518694569,239.38328858706154,248.23333793911667,752994
2015-02-16,263.9906921386719,267.30047359223005,257.44308529839753,258.30651418468534,166580
2015-02-18,270.7901611328125,272.4090739869849,255.42847254719481,261.18460713980767,189993
2015-02-19,271.94140625,274.0280007541811,269.09930586743315,271.90541723222236,71022
2015-02-20,271.36572265625,274.09989932769804,266.29313863631813,274.09989932769804,41839
2015-02-23,280.3597412109375,284.1372047408059,267.3724706199833,270.97005493414366,289249
2015-02-24,280.5755920410156,285.0365831391213,278.52496471755796,280.5396030253591,149044
2015-02-25,275.3950500488281,282.77009711088033,273.4163788858385,280.2158213018213,99609
2015-02-26,280.2877197265625,281.6548190132538,274.7474543503507,276.2584438012837,46329
2015-02-27,276.1865234375,282.41033926148975,272.84077476521975,277.04993040826696,167593
2015-03-02,276.61822509765625,278.77677536152277,273.4163667564241,273.4883228234681,50909
2015-03-03,279.4242858886719,284.20906705639476,276.29438417634327,279.8919673036394,187990
2015-03-04,279.71209716796875,283.4176035170051,276.04255786820335,280.61149297879825,156906
2015-03-05,281.9786071777344,287.8066971873601,278.8846939661336,284.20911347251814,177665
2015-03-09,287.05120849609375,293.3469798897224,275.2151494929087,279.8200521778097,384927
2015-03-10,289.42559814453125,302.84458046617664,286.007893753763,291.9079395904628,304954
2015-03-11,282.8780517578125,295.0019153535595,280.8993803743435,289.4256596365105,87114
2015-03-12,281.90667724609375,284.9286566298779,280.6115557718494,282.7701062008636,47267
2015-03-13,279.20849609375,284.92866365483343,273.4883504905776,281.906684196542,75466
2015-03-16,277.589599609375,280.7914584634233,274.89141134739464,280.61157924595796,50554
2015-03-17,277.1578674316406,279.89202236307773,274.1358882270761,278.45298882907736,125937
2015-03-18,279.2804870605469,281.3311146664503,277.1219363086304,278.4530469972283,106353
2015-03-19,277.22979736328125,279.8560510895733,275.6828407291302,278.45298463190795,110654
2015-03-20,278.7407531738281,283.84932591521425,276.29440089085494,276.9419615013616,112511
2015-03-23,278.2731018066406,281.69080635371637,276.65418912644685,277.73346424657603,631806
2015-03-24,274.0279846191406,278.52496473315466,273.4163909320526,278.4530086597483,33628
2015-03-25,273.8121337890625,277.15790477271145,272.7688475110973,276.29447575281904,35767
2015-03-26,270.17852783203125,277.58954125038593,265.5016691611705,272.6968363471101,51300
2015-03-27,273.9200439453125,277.01395728244626,271.2218560497043,271.25782310514865,87414
2015-03-30,273.3084411621094,276.2944312751945,271.25781403840705,272.696847534632,113694
2015-03-31,277.3017883300781,282.7701207566491,270.17857593924106,273.3444456731784,475472
2015-04-01,281.6188659667969,285.03657070415585,277.19384211948244,278.4529964964042,57868
2015-04-06,280.79144287109375,282.7701141533372,278.27313396642023,280.61156366361706,31698
2015-04-07,282.3743896484375,291.188470845022,279.2444870360273,280.6835207007758,110048
2015-04-08,280.5755920410156,285.6122097684293,277.04994206549753,285.57622075277277,97414
2015-04-09,278.596923828125,283.48962946207257,277.01397802765973,279.3164406541709,135394
2015-04-10,283.2377624511719,284.56887282181896,279.2084642851219,280.93532204050655,53928
2015-04-13,277.1938171386719,285.6481386218111,275.93466287522557,282.77007173393395,80420
2015-04-15,282.41033935546875,289.82135349042284,275.1432154034021,278.4529970205513,126533
2015-04-16,284.3890380859375,287.08722630307165,279.82010164667463,283.48964201355943,73243
2015-04-17,283.6334533691406,287.0871242765236,274.3516716344786,286.3676076743268,72833
2015-04-20,281.4749755859375,284.92864737704076,276.7261604047382,284.1012074643712,70524
2015-04-21,284.82073974609375,286.6914878838468,279.1725282747265,280.10789136464757,59942
2015-04-22,281.07928466796875,284.9287046399141,277.6256121827718,284.9287046399141,66507
2015-04-23,284.5329284667969,292.843338756451,277.7334858967815,282.05058671382994,95256
2015-04-24,280.1438293457031,284.1731272257732,278.4529607223452,282.9499400621764,61484
2015-04-27,278.70477294921875,283.6694333389665,274.24376102921053,278.4529377353964,38221
2015-04-28,278.84869384765625,280.3956723497487,277.0139350093289,278.12917713334633,29595
2015-04-29,278.4170227050781,279.8920232991981,275.57492268275803,278.1291984309881,68828
2015-04-30,284.1731262207031,286.2597202354235,275.2870906850437,278.27308056454933,174936
2015-05-04,281.87066650390625,285.2883708201629,279.89199558396814,284.10117265978147,24041
2015-05-05,283.4896240234375,284.92865764792197,279.46032548329896,282.7701072111953,39903
2015-05-06,278.0932312011719,283.8493653528132,277.1578681846938,282.0505734304253,21084
2015-05-07,277.01397705078125,281.8707156094638,269.89076488962905,279.89204434481536,35614
2015-05-08,280.5035705566406,282.0145599140974,274.4236460774549,278.4529437113711,28029
2015-05-11,278.84869384765625,282.69811266079597,278.2011331963588,279.92796891912116,141652
2015-05-12,277.7334899902344,284.20914131125016,275.57493954989576,284.20914131125016,86802
2015-05-13,277.91339111328125,281.8347668390154,276.2944781553398,278.95669935823065,128964
2015-05-14,276.7261657714844,280.5755850444561,274.56761537070514,277.805440971874,46152
2015-05-15,274.3157653808594,278.992624331615,272.66088561221716,276.9419971693173,36790
2015-05-18,276.7261657714844,279.74812315782924,274.85541769922696,274.8913847560759,37863
2015-05-19,269.31512451171875,283.0938885450436,267.37244236213604,275.7188414804629,144722
2015-05-20,271.7975158691406,273.4523959979514,269.81884434395164,270.3584820326396,106723
2015-05-21,269.2071838378906,272.6248883523634,268.2358318474588,270.53829419826695,38117
2015-05-22,266.0773010253906,270.4663578502668,265.50169637467997,266.65292763401123,73195
2015-05-25,271.1139221191406,281.3310694872642,270.2505151317775,275.1432206005659,245583
2015-05-26,270.93402099609375,275.3590665351796,270.25049326447765,271.83341692551636,111357
2015-05-27,271.4017333984375,273.27245942701927,270.5742715497465,272.66088774116474,120982
2015-05-28,269.5309753417969,272.7328116617888,266.94071068481,272.6608775540764,151286
2015-05-29,266.04132080078125,270.50233347566854,265.21388092212396,269.8547508282848,284260
2015-06-01,265.8974304199219,269.7468497749366,265.50170495450897,269.7468497749366,67361
2015-06-02,263.0912780761719,267.66021353207776,261.1845632046888,267.66021353207776,35444
2015-06-03,266.2212219238281,267.48037635184625,259.7815376373713,265.4657380501815,57266
2015-06-04,268.34381103515625,269.63893254842185,264.3864684627311,266.29318367422644,74204
2015-06-05,267.0126953125,270.03465277065,264.81815584481694,268.34380581619126,95722
2015-06-08,266.04132080078125,267.62426644875,265.3937601113064,267.62426644875,99028
2015-06-09,267.9120788574219,269.0273210892226,265.10596779199625,265.10596779199625,79703
2015-06-10,270.3584289550781,271.25782492631924,266.2571745430549,266.2571745430549,70253
2015-06-11,271.4017333984375,273.4163715636375,269.81878772727384,270.35842530272834,44725
2015-06-12,269.854736328125,272.69683614765546,269.45901091635085,269.854736328125,24418
2015-06-15,272.37310791015625,276.94204451941835,269.0993148680549,272.69689929142464,28896
2015-06-16,273.7760925292969,276.2584338202808,271.9773008569625,276.2584338202808,91600
2015-06-17,273.560302734375,275.1792155733814,269.0992896837265,275.1792155733814,309883
2015-06-18,276.798095703125,279.028580006962,274.4956333765672,276.94198587484226,110539
2015-06-19,285.5042419433594,287.73474829374214,277.373711328313,279.1005471628997,282515
2015-06-22,284.7487487792969,289.7493988865691,280.61152753992616,286.3676614381811,83774
2015-06-23,290.61285400390625,293.5628775076983,283.05792700922285,287.0872257979697,58179
2015-06-24,290.43292236328125,294.8579458412461,288.52620742896073,290.6128015449701,47917
2015-06-25,287.6627502441406,293.4188834913103,284.2090790790011,293.4188834913103,37881
2015-06-26,285.5042419433594,289.53354019600096,282.26641651929344,289.53354019600096,31951
2015-06-29,278.77679443359375,284.9286543233195,276.9780024239768,284.9286543233195,24059
2015-06-30,295.54150390625,307.73732155419964,277.01394766623554,277.01394766623554,318880
2015-07-01,296.26104736328125,304.35561149889,294.46225533314595,299.31899381451126,251417
2015-07-02,296.7646789550781,300.7579879545654,294.28233749621353,298.52748173844043,208271
2015-07-03,296.40496826171875,299.247046578513,293.167142511862,297.19641921202145,71391
2015-07-06,294.57012939453125,301.7652963165174,287.80667687944566,296.44087718582904,151246
2015-07-07,294.7860107421875,300.75799077098407,293.5628235276591,295.7213737006566,162442
2015-07-08,288.885986328125,293.850647704075,285.36035850798135,293.4189332457512,92060
2015-07-09,285.14447021484375,292.8073409260825,284.20910725261854,290.648790744417,37774
2015-07-10,290.39697265625,299.31897620937053,286.3676743541574,287.08719112389144,155094
2015-07-13,289.96527099609375,292.77138213028036,287.8786766633863,288.56220445004533,40270
2015-07-14,295.39764404296875,299.53486607134596,289.2457835491554,289.2457835491554,181305
2015-07-15,293.63482666015625,301.83731424079093,292.1238369052709,295.00190426394346,123987
2015-07-16,292.41162109375,297.16043633228867,291.4402690289269,294.89396281964133,40261
2015-07-17,296.0091857910156,299.60676953168894,290.7567223127961,296.08114185741084,114885
2015-07-20,297.9519348144531,300.3982877361713,293.6348336733345,293.6348336733345,174607
2015-07-21,302.880615234375,305.72269350868964,297.52020612323463,298.5994813570553,304626
2015-07-22,309.5361022949219,311.730619511784,302.7366604952871,303.6360563969368,434063
2015-07-23,304.03173828125,317.48670782669916,301.4774630694322,310.79521205963255,297636
