Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2015-01-01,37277.25390625,37609.624484713204,37146.71945801235,37246.48353848815,9595
2015-01-02,37484.22265625,37688.12128114997,37276.88891612909,37442.75590822582,11099
2015-01-05,37763.9921875,38659.77139931021,37295.53981146961,37588.99682209143,38178
2015-01-06,36765.5703125,37639.071582604774,36657.609481363455,37639.071582604774,15734
2015-01-07,36688.08203125,37025.60529027372,36324.8912398066,36803.84471107259,10795
2015-01-08,37370.62890625,37491.839434263915,37013.42666353794,37089.44011049302,13462
2015-01-09,37008.23046875,37775.97906574871,36804.82248315974,37688.13822275557,11069
2015-01-12,37388.24609375,37589.986330234504,36913.759161003916,37098.27397641081,11590
2015-01-13,37462.50390625,37688.14048462751,37297.8636571277,37442.77498668071,9242
2015-01-14,37526.54296875,37676.3616029423,37222.78049307763,37472.21751589917,8681
2015-01-15,37610.98828125,38078.75450359307,37306.48976110103,37747.365463949674,11451
2015-01-16,38435.765625,39134.861704277086,37432.95692703978,37688.137021455885,24081
2015-01-19,38763.91015625,39209.394078845995,38203.39585779926,38203.39585779926,17565
2015-01-20,38780.6875,39238.834538972784,38669.68649398851,38964.02529257678,15524
2015-01-21,38181.453125,38944.343944400214,38080.7574716144,38806.9891690777,8900
2015-01-22,38420.83984375,38753.555356281686,38236.765937232856,38276.024404788215,10228
2015-01-23,38010.203125,38864.91077609692,37707.76716628308,38816.819141762,10573
2015-01-27,39204.09375,39503.83059819762,38082.133587629,38281.91086913536,20521
2015-01-28,38993.0390625,39559.78345050741,38769.21591709178,39306.56628896647,9457
2015-01-29,39161.796875,39356.61703664022,38864.90468912509,39160.32468234277,8400
2015-01-30,39294.6875,39543.09702202441,38915.94291437801,39258.47309210664,7726
2015-02-02,39472.6796875,39729.57733740279,39160.379280631685,39258.47562984466,7555
2015-02-03,39870.33203125,40387.17158561059,39507.34051840663,39648.13051139516,16966
2015-02-04,39356.33984375,40136.16962277606,39006.26521479094,39963.245122075736,8193
2015-02-05,39034.87890625,39564.36068215896,38957.15955715711,39448.42260327511,4235
2015-02-06,38158.7734375,39275.5146008388,37827.27052915129,39153.68131393971,7886
2015-02-09,36638.50390625,38171.0452913106,36462.531918448534,38171.0452913106,9430
