Price,Close,High,Low,Open,Volume
Ticker,NHPC.NS,NHPC.NS,NHPC.NS,NHPC.NS,NHPC.NS
Date,,,,,
2015-01-01,10.648957252502441,10.70530115774046,10.53627051669701,10.53627051669701,1950452
2015-01-02,10.733471870422363,10.817988260082341,10.648956555432923,10.648956555432923,3189435
2015-01-05,10.648957252502441,10.789816478262184,10.648957252502441,10.733472573024166,1847875
2015-01-06,10.423580169677734,10.620783252686788,10.367236278150813,10.620783252686788,3339702
2015-01-07,10.282723426818848,10.508097971924592,10.22637952187476,10.479926556787849,3502444
2015-01-08,10.479926109313965,10.508097523247839,10.310894401699054,10.310894401699054,2240276
2015-01-09,10.451751708984375,10.56443949344931,10.395408891422266,10.536268084668256,2290089
2015-01-12,10.479926109313965,10.536270011852269,10.367238304237357,10.423582206775661,2673144
2015-01-13,10.451751708984375,10.56443949344931,10.367236407970852,10.479924192435787,3435110
2015-01-14,11.04336166381836,11.156048380739412,10.536268750997554,10.536268750997554,16711949
2015-01-15,10.987015724182129,11.268734076084234,10.902500433545542,11.240562670762115,5024923
2015-01-16,10.90250301361084,11.099706121544257,10.846159114962651,10.987018324247881,3498033
2015-01-19,10.874329566955566,11.043361247977856,10.817986747951856,10.846158157453711,3960325
2015-01-20,10.761643409729004,10.902502613849355,10.705299513146775,10.846158717267127,2588592
2015-01-21,10.761643409729004,10.846158717267127,10.705299513146775,10.846158717267127,2858759
2015-01-22,11.21239185333252,11.268735747001607,10.733470369150876,10.76164285332061,6091163
2015-01-23,11.184222221374512,11.325081440599202,11.043363002149823,11.2405661239985,4099924
2015-01-27,11.071531295776367,11.212390475301945,10.987016002995071,11.099703776483635,2245670
2015-01-28,11.296905517578125,11.4377646939802,10.98701575936166,11.01518716477398,5361239
2015-01-29,11.211540222167969,11.353818645873154,11.126172299546274,11.32536230983318,6530205
2015-01-30,10.955438613891602,11.382273884562704,10.926983363379486,11.211540210493554,5212636
2015-02-02,11.126175880432129,11.496100769522064,10.870075286637453,10.870075286637453,9578903
2015-02-03,11.325364112854004,11.63837734613669,11.097718815783761,11.154630411425922,14594165
2015-02-04,11.382275581359863,11.553009280880907,11.154630286832344,11.325363986353388,6430999
