Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2015-01-01,129.9112091064453,130.17552085754684,128.41971404770027,128.47634795885904,1849323
2015-01-02,131.85585021972656,133.10190891512437,129.9301152882551,129.9301152882551,3736468
2015-01-05,133.34732055664062,135.17865374591648,130.64752578395772,131.02511401916047,6074619
2015-01-06,125.79546356201172,131.76144505404366,124.8325918025895,131.6104097358763,9024997
2015-01-07,127.64567565917969,128.9672520144963,123.88861584021943,125.73882446615114,8937670
2015-01-08,129.06163024902344,129.8356991007293,126.68278977941564,129.495861044025,6578931
2015-01-09,132.5354766845703,134.76328156967588,127.02260270016268,131.0628568199881,13223764
2015-01-12,131.2894287109375,133.06411926645654,130.06224539384863,132.93195906866845,3157549
2015-01-13,128.3630828857422,131.62926877620606,127.74005795306353,131.40271582658494,7395021
2015-01-14,129.9112091064453,130.64751909103143,128.00435836781475,128.38195522611434,6704722
2015-01-15,130.8363494873047,133.29070814088433,129.38261284694192,131.78033757365503,10737987
2015-01-16,131.06288146972656,132.91309851377108,129.64690388840955,130.26993748116556,4284924
2015-01-19,131.21389770507812,133.29065862412364,130.57198915610482,131.81804743602,3049690
2015-01-20,132.2711639404297,132.72426976381385,131.13838209709004,132.72426976381385,4842070
2015-01-21,130.66639709472656,132.34669494131555,129.93008709371927,132.21453474159722,8863149
2015-01-22,133.25294494628906,133.9892551109899,130.55314965149515,131.0251393579966,8061763
2015-01-23,131.7047882080078,134.42345803160998,131.23278995722197,134.04586980191002,6424399
2015-01-27,132.25228881835938,132.7620372240665,130.66639240596808,132.1578874444565,4689873
2015-01-28,133.6305389404297,134.61228580497666,131.61041128757634,132.15791864360924,7037476
2015-01-29,132.8753204345703,134.234655258695,131.213906403729,132.9130792551049,10551229
2015-01-30,132.6676483154297,134.2157773089171,131.42158989923135,132.87532615853613,6162442
2015-02-02,132.10125732421875,135.10313121907976,131.62925908360236,134.04586691381797,3717522
2015-02-03,135.7261505126953,136.3114251956623,132.91307948698184,133.13963241058454,7617916
2015-02-04,139.16226196289062,141.14463039154276,136.7267790220585,138.2560415809711,12396304
2015-02-05,134.66896057128906,139.14345674254005,133.68722205144155,138.99241273434097,3953791
2015-02-06,132.5354766845703,136.40581179810707,131.28941837585288,135.93382224058493,5834608
2015-02-09,134.55563354492188,135.12202459636464,131.81807967709574,131.81807967709574,4045851
2015-02-10,133.91368103027344,135.59396990005595,132.5354626798052,134.0458412036928,3438390
2015-02-11,130.2510528564453,134.57451186529056,129.89233969062295,134.0458796623836,3754929
2015-02-12,130.8174591064453,132.38448080584482,128.13654759666505,130.6475486920319,6518277
2015-02-13,128.2120819091797,129.8546128397515,127.72120841114956,128.2120819091797,9134797
2015-02-16,128.55189514160156,130.1566756763026,127.24920253388449,127.43799668519661,5713141
2015-02-18,125.5877914428711,129.85459987404312,125.36122981277862,128.891736712867,7747543
2015-02-19,125.90873718261719,126.85271654210284,124.83258895908257,126.11641506158777,5393952
