Price,Close,High,Low,Open,Volume
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
Date,,,,,
2015-01-01,11008.1142578125,11066.660111068304,10424.972319144263,10424.972319144263,13023
2015-01-02,11084.201171875,11190.717461664912,11022.040087053327,11022.932559934869,13252
2015-01-05,10781.7392578125,11066.661159023653,10638.274275448544,11066.661159023653,9319
2015-01-06,10388.2509765625,10923.556952212286,10308.062630178554,10798.922755425152,11751
2015-01-07,10164.0166015625,10388.250419479884,10131.35244178363,10387.492166131049,9301
2015-01-08,9990.474609375,10397.307981201817,9817.200668945921,10397.307981201817,16214
2015-01-09,9845.0888671875,10214.349424132435,9773.467937411473,10000.379107449538,11018
2015-01-12,9794.3544921875,9993.911074832711,9701.179977088013,9941.83563213357,11566
2015-01-13,9701.671875,10102.749576558437,9683.33172976765,9794.890851078337,10684
2015-01-14,9673.9599609375,9906.449150459546,9531.61053395567,9685.338990367081,12513
2015-01-15,9736.564453125,9817.199007257945,9603.451810690829,9652.98404204563,10458
2015-01-16,10394.142578125,10473.170889735127,9687.883530812222,9687.883530812222,21135
2015-01-19,10515.2490234375,10709.67387936698,10379.458934753164,10383.43061312786,11554
2015-01-20,10366.5634765625,10608.825420917188,10272.586253984358,10470.715238879086,9930
2015-01-21,10453.130859375,10602.575586032975,10335.726250997297,10335.726250997297,9031
2015-01-22,10516.3212890625,10566.880232717147,10406.458212292238,10406.458212292238,10286
2015-01-23,10614.716796875,10661.482731898705,10463.309271468665,10557.643844303298,13519
2015-01-27,10598.1162109375,10715.030166611843,10419.621622121711,10620.472483875556,15429
2015-01-28,10593.2978515625,10709.676686848541,10406.191398046116,10636.761463761104,7944
2015-01-29,10400.341796875,10630.242417675501,10330.37158799378,10611.500490820394,6202
2015-01-30,10526.673828125,10601.373987160448,10399.987120580683,10424.083889846595,4918
2015-02-02,10535.8193359375,10708.780378168552,10441.931029633475,10531.178303391027,3843
2015-02-03,10707.3984375,10736.448254100867,10489.41194655535,10571.340778871552,8462
2015-02-04,10630.33203125,10798.964934962809,10545.458219691684,10771.253829845882,4155
2015-02-05,10531.4921875,10691.825291855264,10408.018910986317,10549.029628524977,3284
2015-02-06,10392.0,10576.697460570955,10336.666674326605,10514.268800278307,5769
2015-02-09,10054.4169921875,10472.853266555312,10000.199285245712,10391.950281978114,7535
2015-02-10,10230.4169921875,10250.051396255207,9953.839288084251,10053.707355578137,5036
2015-02-11,10450.052734375,10528.501440769807,10264.731283571233,10264.731283571233,2982
2015-02-12,10504.9423828125,10748.944850508924,10321.450281977392,10565.987884853466,15118
2015-02-13,10501.59375,10678.437592899942,10460.897336880773,10531.179573440812,8710
2015-02-16,10511.60546875,10726.17163825038,10467.762780686831,10636.698581690145,9769
2015-02-18,10525.5498046875,10654.575289680954,10371.227943470478,10548.208304825917,74737
2015-02-19,10526.3095703125,10592.006827852343,10377.038250460066,10551.471522186483,9267
2015-02-20,10532.3427734375,10626.553881791877,10417.707765210282,10590.800272988066,3016
2015-02-23,10410.9111328125,10569.344254058708,10346.867155237162,10432.094439992523,2110
2015-02-24,10512.857421875,10724.295155194925,10270.224315151667,10466.511281888039,7281
2015-02-25,10392.4560546875,10541.861786219886,10323.85382257644,10538.375460448158,4515
2015-02-26,10246.4921875,10493.371015011524,10131.678244025063,10493.371015011524,3229
2015-02-27,10368.2763671875,10480.27434833184,10194.290056248485,10321.573225635231,3771
2015-03-02,10691.8515625,10770.777500226348,10368.772754937818,10680.499614124867,19320
2015-03-03,10902.0791015625,11162.27561593918,10556.252003863046,10724.293949394481,30940
2015-03-04,11117.13671875,11566.246870762197,10697.434256440589,10987.082978643215,27222
2015-03-05,11672.3466796875,11787.070720228703,11129.204332870826,11172.69000776759,12658
2015-03-09,11772.904296875,12066.84331240642,11433.736441193669,11619.923189724701,14200
2015-03-10,11706.533203125,11922.93151349474,11530.535761607478,11771.872556617865,5980
2015-03-11,11481.8251953125,11753.999557694086,11351.7714359479,11753.999557694086,3390
2015-03-12,11903.091796875,11939.918190156159,11459.300107893676,11520.394613384242,8313
2015-03-13,12062.3291015625,12263.487665995433,11798.735274803978,12065.636484913566,8511
2015-03-16,12049.4130859375,12133.880986729095,11888.074926224454,12066.84297022783,5012
2015-03-17,12136.8740234375,12156.270529225652,12032.876071382592,12066.841997003788,5696
2015-03-18,12312.427734375,12493.206950642252,12087.447936882252,12209.547056127883,6098
2015-03-19,12558.6796875,12722.02900248661,12308.448920689249,12413.654098681518,9589
2015-03-20,12911.2109375,13205.5968979649,12603.148521815698,12603.148521815698,23129
2015-03-23,12512.0625,13049.126836888749,12180.671289669692,12915.989182125308,8422
2015-03-24,11977.5478515625,12781.915005879007,11624.838853773386,12646.632639221369,13158
2015-03-25,12333.921875,12380.089070103852,12066.842600030814,12066.842600030814,5339
2015-03-26,12635.7255859375,12740.796311203756,12175.219008978826,12253.832417426078,7389
2015-03-27,12668.6650390625,12861.154048453647,12299.464521741509,12861.154048453647,5663
2015-03-30,12481.0498046875,12871.344642022445,12365.386522467148,12779.190057647915,5819
2015-03-31,12273.36328125,12578.25267180694,12218.79451616379,12536.10776073132,4285
2015-04-01,12831.4326171875,12871.297536790991,12247.397142299316,12247.397142299316,6968
2015-04-06,12678.58984375,12932.66397193577,12599.976407697963,12932.66397193577,2940
2015-04-07,12262.7724609375,12718.630956042409,12155.914041221951,12474.657102564473,14208
