Price,Close,High,Low,Open,Volume
Ticker,PNB.NS,PNB.NS,PNB.NS,PNB.NS,PNB.NS
Date,,,,,
2015-01-01,193.1596221923828,195.13826622611623,191.8844987210179,191.92847127214193,3181076
2015-01-02,193.29151916503906,195.2261904406534,192.63197122436117,193.46739593217904,4451061
2015-01-05,191.48876953125,195.22620820177957,190.16967352988664,194.74253698423865,3754758
2015-01-06,182.69479370117188,189.33424616800272,182.07921825929193,189.07042428761468,4896890
2015-01-07,179.26515197753906,183.3543442149168,175.5277133064916,182.21112499653577,5008202
2015-01-08,181.63951110839844,183.88197685907744,180.8480455042271,181.7714153331582,3214977
2015-01-09,181.68350219726562,184.1897766532336,178.91339242777812,183.79405052003221,3126189
2015-01-12,183.75006103515625,186.38825290477382,180.10056764960038,181.59554035867612,3567207
2015-01-13,182.34303283691406,185.55282756722588,181.15584113198355,184.05785486295102,2410981
2015-01-14,178.56161499023438,183.09050547792225,176.97869725037452,181.9472863647714,2935769
2015-01-15,184.7174072265625,188.05911968062406,182.1671469822748,186.43222929343125,5358144
2015-01-16,180.3204345703125,184.01390086453074,179.83676332997152,184.01390086453074,4167303
2015-01-19,182.78274536132812,183.35434827390324,180.6721836610089,180.6721836610089,2727640
2015-01-20,184.01390075683594,185.37696937207588,182.3870102453336,182.73877724652982,2995884
2015-01-21,189.9498291015625,190.82922645851417,183.44229402753558,184.057869493694,6336999
2015-01-22,187.13575744628906,192.5880182941979,185.28901765687448,190.82922360657966,3802533
2015-01-23,182.16714477539062,190.74126842440032,181.77141867529775,189.90584367564028,5986702
2015-01-27,179.9686737060547,183.794057788201,178.16591975923168,183.75008523420883,4183250
2015-01-28,181.7714385986328,185.55285007534536,178.38576668392665,179.39706831929124,6508856
2015-01-29,175.0880126953125,182.2990680733264,174.3844921519247,181.1558488676385,8365165
2015-01-30,166.77769470214844,177.90207873998352,165.32669450607946,177.63825686291514,11653230
2015-02-02,168.66839599609375,170.16336864414365,165.2827112008755,167.0854782552315,5198700
2015-02-03,155.5214080810547,171.13070917331993,154.37818897932223,169.72366821448966,23151027
2015-02-04,155.74127197265625,158.11564207175013,152.53146367811638,155.65332687254457,6892060
2015-02-05,150.7286834716797,158.02768333954398,147.87064240559417,157.32416285495395,6474368
2015-02-06,149.8932647705078,154.46612797569392,148.00256597232266,150.0251824145793,6248611
2015-02-09,146.59552001953125,151.69602679249354,145.6281910882087,149.49753365057336,4991224
2015-02-10,146.15582275390625,152.04778174548164,144.44100077092693,145.54024735213642,7536862
2015-02-11,148.44227600097656,150.55282428262177,146.55156363923646,147.69478288285208,4871847
2015-02-12,146.1118621826172,149.84930086505858,145.1005606124308,148.96990352801356,5723454
2015-02-13,147.43093872070312,149.1897331625536,146.68345913403869,146.68345913403869,7293616
2015-02-16,146.5515594482422,149.45357331641833,146.1118607839288,148.70609363820856,3955417
2015-02-18,147.69476318359375,150.28898234751088,147.0352152562316,148.57416042007665,6204480
2015-02-19,145.40835571289062,149.93724665197172,142.63824603740557,149.05784931090443,6211473
2015-02-20,147.0352325439453,149.40960267790905,144.00131440507286,146.155835204067,7795303
2015-02-23,143.95733642578125,148.35432295936369,142.99000743951592,148.178446181728,3782733
2015-02-24,141.8907470703125,144.57289786132037,140.70355545375674,144.22114434010066,5656000
2015-02-25,140.83546447753906,144.0012999507412,140.3078341776968,143.86939573041494,5538181
2015-02-26,140.30784606933594,142.11061327163048,139.34050364316667,141.97869562158652,8905957
2015-02-27,146.1118621826172,146.5515608511397,140.74754647776555,141.84679314907186,6938775
2015-03-02,145.7600860595703,148.35430511870305,144.22114095788555,147.47490791774032,4472111
2015-03-03,148.83798217773438,150.1131054860962,145.1005439251177,146.77139330593155,4831921
2015-03-04,144.57290649414062,158.29150933746968,143.3857282252321,158.29150933746968,10791374
2015-03-05,143.60557556152344,145.27642499182957,142.55030153088074,144.92467145446113,5662205
2015-03-09,141.97869873046875,144.39704143030764,140.26387659065438,142.46236995414424,6243195
2015-03-10,143.69351196289062,144.3970324793047,141.75884060665527,142.28648434860025,4688547
2015-03-11,143.47366333007812,145.10055369345014,141.626937061466,143.73748520231925,4486358
2015-03-12,146.1118621826172,146.94730038764075,144.70483449446823,144.92468382872948,3243182
2015-03-13,146.02392578125,148.88196703428832,145.14452847262282,148.09050140540103,5387958
2015-03-16,147.25509643554688,148.1344938623564,144.79278095677225,145.97997285038102,2366022
2015-03-17,147.3870086669922,148.70610475857552,145.18851518102,148.31036519626903,2220029
2015-03-18,148.22244262695312,149.93726496780357,146.85937389808325,148.0905249585553,3562679
2015-03-19,142.41839599609375,149.4975472402979,141.45106697683843,149.32167045666407,3507227
2015-03-20,143.2098388671875,144.04526352044545,140.1319486783683,142.0666198276331,4609429
2015-03-23,143.42971801757812,144.57292387652495,141.5829781525209,143.4736771517383,2575948
