Price,Close,High,Low,Open,Volume
Ticker,RANEHOLDIN.NS,RANEHOLDIN.NS,RANEHOLDIN.NS,RANEHOLDIN.NS,RANEHOLDIN.NS
Date,,,,,
2015-01-01,562.90576171875,569.8847957487184,550.5582477288299,555.84415585346,1736
2015-01-02,547.7088623046875,566.5811139387301,544.4464682575573,561.6255939917442,1289
2015-01-05,547.5435791015625,553.3663040094835,545.1071054421778,551.6731783852154,1077
2015-01-06,526.1524658203125,553.6143131223344,512.0705361580013,543.4555045031692,1899
2015-01-07,527.4739379882812,537.6740319479585,507.94090575728796,537.6327460213937,4003
2015-01-08,527.3086547851562,548.3283296924593,523.6333005588237,529.4147407858138,2286
2015-01-09,533.70947265625,542.6293978818667,529.4146789075746,532.7183586511477,2167
2015-01-12,524.1287231445312,545.1071077586978,521.568391741845,533.5442297153314,727
2015-01-13,536.9717407226562,540.8948594993284,520.3707236531807,532.5943257595203,1174
2015-01-14,541.4317016601562,541.8033756431596,527.7627393841143,536.8478569634965,540
2015-01-15,540.234130859375,544.9831697959057,534.4526921540332,540.977478856977,428
2015-01-16,561.9559326171875,565.5486640979993,540.9775465267463,540.9775465267463,3041
2015-01-19,545.520263671875,568.2330679882665,541.1841828478366,568.1504961366369,1531
2015-01-20,534.12255859375,564.9293693861366,532.7184842895587,536.8893708674673,1516
2015-01-21,539.1192016601562,549.0302402199753,532.9660884722388,534.3701623502429,479
2015-01-22,564.92919921875,569.8847185101425,543.4552822893824,543.4552822893824,5489
2015-01-23,559.8497924804688,582.273538267158,555.0181811567804,576.4920988801082,5150
2015-01-27,561.62548828125,565.7550874597886,557.4958891027113,561.62548828125,2207
2015-01-28,553.655517578125,561.6256666885794,547.5850250213648,561.6256666885794,1881
2015-01-29,547.5848999023438,568.7697657413589,542.0512264276354,549.2367397210537,344
2015-01-30,548.6998291015625,569.8846932991324,538.5823109958895,552.5403765465502,3557
2015-02-02,557.2894897460938,559.14780964521,553.3663699590705,557.4959697348845,1276
2015-02-03,551.5081176757812,569.8848389311705,541.8861288544012,561.5430665253723,831
2015-02-04,547.5023193359375,561.5429575708475,545.1484173857597,545.1897032985382,555
2015-02-05,545.3136596679688,556.6700592445452,536.8892659000412,536.8892659000412,1930
2015-02-06,525.119873046875,540.9775455322946,521.9813874449011,540.9775455322946,1433
2015-02-09,507.0735778808594,536.6002169374733,503.8111839030627,520.3708692919439,818
2015-02-10,482.58502197265625,521.5684541203746,472.4262165587557,508.76669475558305,2917
