Price,Close,High,Low,Open,Volume
Ticker,RELAXO.NS,RELAXO.NS,RELAXO.NS,RELAXO.NS,RELAXO.NS
Date,,,,,
2015-01-01,140.44561767578125,142.5868506885753,135.78599024948346,136.36996963988767,59496
2015-01-02,145.9325408935547,147.45330517964842,140.6402811779485,141.37024803527348,45600
2015-01-05,162.5149688720703,166.28646449333033,145.0322528395654,146.96666808006745,474472
2015-01-06,159.65591430664062,166.18911135271537,154.04732407035542,161.32266592511024,407836
2015-01-07,167.4179229736328,169.57133446354032,157.00373041971662,159.6559497063091,447704
2015-01-08,177.45494079589844,182.44304767537997,168.37902246835282,168.37902246835282,447388
2015-01-09,179.75436401367188,182.11459348940758,177.45496511797464,178.84190531309486,137928
2015-01-12,174.58372497558594,180.54512046255715,172.77097113277463,180.05847593300848,38884
2015-01-13,170.374267578125,176.39649415488176,169.40097843440674,176.39649415488176,40952
2015-01-14,167.9897003173828,170.44724929173935,165.76329561741247,170.44724929173935,25312
2015-01-15,163.92620849609375,170.32558092340201,163.0380763122226,170.32558092340201,30284
2015-01-16,165.73899841308594,169.3523287982522,159.86275865007426,162.11349003137286,42324
2015-01-19,168.06271362304688,170.30128172722027,166.4324512617894,166.4324512617894,21452
2015-01-20,168.43984985351562,172.75882036258014,167.46656072471237,168.6101784212989,29228
2015-01-21,168.02618408203125,171.26236717767142,166.67574850598433,169.1089711119111,21868
2015-01-22,167.28407287597656,171.5300497686714,166.63926287276908,168.62234545898437,19688
2015-01-23,166.9799346923828,172.51551722681154,165.94581487825877,167.89239335190402,15348
2015-01-27,168.58583068847656,176.1653254230617,166.97990962924874,167.64904587912915,19832
2015-01-28,166.49327087402344,170.28909251941278,165.94579574144535,169.12114854015553,26668
2015-01-29,161.3834991455078,168.86565911342996,160.23988148098115,167.1502400422465,42700
2015-01-30,160.54403686523438,166.88257926891438,158.65828920120748,162.05263796669857,73668
2015-02-02,163.24493408203125,172.7588299008754,158.15949216277326,158.15949216277326,67304
2015-02-03,165.5321502685547,170.8122469111213,164.24254510684742,164.24254510684742,199232
