Price,Close,High,Low,Open,Volume
Ticker,ROUTE.NS,ROUTE.NS,ROUTE.NS,ROUTE.NS,ROUTE.NS
Date,,,,,
2020-09-21,620.3555297851562,700.0788007645841,595.3051026909728,682.934013807084,29189613
2020-09-22,661.2650756835938,670.4566120530768,605.6397295343842,633.1190549210921,6302377
2020-09-23,785.0885620117188,793.5180610794804,674.5046822636334,680.0767161375398,14866529
2020-09-24,860.66845703125,932.1050838809646,767.9913514252755,791.0415813158386,17844880
2020-09-25,894.1959228515625,941.0583545642016,853.8104574963642,887.7190146293885,9589972
2020-09-28,875.9559326171875,922.9612093435785,866.764396803567,900.0538761979678,2803949
2020-09-29,788.37451171875,889.3858758736518,788.37451171875,882.9565803854085,3583098
2020-09-30,768.4200439453125,806.7577034046232,735.5115801855567,747.7034205107782,4641613
2020-10-01,746.2271118164062,792.470415926401,721.986268356024,781.9930426389125,1835678
2020-10-05,788.0889282226562,809.0436730973336,734.51145553172,753.0849793979112,3141795
2020-10-06,768.32470703125,795.3277269620194,763.0383504815484,795.3277269620194,916522
2020-10-07,747.2747802734375,770.5631338314947,743.1314788895185,770.5631338314947,621669
2020-10-08,760.9429321289062,789.4222976424809,744.8458564777711,746.7508330928039,1414742
2020-10-09,750.5607299804688,767.8960275030105,744.8458005643738,765.5148069129709,368973
2020-10-12,728.7488403320312,752.4658243798881,722.2243181468989,752.37059879547,389181
2020-10-13,741.178955078125,761.038317197693,717.2714586679652,728.7489335518371,759721
2020-10-14,735.8924560546875,754.2278562963318,731.7015423091902,741.7978952920381,398436
2020-10-15,727.6533203125,743.8932313414944,715.4614838458634,742.9407432091749,298018
2020-10-16,674.7427368164062,733.4159930024971,654.9309336140949,733.4159930024971,3318511
2020-10-19,681.7435913085938,708.4608800464781,672.980686157208,686.6012590299255,1516686
2020-10-20,686.125,692.7924188419224,673.4093030341595,681.0292102820708,552843
2020-10-21,716.9380493164062,739.70248779883,685.8392789777223,693.4115735855546,1852610
2020-10-22,782.8026123046875,788.6128267525763,706.4130848373507,716.080807759822,2743903
