Price,Close,High,Low,Open,Volume
Ticker,RRKABEL.NS,RRKABEL.NS,RRKABEL.NS,RRKABEL.NS,RRKABEL.NS
Date,,,,,
2023-09-20,1182.2838134765625,1196.740924368524,1121.8398581958359,1164.4713017348136,15023438
2023-09-21,1162.0042724609375,1215.787060443206,1143.74772975136,1179.175315102182,2120327
2023-09-22,1165.7542724609375,1176.8562237206497,1135.902359073711,1168.418692577716,744549
2023-09-25,1165.211669921875,1174.3399425848243,1149.1755152437208,1167.4320605696194,470152
2023-09-26,1176.9549560546875,1179.2246161735477,1155.9846023849682,1168.4187644681183,327002
2023-09-27,1184.1588134765625,1207.793707819821,1168.4187609549958,1179.224612627935,467360
2023-09-28,1252.4482421875,1275.934966261571,1185.2444498265486,1191.0667105343944,1565376
2023-09-29,1381.52685546875,1408.0236105513277,1262.2672443555398,1268.0896254836118,2231718
2023-10-03,1390.6060791015625,1437.4316047088296,1338.2541512593157,1405.4086840940274,1776987
2023-10-04,1383.8953857421875,1395.3920986249104,1358.484249575574,1391.4447376669898,682742
2023-10-05,1464.421630859375,1504.8820835975687,1372.1520618100799,1389.5205476493065,2154615
2023-10-06,1483.023681640625,1503.648547965275,1461.1157542500225,1465.4084855508595,922131
2023-10-09,1423.862548828125,1487.316430356596,1413.1553553194983,1455.5894895923605,564296
2023-10-10,1440.3426513671875,1468.3195467360235,1426.0334685737691,1433.829409724588,371387
2023-10-11,1439.6024169921875,1479.0760218401895,1426.2800753559868,1446.0168777799877,426664
2023-10-12,1426.033447265625,1452.6287418745803,1418.5827557368948,1446.4609907626807,336497
2023-10-13,1405.7537841796875,1436.3458286230502,1399.3393232480146,1421.0498064013689,243346
2023-10-16,1384.980712890625,1415.0793364346225,1376.6913522856782,1413.3030965037974,214241
2023-10-17,1398.40185546875,1430.622089366721,1382.5630231846148,1389.816274052871,409703
2023-10-18,1391.1485595703125,1428.94458681315,1386.6585090102487,1401.2636714590105,431257
2023-10-19,1376.44482421875,1400.3263100022214,1372.4480730342418,1391.3953575844423,163936
2023-10-20,1349.3067626953125,1392.1849246651302,1344.175120962243,1383.9448324219518,192257
2023-10-23,1332.2342529296875,1358.6322279414424,1290.7869650607638,1349.3066363564906,365465
2023-10-25,1349.2574462890625,1372.6455140128435,1302.925340806115,1342.1028538695375,254919
2023-10-26,1316.148681640625,1349.0105073647658,1291.7737777179798,1349.0105073647658,301173
2023-10-27,1326.9051513671875,1338.944672656827,1318.6156705780982,1318.6156705780982,169055
2023-10-30,1327.6947021484375,1356.9051451810128,1317.4315409575652,1337.6123729312505,177925
2023-10-31,1338.500732421875,1365.046758910971,1322.3659186269301,1334.6520314017487,247849
2023-11-01,1373.681640625,1379.5040222462908,1308.9942134574226,1346.0501133710488,296990
2023-11-02,1371.4613037109375,1394.3559504317216,1363.8626816043065,1390.3099293039843,142746
2023-11-03,1372.694580078125,1380.5893008837504,1356.9051384668742,1375.6551003802347,118798
2023-11-06,1384.0433349609375,1413.1551199030748,1377.628873871992,1377.6782640659235,217734
2023-11-07,1506.066162109375,1529.5528860730853,1409.25716471709,1429.882028071135,2157504
2023-11-08,1583.6812744140625,1607.3160501119612,1483.2208892207384,1513.6156169724975,1460489
2023-11-09,1595.32568359375,1624.7335667966584,1569.1251511837954,1589.651353011542,884773
2023-11-10,1594.585693359375,1638.1547117434009,1585.8521817901476,1596.707423855917,530222
2023-11-13,1564.289794921875,1628.2863589363837,1552.0035619352007,1613.2864358153759,280490
2023-11-15,1586.987060546875,1620.8849966581815,1565.2271863787848,1591.2797912397673,368892
2023-11-16,1630.7042236328125,1691.8390531740974,1597.6944634173187,1598.6319135271528,1010491
2023-11-17,1614.58935546875,1661.8955184577949,1589.8239992018791,1639.1074322902195,551006
2023-11-20,1640.2938232421875,1651.020489109686,1602.7750516936455,1621.3614384071168,351285
2023-11-21,1774.5009765625,1788.440705854621,1645.9289471967732,1645.9289471967732,1139202
2023-11-22,1700.254638671875,1799.3158242386291,1690.6648060999291,1775.5885826003175,549759
2023-11-23,1663.77392578125,1729.1226775069804,1654.629051700667,1710.289131802963,391611
2023-11-24,1647.9556884765625,1698.425432291235,1636.536906072272,1677.3180993976207,330905
2023-11-28,1640.639892578125,1664.3176541435823,1632.9779708140513,1658.583643168651,152580
2023-11-29,1626.2552490234375,1647.6592229375203,1600.7978953619959,1647.6592229375203,697857
2023-11-30,1611.178466796875,1631.2478062622665,1536.8826405307746,1597.6342151029228,752212
2023-12-01,1631.2974853515625,1637.1798162490632,1611.5247822567671,1620.6201774071722,292178
2023-12-04,1631.9893798828125,1668.8160370996138,1617.011534086226,1657.9410510758605,209996
2023-12-05,1658.3857421875,1665.55334597947,1629.1221701527436,1646.027804615138,263047
2023-12-06,1649.4385986328125,1666.3442323863421,1632.2363261167907,1665.8004348827662,144721
2023-12-07,1670.0516357421875,1676.7249218403138,1629.270442920305,1641.1340626503072,406911
2023-12-08,1689.9727783203125,1724.2783662763054,1673.8086193921488,1679.641469639769,355989
2023-12-11,1691.702880859375,1713.3045324492725,1675.7364007510196,1698.3761674110383,274188
2023-12-12,1679.888671875,1725.1682066022856,1670.7932774543626,1700.4523297168662,201485
2023-12-13,1647.362548828125,1699.5624044200756,1641.1341000547238,1681.7669744194823,167605
2023-12-14,1684.5352783203125,1700.4522784177411,1648.450099156215,1661.4011941168687,254311
2023-12-15,1686.314697265625,1709.7947788781871,1680.1852084441714,1694.2237773877512,318062
2023-12-18,1704.307861328125,1718.1487510088962,1666.9374109168505,1689.5771760312796,484734
2023-12-19,1689.379638671875,1720.2250042683177,1677.5160179527832,1708.064744758052,256822
2023-12-20,1613.254638671875,1706.3840072485139,1575.8841874589402,1706.3840072485139,449781
2023-12-21,1631.0501708984375,1638.1682950600223,1571.4849085101657,1586.759271919937,167848
2023-12-22,1600.451904296875,1653.986518991384,1588.2917650009972,1636.0922478537786,103069
2023-12-26,1562.1422119140625,1621.0154771715104,1530.4070510767813,1621.0154771715104,344813
2023-12-27,1569.803955078125,1605.5926120819038,1554.1341155181788,1581.8158936571792,270794
2023-12-28,1565.305908203125,1587.698395328441,1555.4195577961907,1576.872889906043,157764
