Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2015-01-01,8958.4091796875,9027.621128253555,8885.280858612308,8985.253776864822,5510
2015-01-02,8909.0703125,8979.857968640345,8881.939304620595,8979.857968640345,1605
2015-01-05,8886.76171875,8975.032168405645,8865.219803332231,8883.848228565526,2685
2015-01-06,8670.673828125,8898.657520371346,8597.784313279559,8898.657520371346,2183
2015-01-07,8658.8740234375,8736.92253390762,8576.43148845997,8678.935404118456,6180
2015-01-08,8752.2548828125,8788.795254386445,8665.083408142635,8788.795254386445,9564
2015-01-09,8777.6181640625,8836.560598094193,8764.960388070636,8774.465847945423,5835
2015-01-12,8790.7529296875,8865.219045646143,8707.593922528513,8707.593922528513,21195
2015-01-13,8819.2705078125,8895.789977559552,8788.748361416236,8818.45793974357,16857
2015-01-14,8848.40625,8886.23590714222,8750.53518955282,8874.008205140664,13055
2015-01-15,9528.2001953125,9679.138197203354,8807.90112299792,8807.90112299792,34301
2015-01-16,9476.8046875,9648.568119520174,9400.189138225596,9648.568119520174,5131
2015-01-19,9798.6943359375,9860.645411613583,9486.166337659646,9486.166337659646,23250
2015-01-20,9989.041015625,10078.457095936119,9655.401097069958,9748.877219339156,24943
2015-01-21,9961.240234375,10173.986600865086,9896.948468071576,10054.573612592021,11973
2015-01-22,10416.7744140625,10699.40061885123,9882.61601803714,9982.922898838871,27153
2015-01-23,10536.955078125,10634.443660456096,10318.238050358093,10627.756532750096,46747
2015-01-27,10363.8046875,10740.480795285366,10114.99562222541,10603.777192483176,12300
2015-01-28,10563.4140625,10603.870799999364,10412.81006486424,10556.105616215584,12808
2015-01-29,10407.9423828125,10689.85223250772,10288.624534772844,10689.85223250772,12831
2015-01-30,10479.396484375,10556.10719441772,10317.281239792885,10556.10719441772,26559
2015-02-02,10410.6640625,10603.874294579156,10358.504837784178,10603.874294579156,11832
2015-02-03,10363.421875,11259.210421707967,9837.76596675761,10689.84936525642,90496
2015-02-04,10210.525390625,10419.115593002049,9648.615533631679,10363.421570497878,31196
2015-02-05,10510.1103515625,10601.676794591009,9889.831685628138,10029.736135188206,9439
2015-02-06,10578.126953125,10699.402961670645,10212.675657298218,10504.903473854407,18958
2015-02-09,10572.0625,10678.101239352229,10416.251864680878,10416.251864680878,12371
2015-02-10,10510.921875,10661.19098427987,10347.851320942613,10508.342368017793,21411
2015-02-11,10589.3037109375,10604.063341110248,10365.046145711169,10517.942331075039,7732
2015-02-12,10617.677734375,10670.6495227937,10441.471741504869,10441.471741504869,2518
2015-02-13,10794.7431640625,10985.517545509267,10551.331909226476,10551.331909226476,29096
2015-02-16,10567.904296875,10914.96690317486,10422.364140543577,10838.160106828782,5847
2015-02-18,10411.810546875,10794.935023217993,10260.251196591369,10376.177894841347,85677
2015-02-19,10511.8291015625,10742.391302051929,10318.331569261582,10559.880696437547,47444
2015-02-20,10612.7568359375,10651.637889075024,10417.588446669339,10566.759515474281,12577
2015-02-23,10614.2373046875,10651.637823214394,10522.958209296457,10628.18530050929,7325
2015-02-24,10497.5966796875,10720.373755880422,10133.578282282602,10651.639447481799,11771
2015-02-25,10569.529296875,10706.090167805763,10392.606838580106,10694.721678909238,60085
2015-02-26,10501.8955078125,10603.874207965684,10332.233893650668,10569.530843204824,20624
2015-02-27,10509.388671875,10622.974628068961,10443.568822281946,10460.620616122915,35844
2015-03-02,10936.845703125,10984.993399125515,10168.208458176645,10171.121948868558,12346
2015-03-03,10942.001953125,11005.911216466686,10682.350571458723,10985.993505754403,4002
