Price,Close,High,Low,Open,Volume
Ticker,SKFINDIA.NS,SKFINDIA.NS,SKFINDIA.NS,SKFINDIA.NS,SKFINDIA.NS
Date,,,,,
2015-01-01,1134.673828125,1145.176177515272,1131.7331702957238,1140.9752377591633,4058
2015-01-02,1143.7060546875,1151.3937963388512,1134.2539385330579,1134.2539385330579,4239
2015-01-05,1138.4967041015625,1171.053986633,1131.85919889243,1160.383538304849,11710
2015-01-06,1135.681884765625,1156.9386785628558,1115.7694735885784,1146.016236426823,25040
2015-01-07,1125.01171875,1143.873898103043,1122.1131112089436,1125.8939571644141,7230
2015-01-08,1126.39794921875,1141.77332653235,1123.3312428153429,1123.9613837518511,7454
2015-01-09,1116.609619140625,1139.8827808624017,1113.2909182575163,1136.270034753016,5721
2015-01-12,1108.9637451171875,1113.2486817950985,1083.1279738226976,1113.2486817950985,19074
2015-01-13,1117.0299072265625,1130.0107703511765,1092.2443620868983,1113.2490613578002,6186
2015-01-14,1107.2838134765625,1133.749736140172,1086.9932522553922,1133.749736140172,51754
2015-01-15,1126.6077880859375,1132.5310502577445,1109.0478433865867,1109.0478433865867,31985
2015-01-16,1163.4923095703125,1175.4229373881926,1119.2563936658541,1125.851848534795,25789
2015-01-19,1166.2646484375,1184.748779780269,1153.5778333464511,1163.6600868061432,14886
2015-01-20,1167.9029541015625,1182.9842823007054,1163.2819217488254,1166.264526548407,15008
2015-01-21,1168.029052734375,1178.7414473146005,1156.9386146643487,1170.3395692124627,8250
2015-01-22,1169.2054443359375,1201.4686797449856,1161.9798490121084,1172.062103667311,25412
2015-01-23,1177.9852294921875,1197.267496570051,1167.8188760682215,1172.9020527802045,24025
2015-01-27,1178.6575927734375,1185.547195194513,1174.5827019093995,1184.6649568614116,12810
2015-01-28,1231.0013427734375,1235.034183223646,1174.582703833007,1174.582703833007,63516
2015-01-29,1259.9879150390625,1272.0445919470305,1209.8706819047054,1235.0763211110534,51215
2015-01-30,1253.0562744140625,1264.4407591021318,1226.6743534239151,1260.1978716771468,27611
2015-02-02,1232.5135498046875,1256.0808604860977,1218.2724064915328,1248.5191696871848,8113
2015-02-03,1220.5831298828125,1236.7146986282708,1216.59223684069,1232.5137585839313,11015
2015-02-04,1221.0029296875,1230.0349486065713,1214.0713802844916,1224.9517713529035,6236
2015-02-05,1214.6175537109375,1229.194792010143,1188.0676388661789,1223.733571129715,63523
2015-02-06,1177.6072998046875,1212.349047767682,1173.3223621738098,1210.7107224435802,113382
2015-02-09,1147.99072265625,1176.2630661515059,1137.2363790172078,1173.742502438324,17555
2015-02-10,1163.576171875,1178.195460950984,1134.2535954505827,1134.2535954505827,111575
2015-02-11,1163.2401123046875,1180.2959671827075,1155.2583274965295,1167.8611456146737,8033
2015-02-12,1165.9285888671875,1176.2629400077658,1158.6189959076492,1163.6601227933968,25829
2015-02-13,1163.7860107421875,1172.0618390575466,1159.4590235838095,1169.541275962799,31722
2015-02-16,1212.0130615234375,1224.9939231825692,1159.4592688559298,1167.8611476157555,60334
2015-02-18,1238.184814453125,1251.2497767663003,1222.1372467592214,1222.1372467592214,37137
2015-02-19,1176.9771728515625,1207.3499852689533,1169.7936280045928,1207.3499852689533,49517
2015-02-20,1176.4732666015625,1191.386603850038,1165.3407754160808,1191.386603850038,26903
2015-02-23,1175.5489501953125,1197.1417387405013,1156.518673272007,1184.6649686258843,28442
2015-02-24,1178.3212890625,1184.5807494439625,1163.6600535997013,1171.2217434786885,15349
2015-02-25,1177.1031494140625,1182.1442763922812,1167.020895457625,1181.220090292006,9928
2015-02-26,1177.8172607421875,1182.1442484753727,1163.660116658416,1172.9021825668945,25669
2015-02-27,1185.9251708984375,1195.12518699113,1168.1972274675443,1182.1022750896593,15654
2015-03-02,1192.7308349609375,1199.1582935153026,1172.2302277526005,1193.5290750785175,26828
2015-03-03,1225.4981689453125,1230.8753925377428,1177.3134087327728,1193.9491717864144,13700
2015-03-04,1219.952880859375,1226.6743843351842,1210.458716174993,1222.4734446628036,6992
2015-03-05,1218.2303466796875,1238.1848083562843,1215.7097830994858,1219.1546353753572,43277
