Price,Close,High,Low,Open,Volume
Ticker,SUPRAJIT.NS,SUPRAJIT.NS,SUPRAJIT.NS,SUPRAJIT.NS,SUPRAJIT.NS
Date,,,,,
2015-01-01,129.6377716064453,131.21475776821902,127.08676000059397,127.08676000059397,42403
2015-01-02,128.01443481445312,130.7973573104195,126.25192289554474,129.4522809349709,64019
2015-01-05,126.02001190185547,129.82333079649163,125.23151153771072,127.08679319012124,54970
2015-01-06,122.72689056396484,126.11277409503121,121.7064799398393,125.23151809492812,64094
2015-01-07,120.26863098144531,122.49497752241109,118.7844141088109,121.24265670845058,44175
2015-01-08,122.72689056396484,125.04599275090796,120.26863375299928,120.26863375299928,48290
2015-01-09,125.69537353515625,128.4782969344586,123.05159064394687,123.37627070240428,73124
2015-01-12,120.59333038330078,126.76213739103673,119.38739424853209,126.76213739103673,65499
2015-01-13,120.03671264648438,123.32984028417874,119.619277121633,119.66566199209986,35789
2015-01-14,117.3929443359375,118.64525798196152,115.12022016312442,117.85676472908251,98553
2015-01-15,119.9903564453125,125.27790676061306,116.97551643371673,119.66567646744481,54253
2015-01-16,123.51535034179688,129.86969463397125,117.021872687435,121.19624865190453,148111
2015-01-19,132.83811950683594,134.0440550126242,123.74723958854037,126.11272574322676,252651
2015-01-20,138.63592529296875,139.60995103812348,132.83816985118622,132.83816985118622,218775
2015-01-21,147.54129028320312,158.62659638062107,134.41516285012915,139.79548298520257,625938
2015-01-22,144.20176696777344,150.5097275641073,141.92904972146943,148.4225356564386,145301
2015-01-23,139.28530883789062,147.5877082054102,137.89384715457632,144.71201506468853,195757
2015-01-27,143.92349243164062,146.19622415711754,139.14614704496793,143.5988265813425,94251
2015-01-28,145.96434020996094,148.3761987004702,141.04783929764656,143.92351836187078,134840
2015-01-29,144.10902404785156,148.42254870780113,142.94947288607187,148.42254870780113,78752
2015-01-30,143.36688232421875,145.63959935584316,140.72310049569822,145.63959935584316,74035
2015-02-02,143.92349243164062,144.9439031718416,141.32610901054366,141.9290699858673,113825
2015-02-03,137.2444305419922,147.40209276975006,136.45594448686091,147.40209276975006,159758
2015-02-04,129.4058837890625,141.00139308915772,126.7157312933102,137.4763554309939,99334
2015-02-05,128.01443481445312,134.32239530291207,126.71574331153913,129.86971647843072,110095
2015-02-06,124.86048126220703,132.6526598131354,124.11836564910004,132.6526598131354,64030
2015-02-09,121.47454833984375,128.94205889834453,115.95508893736019,128.94205889834453,96668
2015-02-10,121.10350036621094,123.19069201274002,118.32057817083883,120.5932951327912,60063
2015-02-11,122.40218353271484,125.04596510315864,119.66564638810752,119.66564638810752,46199
2015-02-12,122.68147277832031,124.45001636021225,121.51795352625567,121.51795352625567,34699
2015-02-13,122.49530029296875,124.77579495841518,120.12171841541658,120.12171841541658,41807
2015-02-16,126.77705383300781,128.685228231494,120.16827305691265,122.49531154211147,70267
2015-02-18,127.14936065673828,132.64116459742155,124.26382788600546,132.64116459742155,143232
2015-02-19,126.26504516601562,130.2210087937403,125.84618126958429,129.19712084725361,39510
2015-02-20,125.70661163330078,126.59088334545864,123.79843738930882,126.59088334545864,29834
2015-02-23,123.65882110595703,126.12547602595683,122.49530195442607,125.66006836534444,21051
2015-02-24,126.31163024902344,128.4059646222858,124.07767926545583,128.4059646222858,29418
2015-02-25,128.17327880859375,130.22106986505318,125.70662365926334,127.4286236417587,99256
2015-02-26,125.1015625,129.75563869721896,124.4965382756069,127.52168780379921,36056
2015-02-27,126.31163024902344,127.42860574080724,123.05377677950419,126.59087767274788,26742
2015-03-02,125.93934631347656,126.59091435556542,122.86765216863702,125.52048215807073,17207
2015-03-03,125.70661163330078,127.47515505761649,124.63616549490791,126.59088334545864,21336
2015-03-04,124.31038665771484,131.84998209629882,122.16950861844494,125.70660961335422,76947
2015-03-05,127.10282897949219,129.383323568677,123.79843190384203,123.84497550833845,91555
2015-03-09,127.56819915771484,129.15058182412722,126.59084056274813,129.15058182412722,20609
2015-03-10,126.26504516601562,127.56819464760228,124.26379865911628,127.52165105841895,37932
2015-03-11,126.87013244628906,128.26635544268305,124.72925434452867,126.12547734092266,14483
2015-03-12,126.59087371826172,127.52168896619011,126.12546609429752,127.52168896619011,40501
2015-03-13,125.79966735839844,128.4059527333236,124.82232277052506,127.52168114266489,56357
2015-03-16,123.65882110595703,127.42861179442565,122.40221474105773,124.86886966105753,57660
2015-03-17,122.5883560180664,125.6135053444957,121.19213325202212,124.72923376662348,24888
2015-03-18,120.58709716796875,125.61349294845857,119.09778734991419,125.61349294845857,56282
2015-03-19,121.42483520507812,122.77451435116527,120.07515605899098,121.93678638548697,15835
2015-03-20,116.16576385498047,120.8198408186967,114.49029330741948,120.07518566387895,31363
2015-03-23,113.88524627685547,117.0965632027281,108.71922581593202,117.0965632027281,113682
2015-03-24,110.30160522460938,113.37329833730976,107.974567139702,113.37329833730976,66473
2015-03-25,107.78841400146484,111.69783539983626,107.04375892484309,111.69783539983626,42811
2015-03-26,108.8588638305664,110.30163061595539,107.0437765471297,107.0437765471297,36734
2015-03-27,113.09405517578125,114.49027807918596,110.25506576490224,111.69783227237654,16785
2015-03-30,118.91168212890625,120.8198567766864,114.02490067155394,114.07144428796177,20269
2015-03-31,120.81982421875,121.00598443109817,116.35190810682516,116.35190810682516,28061
2015-04-01,122.68147277832031,125.42737537256973,116.445005326319,125.42737537256973,99904
2015-04-06,118.86510467529297,124.72924359540094,118.21353684041732,124.72924359540094,23012
2015-04-07,116.25885009765625,121.0060074303827,115.6538186401927,120.26135223634165,32555
2015-04-08,115.42109680175781,120.95944497702577,113.79217003237817,115.886504450152,87080
2015-04-09,113.65254211425781,118.21353832014977,113.46638190240787,116.16574758357307,60700
2015-04-10,114.76953125,117.28272976140724,113.65254861038557,114.81606775484397,52922
2015-04-13,112.34941864013672,118.02739839787561,111.69785068509688,114.76954441956029,90006
2015-04-15,111.23242950439453,115.88650605269557,110.25507058862843,115.88650605269557,62005
2015-04-16,110.48778533935547,113.79218285595948,109.60351354837815,112.0701757831543,34651
2015-04-17,108.95195007324219,111.69785278013043,107.41610317720375,111.69785278013043,57873
2015-04-20,111.0927963256836,113.55945810650506,106.99720789169503,108.11419042908643,86504
2015-04-21,115.97957611083984,118.95818910451605,111.97707488715142,111.97707488715142,60680
2015-04-22,112.02362823486328,117.05003264759645,111.46514043379463,115.42110575190426,102908
2015-04-23,112.02362823486328,113.28022756265715,109.9292936546876,111.79092439262153,17627
2015-04-24,109.37079620361328,114.90914431968406,108.16073349009942,114.90914431968406,28289
2015-04-27,107.04379272460938,110.76705508024797,106.95071258603029,107.04379272460938,35369
2015-04-28,105.41483306884766,111.65129275856721,103.41357874700843,109.37079810675144,248936
2015-04-29,104.53056335449219,108.39344125412396,103.08779676679448,103.46012431538331,55033
2015-04-30,109.04502868652344,109.83622037911219,104.71673553093324,104.71673553093324,140103
2015-05-04,109.55694580078125,111.69782359361474,107.2299078092476,111.5116633949146,59910
