Price,Close,High,Low,Open,Volume
Ticker,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS,TIMKEN.NS
Date,,,,,
2015-01-01,493.6663818359375,506.54097264915475,474.86757396021085,479.71888472900537,613001
2015-01-02,491.3807067871094,498.6576451311572,488.1620445554313,494.36613345043804,225891
2015-01-05,483.497314453125,492.22030159447195,480.55852362888766,492.22030159447195,124871
2015-01-06,467.82391357421875,484.75678164172024,462.0396601007065,479.5323276966444,124768
2015-01-07,470.34283447265625,474.86761012584327,459.9405339725751,469.2699565683677,98746
2015-01-08,473.8880615234375,481.39823579023613,472.25541246794734,473.51486181955624,95093
2015-01-09,473.9346923828125,481.1183595416378,471.182501186228,478.5527681950773,114334
2015-01-12,478.13287353515625,481.25820710233074,469.5964581701705,474.4011047661014,133340
2015-01-13,474.4010925292969,480.9316877066914,470.80925948750286,480.46521662259175,80236
2015-01-14,477.47979736328125,480.18535246801343,470.20285973207257,474.867570642113,62352
2015-01-15,475.61395263671875,486.99585959423473,473.04836142238133,480.46526377592124,143079
2015-01-16,475.00750732421875,480.55849623674436,473.514794135482,476.4535847922064,47873
2015-01-19,474.9142761230469,484.1970635860328,472.5352845979299,478.31953836448497,84788
2015-01-20,472.5352478027344,480.2320213355529,470.2961921055966,475.80054566514224,38920
2015-01-21,480.1854248046875,490.7276616610408,473.2349931132376,475.52071319193993,288141
2015-01-22,481.3049621582031,490.1679141336291,477.38659305429564,481.3982336126114,142969
2015-01-23,477.3865051269531,489.70135278147734,475.00748558378143,482.3777228063693,124747
2015-01-27,480.3719787597656,484.197019139837,473.46818345562093,481.9579350027428,128975
2015-01-28,496.6517639160156,507.1940564682943,479.9987682042077,480.4652393103342,454700
2015-01-29,505.4214782714844,511.9054384813276,492.1736865573157,494.45940652309497,255693
2015-01-30,500.8500061035156,509.89955699116035,491.66054804877353,507.52056572776627,69454
2015-02-02,511.9986877441406,514.9841142878877,496.3719052906585,499.1240962753984,150997
2015-02-03,507.3340759277344,516.7568285224801,502.85596370619214,514.9842151499407,110696
2015-02-04,504.76837158203125,528.7916335014288,500.1502962517895,523.3805800692037,401118
2015-02-05,494.5060119628906,506.9141320914113,491.66054958241494,503.7887984335941,70214
2015-02-06,479.81219482421875,499.5439464780458,477.19996787435895,494.4593997525127,58122
2015-02-09,472.8617858886719,480.9317306702891,467.8705391486905,475.47401280453636,69241
2015-02-10,474.86761474609375,484.10376598270267,466.4711343281864,474.58774345395227,60572
2015-02-11,472.2553405761719,478.2728289959592,469.82968522590346,471.2290984890042,56150
2015-02-12,477.1999816894531,480.2786798602842,474.7276903133446,475.7072683301165,39407
2015-02-13,491.3807067871094,497.5847387398387,472.0687903393181,481.39821307329674,141127
2015-02-16,525.8062133789062,531.7770663747607,487.4623108435306,494.4593775063564,368370
2015-02-18,514.7508544921875,530.4709076521945,509.666308156778,528.465116104539,124079
2015-02-19,506.77423095703125,517.3164667724145,498.79758627532544,516.1969247074458,70417
2015-02-20,513.63134765625,536.4417972040786,498.6110001114463,506.4943735631615,332622
2015-02-23,513.677978515625,530.8441386404878,509.71297396514683,519.6488316744319,113486
2015-02-24,502.995849609375,520.8616599841953,500.2902942389109,514.0511927750861,84952
2015-02-25,504.3484802246094,514.0511009134951,495.39225877507425,506.21436443845147,70163
