Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2015-01-01,2497.06005859375,2512.4409191035775,2486.462161658963,2512.4409191035775,54097
2015-01-02,2571.713623046875,2581.467304379894,2501.5145023096356,2503.6246935666218,228660
2015-01-05,2576.96533203125,2602.9440834005313,2556.6137569428406,2577.2467366393716,181680
2015-01-06,2504.656005859375,2568.8057175125045,2486.273806909693,2567.5864503117987,292468
2015-01-07,2494.761474609375,2525.617062804701,2449.9315961815655,2508.7824747959376,120023
2015-01-08,2557.9736328125,2562.522358597889,2494.99624268021,2508.7827788859913,249884
2015-01-09,2559.755859375,2588.5012618724872,2542.54598584649,2588.5012618724872,334880
2015-01-12,2532.510498046875,2565.054285416958,2522.8504671925475,2558.207842444258,148064
2015-01-13,2643.365966796875,2674.080969604254,2546.3441182268793,2565.0544329215727,517233
2015-01-14,2728.10205078125,2737.433739003698,2653.21362138208,2653.21362138208,537834
2015-01-15,2891.477783203125,2909.531641053346,2718.3012898705842,2738.5592167608092,699207
2015-01-16,2879.33251953125,2944.842095217584,2856.4954699871887,2907.562050915855,369250
2015-01-19,2896.589111328125,2944.8421041540328,2875.9561307714735,2906.436670230163,147140
2015-01-20,2904.044921875,2933.587597029314,2893.353378645403,2907.3743802658337,303336
2015-01-21,2864.98291015625,2922.2861815119213,2852.321764199431,2915.8150207221424,295819
2015-01-22,2928.42919921875,2948.8746508772197,2868.921859595584,2871.735447558574,368715
2015-01-23,2952.2978515625,2987.796045742302,2935.510201105989,2971.148983100247,414381
2015-01-27,2927.4912109375,3001.0664872182933,2912.4854091121606,3001.0664872182933,426957
2015-01-28,2944.654296875,2991.7349567750484,2930.820822592364,2935.5101359085115,241081
2015-01-29,2966.22509765625,2977.7139151240513,2919.660308650412,2940.1994091067404,353459
2015-01-30,2945.217041015625,2987.0925164158493,2904.560603874375,2965.8500191509934,170802
2015-02-02,2895.229248046875,2972.227642436054,2850.1648971173922,2954.0801356066368,258417
2015-02-03,2914.455322265625,2989.9063318019957,2869.8599044272605,2879.2385315659117,407784
2015-02-04,2904.46728515625,2932.1342384366144,2877.4570190283625,2931.196375613551,220090
2015-02-05,2873.705810546875,2916.659748296185,2852.041085915411,2916.659748296185,130329
2015-02-06,2821.41943359375,2860.4813246853123,2808.898874568036,2841.7240700972116,129840
2015-02-09,2778.65283203125,2804.209591687938,2758.2543174428847,2777.058511167848,127620
2015-02-10,2781.888671875,2837.9259757927152,2758.348452297674,2767.7270805684216,187835
2015-02-11,2821.091064453125,2832.298478173746,2790.1415946635793,2790.1415946635793,170700
2015-02-12,2846.507568359375,2902.685460316592,2814.0574228368127,2820.153531234893,187078
2015-02-13,2919.09814453125,2949.344221691453,2877.363247364458,2880.270713811438,193738
2015-02-16,2887.491455078125,2954.2672272459286,2879.378806103628,2928.9449367266775,177606
2015-02-18,2916.75341796875,2933.1660175875454,2890.493258578678,2890.7746632233693,202114
2015-02-19,2872.01708984375,2934.478610409366,2821.184975566153,2919.1916310549004,165743
2015-02-20,2826.811767578125,2930.9145166690273,2818.8866453944647,2925.193463193905,201227
2015-02-23,2793.04931640625,2853.916520976943,2785.4525360833127,2839.848578875512,200058
2015-02-24,2802.896728515625,2821.2787011794867,2780.7630758515475,2795.7688799708135,118101
2015-02-25,2853.77587890625,2869.860134148363,2806.2729912643276,2809.0865796311396,284765
2015-02-26,2792.43896484375,2874.54888162855,2768.992399740744,2854.853766942025,218727
2015-02-27,2931.571533203125,2941.7941459507356,2807.961172596672,2814.526212078361,251642
2015-03-02,3160.409912109375,3169.0382035371194,2949.5783220255225,2962.708400406558,446753
2015-03-03,3152.016357421875,3165.287024767177,3104.3259413272167,3165.287024767177,247539
2015-03-04,3104.60693359375,3186.857446377455,3087.9129317827455,3159.6594281476296,278837
2015-03-05,2991.3603515625,3123.0831365580825,2956.471901056294,3109.0151945015145,490549
2015-03-09,2875.627685546875,2991.7820749346083,2863.4354701944767,2981.4655850210406,318482
2015-03-10,2829.719482421875,2915.7214519855447,2819.2154652714976,2879.238682096972,539122
2015-03-11,2801.490234375,2855.4640586699143,2790.1420022064276,2829.7197690150692,309685
2015-03-12,2822.357177734375,2841.677011766109,2808.101481670095,2811.7123446147416,483570
2015-03-13,2763.787353515625,2851.1024578762344,2752.204887162727,2851.1024578762344,254015
2015-03-16,2732.369140625,2790.141575421891,2710.4232446955516,2785.4522618497535,214421
2015-03-17,2746.436767578125,2780.575103865428,2711.4546755027754,2763.881103661726,290837
2015-03-18,2753.28369140625,2782.0760326857976,2728.664793664141,2766.6951748274605,292204
2015-03-19,2713.236572265625,2807.304239282734,2695.4171824028367,2770.4461923514195,354477
2015-03-20,2677.64501953125,2710.4232759848082,2659.403635319133,2708.5475505342997,284773
2015-03-23,2653.21337890625,2699.684517992938,2649.4619283881784,2682.287120421306,213023
2015-03-24,2627.42236328125,2669.1572535778823,2617.2464613623433,2660.7164892482265,389917
2015-03-25,2594.128662109375,2653.870480298069,2579.122856399415,2643.835393523618,389212
2015-03-26,2622.07666015625,2650.915939035868,2564.7731558999735,2579.122501429277,433234
2015-03-27,2627.751220703125,2640.6468353953214,2592.1591409763178,2635.488589518443,267173
2015-03-30,2761.114501953125,2773.822586293064,2635.4409104294373,2647.5861856072424,340546
2015-03-31,2699.074951171875,2783.1075400084733,2677.597987101665,2783.1075400084733,465222
2015-04-01,2704.514404296875,2728.5237790706265,2679.801861525162,2709.4381830751727,371347
2015-04-06,2712.81494140625,2728.8991959693235,2691.6660906144853,2718.864110345433,137119
2015-04-07,2749.673095703125,2762.0058997283504,2699.544146706603,2719.8020744353876,283978
2015-04-08,2800.88037109375,2834.6903715258836,2756.19129933925,2780.481854772596,270787
2015-04-09,2779.7783203125,2816.4019073931954,2762.0058665577626,2813.5883190741215,192790
2015-04-10,2784.5615234375,2817.292842761837,2762.0058778598773,2803.1779621759765,118815
2015-04-13,2814.947998046875,2840.6922837603797,2768.899076156893,2785.452261476163,238104
2015-04-15,2800.92724609375,2841.6303999368497,2780.763195937709,2836.9410859470727,585767
2015-04-16,2715.159912109375,2817.1994368261394,2682.850582454137,2800.9274246560904,301285
2015-04-17,2634.59716796875,2705.7341522601837,2623.4366923430844,2702.9205638869494,505583
2015-04-20,2605.523193359375,2650.2124888244143,2577.715655626329,2634.596937337696,496778
2015-04-21,2580.24755859375,2641.9589639286482,2562.9440392886095,2616.355268963382,127347
2015-04-22,2619.2626953125,2634.4560235237986,2580.9978557271247,2591.3143442492897,361828
2015-04-23,2558.77099609375,2672.9088473973025,2543.0148560413286,2630.7050234910294,220291
2015-04-24,2538.74755859375,2573.8704732475258,2522.850830566971,2558.958546915235,361319
2015-04-27,2490.30712890625,2596.9420830556223,2474.1289956694463,2538.7945896827628,585545
