Price,Close,High,Low,Open,Volume
Ticker,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS
Date,,,,,
2015-01-01,637.0996704101562,645.9699741870523,629.9839727500864,637.4895961015193,56223
2015-01-02,648.7966918945312,652.1108816077483,633.5905426682158,641.38858011644,123750
2015-01-05,663.2230834960938,686.227269294025,646.262328894799,652.8906485743469,280232
2015-01-06,641.1449584960938,674.4328581321176,636.0274958855206,659.8602622279092,127788
2015-01-07,627.5958251953125,646.5548170785099,618.9692694114746,641.3886287759846,63251
2015-01-08,638.025634765625,645.2875686989371,631.6410038019807,632.7619954305227,48968
2015-01-09,655.4251098632812,662.7844962389512,643.7767788411546,644.215430372273,84314
2015-01-12,661.12744140625,666.732281491891,642.6558260947104,656.8872818348375,60593
2015-01-13,645.9212036132812,669.5590042780776,633.8829477843184,657.8619482790031,77211
2015-01-14,646.94482421875,656.9847875600477,635.6376319410081,642.6558789592071,33259
2015-01-15,647.5294799804688,659.4214982031702,642.3632924107748,653.3292818487433,34703
2015-01-16,646.457275390625,655.0351041412334,643.4355003743456,643.4355003743456,41977
2015-01-19,660.2988891601562,680.2813614659282,646.2623970110615,646.2623970110615,413678
2015-01-20,702.5057983398438,714.3978188339329,659.0316984344768,662.8332659634624,898092
2015-01-21,698.3143310546875,721.2210678226086,691.101122061959,708.1593302933896,330924
2015-01-22,706.94091796875,715.5674741421022,699.87394567606,704.552756812358,292608
2015-01-23,703.3343505859375,714.154165124715,692.0759439598203,711.3760781037804,118468
2015-01-27,693.5379638671875,706.5997005472992,674.9201730340404,702.7981334479862,114150
2015-01-28,707.2332763671875,715.4699656636757,679.0629006091664,692.0758523449723,149369
2015-01-29,699.4840087890625,706.6972179841421,683.4005548625269,704.9913971131459,75565
2015-01-30,657.0821533203125,732.0408174093532,639.5365678164931,705.5762021433688,594480
2015-02-02,693.0507202148438,701.4335883915865,649.2842022713415,658.9342993885153,294684
2015-02-03,692.1246337890625,704.5527574881274,684.6677952662104,695.9749271476351,135375
2015-02-04,687.4944458007812,708.5491820309121,683.4004643537306,692.0758045749974,95973
2015-02-05,671.9960327148438,693.343128720147,662.9307648076283,686.2274300517125,64005
2015-02-06,656.88720703125,677.2108184470895,638.4643196586451,672.5807336862063,109578
2015-02-09,643.77685546875,654.8890251120001,638.4644296135605,654.3529218409586,45190
2015-02-10,643.3869018554688,670.3388962089201,633.6393537340487,638.4644019530141,92514
2015-02-11,642.8507690429688,654.352863398401,638.9517499737165,646.2624107285645,73264
2015-02-12,653.1343383789062,656.9846311278483,645.7749527035601,650.1613486087164,163982
2015-02-13,681.4022827148438,696.9496325710596,653.1343955196539,656.0099338745778,206448
2015-02-16,676.2361450195312,689.7364752521064,670.2413791794712,681.3536077385979,41796
2015-02-18,680.7687377929688,691.1011142935696,671.4597823815792,682.3283215874453,56835
2015-02-19,677.795654296875,692.0758343958638,672.5807404692198,684.2777968252062,192238
2015-02-20,670.2413330078125,683.8878993185709,664.9289672894276,675.5050323825424,41806
2015-02-23,671.2161254882812,682.1333910496518,667.170928800992,668.6817868286377,33168
2015-02-24,673.4579467773438,688.469131248498,668.6816256535285,673.5553984352597,102335
2015-02-25,662.7845458984375,680.281406661617,659.5678669197374,675.5050842881175,103376
2015-02-26,650.3563232421875,664.831406194239,641.8759457727529,662.8331710333667,240392
2015-02-27,659.6165161132812,665.7574588125448,648.2118742464747,648.2118742464747,33716
2015-03-02,660.4937744140625,674.1891258242592,651.5260785863254,667.7069831391276,46753
2015-03-03,659.6165161132812,669.3640630944312,657.5694955506566,662.7357430461103,93631
2015-03-04,654.4990234375,668.681691735061,647.6270150350017,659.9088998609859,58107
2015-03-05,670.5338134765625,696.949643291714,648.845520381121,656.9359728729185,159179
2015-03-09,663.466796875,668.5842589460434,654.30407908341,668.5842589460434,73780
2015-03-10,672.3857421875,686.1785442112603,660.883649275953,665.7574225007019,98734
2015-03-11,686.6173095703125,706.6972347886515,666.732287717845,669.7540038205958,314377
2015-03-12,691.7346801757812,706.6971406666572,687.2994988009818,696.754631064624,77781
2015-03-13,687.2020874023438,710.5474751782068,678.1368802758977,695.7799171618377,161411
2015-03-16,687.786865234375,696.6084425148238,680.0863391064762,690.1263002192802,36354
2015-03-17,717.8093872070312,739.8388197007952,689.5902266515983,690.1263298394769,458112
2015-03-18,746.0773315429688,760.3087275167113,719.369026804273,719.369026804273,445206
2015-03-19,726.8258666992188,752.5106292764103,723.2679882423529,749.4889135006133,77930
2015-03-20,726.240966796875,733.0155237624232,688.176808213126,729.0190533481424,253191
2015-03-23,710.0114135742188,735.9398672175361,706.4535347892837,735.9398672175361,45928
2015-03-24,712.4482421875,716.152298191062,696.9008926455728,707.6231944683768,54341
2015-03-25,706.6972045898438,729.8963560968277,700.3612986176589,710.4987719708784,60732
2015-03-26,714.1539306640625,728.9701519342082,701.4333364439001,705.6735543487192,74582
2015-03-27,718.9791870117188,727.5082923460228,703.7730344420008,716.4448480815382,63725
2015-03-30,722.9755859375,742.7630948057741,717.8093978331191,728.8241142430572,68567
2015-03-31,716.8833618164062,733.3566806831601,710.1088046977111,725.3149543430694,106231
2015-04-01,709.377685546875,721.2209781586039,705.576118673053,710.1087515230483,72033
2015-04-06,723.657958984375,728.1418070910945,710.1088439971384,714.0565888837101,37527
2015-04-07,762.7942504882812,787.6017685883467,724.1939895878608,731.0659980708663,317159
2015-04-08,762.453125,789.6000191259125,758.3591434322248,771.713294489211,186097
2015-04-09,773.5653686523438,778.8290682555497,762.2582370160699,768.1067656888275,62044
2015-04-10,772.5906372070312,784.677620626834,764.1103179708617,777.8543369692094,100518
2015-04-13,763.6229248046875,778.7803498609674,755.4349607868221,776.8795661252867,51358
2015-04-15,744.5662841796875,764.2076133459285,737.8892389067192,763.6227843783327,62697
2015-04-16,727.6544189453125,751.4871844184714,717.4194940974548,745.6873817724904,120407
2015-04-17,713.9103393554688,726.1922243180255,702.7981123936864,726.1922243180255,86793
2015-04-20,695.8285522460938,717.4681164152804,677.4544517061714,716.7857762916803,98454
2015-04-21,701.1411743164062,709.6215536837428,681.3536621221651,694.8539934322955,73419
2015-04-22,700.6536865234375,707.6719324632568,685.7399510852633,702.7981588237027,53564
2015-04-23,697.43701171875,706.1123526433729,691.1985576275259,702.8956144278404,38518
2015-04-24,696.3648071289062,706.5997318559183,685.3988163499647,706.5997318559183,34988
2015-04-27,682.9131469726562,696.9496390248662,677.4545442269679,696.9496390248662,109519
2015-04-28,679.8914794921875,687.202140561996,672.2396780368462,680.4275827384444,65707
2015-04-29,693.099365234375,715.4212731982631,669.3641104536664,679.550309668529,52889
2015-04-30,682.6207275390625,689.8826621979019,671.8496996395675,689.8826621979019,42319
2015-05-04,693.3917236328125,711.570922364926,687.2020551606478,696.4134988627259,79099
2015-05-05,687.4944458007812,704.7476150813002,683.4004643537306,699.4351903163358,19718
2015-05-06,678.6729736328125,695.9261440714237,665.1726445618609,687.4944919477781,40074
2015-05-07,666.001220703125,688.2256183644987,653.1344453746524,682.3283636914563,35976
2015-05-08,656.5947875976562,681.5485453425224,652.7932797009493,677.6982521119922,28776
2015-05-11,661.3711547851562,672.2396949806039,646.2624548600717,672.2396949806039,45388
2015-05-12,653.572998046875,668.6329694085606,651.3310742328231,651.3310742328231,53653
2015-05-13,653.23193359375,670.6312824586524,648.2119227252964,653.0856965803738,69289
2015-05-14,660.0552368164062,662.6870271817492,639.9752522337751,649.1866969954101,38091
2015-05-15,672.8244018554688,688.1280618660727,660.0551396491237,664.2465727744986,58961
2015-05-18,695.3411865234375,698.947790527419,677.4544629890021,677.5031888212923,83346
2015-05-19,700.458740234375,707.769400866494,695.3412777918917,701.2385916305813,47851
2015-05-20,717.5656127929688,730.9684883600198,707.6718299402988,707.6718299402988,129181
2015-05-21,734.86767578125,762.160810488159,728.141843787894,761.2835073605692,446737
2015-05-22,718.9791870117188,735.9399459885188,713.5693092413951,735.9399459885188,65835
2015-05-25,707.5257568359375,723.2193450133432,701.7747391389331,716.3960613260309,33020
2015-05-26,710.6936645507812,716.444741374504,706.9408825603525,711.6196934623039,25618
2015-05-27,746.1747436523438,750.5611399246305,705.7711483120851,711.5709508376368,153861
2015-05-28,733.941650390625,748.6116984682563,726.7771667985405,748.3192839224047,35475
