ticker,Active_Trading_Days,First_Active_Date,Last_Active_Date
360ONE.NS,1707,2019-09-19,2026-08-07
AARTIIND.NS,2867,2015-01-01,2026-08-07
ABB.NS,2867,2015-01-01,2026-08-07
ABBOTINDIA.NS,2867,2015-01-01,2026-08-07
ABCAPITAL.NS,2210,2017-09-01,2026-08-07
ABFRL.NS,2867,2015-01-01,2026-08-07
ACC.NS,2867,2015-01-01,2026-08-07
ADANIENT.NS,2867,2015-01-01,2026-08-07
ADANIGREEN.NS,2013,2018-06-18,2026-08-07
ADANIPORTS.NS,2867,2015-01-01,2026-08-07
ADANIPOWER.NS,2867,2015-01-01,2026-08-07
AFFLE.NS,1733,2019-08-08,2026-08-07
AIAENG.NS,2867,2015-01-01,2026-08-07
AJANTPHARM.NS,2867,2015-01-01,2026-08-07
ALKEM.NS,2627,2015-12-23,2026-08-07
ALKYLAMINE.NS,2867,2015-01-01,2026-08-07
AMBUJACEM.NS,2867,2015-01-01,2026-08-07
ANGELONE.NS,1449,2020-10-05,2026-08-07
APLAPOLLO.NS,2867,2015-01-01,2026-08-07
APOLLOHOSP.NS,2867,2015-01-01,2026-08-07
APOLLOTYRE.NS,2867,2015-01-01,2026-08-07
ARE&M.NS,2867,2015-01-01,2026-08-07
ASHOKLEY.NS,2867,2015-01-01,2026-08-07
ASTERDM.NS,2089,2018-02-26,2026-08-07
ASTRAL.NS,2867,2015-01-01,2026-08-07
ATUL.NS,2867,2015-01-01,2026-08-07
AUBANK.NS,2246,2017-07-11,2026-08-07
AUROPHARMA.NS,2867,2015-01-01,2026-08-07
AVANTIFEED.NS,2867,2015-01-01,2026-08-07
AXISBANK.NS,2867,2015-01-01,2026-08-07
BAJAJ-AUTO.NS,2867,2015-01-01,2026-08-07
BAJAJFINSV.NS,2867,2015-01-01,2026-08-07
BAJFINANCE.NS,2867,2015-01-01,2026-08-07
BALAMINES.NS,2867,2015-01-01,2026-08-07
BALKRISIND.NS,2867,2015-01-01,2026-08-07
BALRAMCHIN.NS,2867,2015-01-01,2026-08-07
BANDHANBNK.NS,2069,2018-03-27,2026-08-07
BANKBARODA.NS,2867,2015-01-01,2026-08-07
BATAINDIA.NS,2867,2015-01-01,2026-08-07
BECTORFOOD.NS,1392,2020-12-24,2026-08-07
BEML.NS,2867,2015-01-01,2026-08-07
BERGEPAINT.NS,2867,2015-01-01,2026-08-07
BHARATFORG.NS,2867,2015-01-01,2026-08-07
BHARTIARTL.NS,2867,2015-01-01,2026-08-07
BHEL.NS,2867,2015-01-01,2026-08-07
