ticker,status,start_date,end_date,rows
360ONE.NS,valid,2019-09-19,2026-08-07,1706
AARTIIND.NS,valid,2015-01-01,2026-08-07,2867
ABB.NS,valid,2015-01-01,2026-08-07,2867
ABBOTINDIA.NS,valid,2015-01-01,2026-08-07,2867
ABCAPITAL.NS,valid,2017-09-01,2026-08-07,2210
ABFRL.NS,valid,2015-01-01,2026-08-07,2867
ACC.NS,valid,2015-01-01,2026-08-07,2867
ADANIENT.NS,valid,2015-01-01,2026-08-07,2867
ADANIGREEN.NS,valid,2018-06-18,2026-08-07,2013
ADANIPORTS.NS,valid,2015-01-01,2026-08-07,2867
ADANIPOWER.NS,valid,2015-01-01,2026-08-07,2867
AFFLE.NS,valid,2019-08-08,2026-08-07,1733
AIAENG.NS,valid,2015-01-01,2026-08-07,2865
AJANTPHARM.NS,valid,2015-01-01,2026-08-07,2866
ALKEM.NS,valid,2015-12-23,2026-08-07,2626
ALKYLAMINE.NS,valid,2015-01-01,2026-08-07,2867
AMBUJACEM.NS,valid,2015-01-01,2026-08-07,2867
ANGELONE.NS,valid,2020-10-05,2026-08-07,1449
APLAPOLLO.NS,valid,2015-01-01,2026-08-07,2867
APOLLOHOSP.NS,valid,2015-01-01,2026-08-07,2867
APOLLOTYRE.NS,valid,2015-01-01,2026-08-07,2867
ARE&M.NS,valid,2015-01-01,2026-08-07,2867
ASHOKLEY.NS,valid,2015-01-01,2026-08-07,2867
ASTERDM.NS,valid,2018-02-26,2026-08-07,2089
ASTRAL.NS,valid,2015-01-01,2026-08-07,2867
ATUL.NS,valid,2015-01-01,2026-08-07,2867
AUBANK.NS,valid,2017-07-11,2026-08-07,2246
AUROPHARMA.NS,valid,2015-01-01,2026-08-07,2866
AVANTIFEED.NS,valid,2015-01-01,2026-08-07,2866
AXISBANK.NS,valid,2015-01-01,2026-08-07,2867
BAJAJ-AUTO.NS,valid,2015-01-01,2026-08-07,2867
BAJAJFINSV.NS,valid,2015-01-01,2026-08-07,2867
BAJFINANCE.NS,valid,2015-01-01,2026-08-07,2867
BALAMINES.NS,valid,2015-01-01,2026-08-07,2867
BALKRISIND.NS,valid,2015-01-01,2026-08-07,2866
BALRAMCHIN.NS,valid,2015-01-01,2026-08-07,2867
BANDHANBNK.NS,valid,2018-03-27,2026-08-07,2069
BANKBARODA.NS,valid,2015-01-01,2026-08-07,2867
BATAINDIA.NS,valid,2015-01-01,2026-08-07,2867
