,open,high,low,close,daily_return,log_return,cumulative_return,return_5d,return_20d,return_60d,return_252d,volatility_7d,volatility_14d,volatility_30d,volatility_60d,volatility_90d,volatility_252d,annualized_volatility,downside_deviation_30d,downside_deviation_60d,downside_deviation_252d,drawdown,rolling_max_drawdown_30d,rolling_max_drawdown_60d,rolling_max_drawdown_252d,sharpe_30d,sortino_30d,sharpe_60d,sortino_60d,sharpe_252d,sortino_252d,market_return,market_volatility_30d,market_volatility_60d,market_volatility_252d,beta_30d,beta_60d,beta_252d,sma_20,price_to_sma20,sma_50,price_to_sma50,sma_100,price_to_sma100,sma_200,price_to_sma200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,bollinger_middle,bollinger_upper,bollinger_lower,bollinger_width,bollinger_position,atr_14,volume_change,volume_sma_20,volume_ratio_20,volume_volatility,daily_range,high_low_ratio,open_close_change,close_open_ratio,upper_shadow,lower_shadow,body_size,momentum_5d,momentum_10d,momentum_20d,momentum_60d,sector_return,sector_volatility_30d,sector_relative_return,daily_return_percentile,volatility_percentile,momentum_percentile,volume_rank,target_1d_return,target_trend
open,1.0,0.9999244990380727,0.9999394952964037,0.9998737600779459,-0.0030124977532862613,-0.00201762695803737,0.053212458946848465,-0.0011031398414599728,-0.0006508921764063402,-0.0006645038162347697,-0.004869610418299065,-0.07003550645552918,-0.08306789149433609,-0.09764957228940727,-0.11125666208083866,-0.11909862279701439,-0.14115497695545207,-0.14115497691631615,-0.08893127170559545,-0.10457786554533748,-0.13647479320116906,0.0879642055019403,0.998355488078547,0.9964467216686856,0.985832299857315,0.005226116069645153,0.005991441030869043,0.008095942552123042,0.008330893347137937,0.021185613152080597,0.018390341201618466,-0.0006379713282844423,-0.00416277459348355,-0.005572962594753048,-0.008752955170003,-0.0851391968581827,-0.10412412540571431,-0.13139126668091278,0.9993146547604798,0.001956895991788462,0.9979972669581035,0.003992515849664591,0.9959528080352285,0.005256938920256266,0.9925454435756793,0.0055186498433036565,0.999754314679289,0.9993240398687565,0.007371518661692418,0.18265268772894427,0.19330662228689474,-3.11641637906343e-05,0.9993146547604798,0.9991484677132387,0.9987018145403987,-0.06329431627283276,0.004554914629042358,0.9492689895915994,-0.0008822872232481745,-0.054364533888398445,-0.0029083212754632474,-0.003435168167573441,-0.0677039542834806,-0.0643424956899226,0.0005622721723811385,0.0005622726364024798,0.6736291566246352,0.7168201035844503,0.7096919928888711,-0.001103140193771016,-0.0007505041843576361,-0.0006508919802814721,-0.0006645041814633915,-0.0013781147445462918,-0.05825298220986989,-0.0027067076307994704,0.0025607446141067145,-0.12100569406289936,0.005504111543574123,-0.23608024098558897,-0.0036508528763553034,-0.00014542507778617488
high,0.9999244990380727,1.0,0.999906798204971,0.999947847326697,-0.0010772823638611428,-0.00011509935664306885,0.05351959087028495,-0.0002265353868891235,-0.00015637184941958484,-0.00028189652224597315,-0.004565703091771446,-0.06927737820771067,-0.0824686064134461,-0.09718588791871269,-0.11088831746914135,-0.1187907382339688,-0.14095048242507305,-0.1409504823864437,-0.08872747452271662,-0.1043871388276172,-0.13638358741343637,0.08821553080788364,0.9982347346737988,0.9962988243156027,0.9856857413361326,0.005747304011947715,0.006546152299314972,0.008537239378412317,0.008790724674713514,0.02153357006927154,0.01875134850090821,-5.740542016185906e-05,-0.0037579562454429128,-0.005210992454502165,-0.008551604100673398,-0.08504886292337561,-0.10408032698281587,-0.13141998439739014,0.9992484459275041,0.00272709496987397,0.9979119916932213,0.004557677294281073,0.9958500476136154,0.005728052962770971,0.9924315018014603,0.005932253018434244,0.9997076272005602,0.9992589576857983,0.008022624886750372,0.18363754859897655,0.19385131153585305,0.0015808904385057596,0.9992484459275041,0.9991372006294622,0.9985747889613703,-0.06289842999237165,0.005627727358390948,0.9502620250282507,-0.0008832996495443614,-0.05449694317599593,-0.001584588780913074,-0.0034439882599654353,-0.06614236613207056,-0.06279524228667138,0.0028152118555776436,0.0028152123074572976,0.679048179335547,0.716590291711535,0.7139592896366629,-0.00022653573890438834,-0.00012001575855843645,-0.00015637165512038447,-0.00028189688597534323,-0.0003000644987699587,-0.057861645916416404,-0.0010994518383914721,0.004374218826376254,-0.12058324872161431,0.006209867487021207,-0.23624762039220093,-0.0036263048600084515,-0.00013351229331115216
low,0.9999394952964037,0.999906798204971,1.0,0.9999384864714146,-0.001377335714280989,-0.00035860786098256133,0.05292329654236569,-0.0003828694000420571,-0.00032709121048968634,-0.0006137910215353046,-0.005050526280934147,-0.0706336284895029,-0.08357297155941268,-0.09805955791533594,-0.11157755888726409,-0.1193768841502217,-0.14136817901742044,-0.14136817898045115,-0.08941863875777771,-0.10491723896640037,-0.13662942597704497,0.08800340769646227,0.9983581613197897,0.9964777348622333,0.9859139155883382,0.005565336659343634,0.0062756424431626556,0.008245571553687412,0.008450967556361615,0.02104221045789637,0.018229631764433905,0.00043646006364093937,-0.004527527346094086,-0.005854368855661095,-0.008934930591002404,-0.08525600779530605,-0.1041908472559349,-0.13137703519492064,0.9992563169480576,0.0025719912657684928,0.9979435107923535,0.0043217066924929525,0.9959251535181928,0.005397440209910731,0.9925541854329071,0.005495508004168929,0.9997129767531219,0.9992726327960226,0.007932958693918152,0.1831892773910253,0.1933014793740715,0.0018252988149184874,0.9992563169480576,0.9990445849590665,0.9986939821503003,-0.06365468960316681,0.0054811865739897115,0.9482353815535592,-0.0008804948961966857,-0.05424353014715996,-0.003320745203103879,-0.003427273724166602,-0.06902842133443869,-0.06558157351442222,0.002426555053195473,0.002426555526083329,0.6744444477548632,0.7127610030622452,0.7062949098111408,-0.00038286975231008997,-0.0002637799121298287,-0.000327091014355592,-0.0006137913826815608,-8.348100648257614e-05,-0.05860660023153899,-0.0016130881836916842,0.004043893462975229,-0.12136856539770595,0.005645619826434633,-0.23571029908801017,-0.0036336353017010145,-0.00016005557651475308
close,0.9998737600779459,0.999947847326697,0.9999384864714146,1.0,0.0002527675043843831,0.0012393902321900527,0.0532416967961066,0.000306983774048037,3.4174097147887155e-05,-0.0003196430163693803,-0.004776970062842719,-0.06991643389043185,-0.08302400631950481,-0.09765255296981287,-0.11127769100847341,-0.11913914405545178,-0.14122498244323214,-0.1412249824064385,-0.08919109020461922,-0.10473673920969621,-0.13657081832692328,0.08823657184879762,0.9982600115653677,0.9963560471701541,0.9858019667106539,0.005946169583222408,0.0066921325102986045,0.008573462372949151,0.008798110533520307,0.021352613849226907,0.018550075102572026,0.0008188717108552005,-0.004121570577921485,-0.005518665188072666,-0.008758162375883397,-0.08518768036140266,-0.10417499179430545,-0.13144103710022748,0.9992100910686933,0.0031558801449433297,0.9978874926075826,0.0047430387558268765,0.995857043953772,0.00575728605033956,0.9924741684926104,0.005833465435588756,0.9996775101296863,0.9992273368598386,0.008421799162360008,0.1837138655271802,0.19351129129429467,0.0029441836273819263,0.9992100910686933,0.999049681545843,0.9985909333678171,-0.0633011179363918,0.006317484272736932,0.9492256959653438,-0.0008816368292392254,-0.05437250109825358,-0.002226343559207334,-0.0034359616539242836,-0.0675191317385037,-0.06406445629764652,0.004263089398616369,0.004263089876539842,0.6757439403931539,0.7160773836603259,0.7105394499641123,0.00030698342021391123,0.00021243247757496214,3.4174290106535896e-05,-0.0003196433768485709,0.0007211656111945422,-0.058253135326119,-0.00018792992887563755,0.00563166347420197,-0.12101391385549179,0.006259927651125679,-0.23591528794624395,-0.0036026307445977557,-0.00014964552209029256
daily_return,-0.0030124977532862613,-0.0010772823638611428,-0.001377335714280989,0.0002527675043843831,1.0,0.9978912744875239,0.010142124949292375,0.4478495790789924,0.2227267838544613,0.12794108765815598,0.057986389871649335,0.06558423490754983,0.047279827168140116,0.03297313095044279,0.03081093442352586,0.026074215816563582,0.020158348795826862,0.02015834895709408,-0.06105879591837383,-0.02597495842957596,0.0007377245283498261,0.07137494458586174,-0.0031872040830571587,-0.003409680721752589,-0.003908517312204735,0.17921694554650575,0.17466713513909396,0.13023607267203474,0.12970366141748813,0.06722504792865347,0.06653769017814692,0.46428360887539727,0.00461906952163254,0.015594479997005159,0.021777868924599098,0.004586245613245782,0.0032047846312142224,0.003133512954928937,-0.003353144668445874,0.38252734019950746,-0.003465728169429982,0.2434009522072598,-0.0035879067052184575,0.17359351399490394,-0.003689977915361012,0.12512661932876945,-0.002991580327002924,-0.00328441616647658,0.2553333742132861,0.015319450396002637,0.002511999801360181,0.04438706923251327,-0.003353144668445874,-0.0032915703289246733,-0.0034186882834195188,0.020543843678067296,0.42197507347750896,-0.002146942748439714,0.0018592486978694393,0.006844433790212315,0.2425296268470105,-0.0013797253916086694,0.05159932826552423,0.07652052594197549,0.8822846657822849,0.8822846652649585,0.027634225251666665,-0.011403568039471132,0.00880540664789714,0.44784957922802104,0.31366827178036266,0.22272678335005638,0.127941087598192,0.5676192845081345,0.017450716941197274,0.8232911681653189,0.7619280081826363,0.027909975741160536,0.18149366861123464,0.07123436090878568,0.02342320941517892,-0.002144767264212078
log_return,-0.00201762695803737,-0.00011509935664306885,-0.00035860786098256133,0.0012393902321900527,0.9978912744875239,1.0,0.009977734398549532,0.44683035866451176,0.2228543275276681,0.1274517226065744,0.05687530714063264,0.04568264646409607,0.031148382947262587,0.020213851470384552,0.020416523295729655,0.01711826837373054,0.0129232296011171,0.012923229768663584,-0.07254534149403478,-0.035604452374049335,-0.006170091717094112,0.07495644378435046,-0.00216339160621594,-0.0023785931926702565,-0.0028422278210707553,0.17969742007643344,0.1735485949822522,0.13061643804284023,0.1290425515301787,0.06737116585261037,0.06625527715358207,0.46877840591524234,-0.00028444120184001955,0.011630915383889905,0.01956670141270511,-0.000832221159992196,-0.0017594119944159454,-0.0012890265122168076,-0.0023813164592594825,0.3827626328393351,-0.002498110905771345,0.24380375972477852,-0.0026140070203588754,0.17381979565474154,-0.0027017701518658277,0.1248979800493376,-0.0020115500898729827,-0.002308164348173352,0.25569083506970475,0.015679569854062887,0.0028273438676175797,0.04460012978360933,-0.0023813164592594825,-0.0023650807210154993,-0.002397404832259151,0.01074597377156696,0.4216498181908068,-0.0018693655911881369,0.0016653331487789145,0.0038644664614329405,0.22764102315773171,-0.001733816150484607,0.02677218406664657,0.04995101353937739,0.878135897379186,0.8781358967972974,0.02784907022204653,-0.011011991835527146,0.0062815886057548155,0.44683035878404814,0.31352789826145433,0.22285432707730451,0.12745172253064557,0.5702309200516508,0.010885487988372052,0.818929235986433,0.7605942784295256,0.0203018243600298,0.18008890965211521,0.06684037939791578,0.02318302494383408,-0.002411404582293159
cumulative_return,0.053212458946848465,0.05351959087028495,0.05292329654236569,0.0532416967961066,0.010142124949292375,0.009977734398549532,1.0,0.022902130136971757,0.04642304063448537,0.08443379766704469,0.18915814608964698,0.02146740517449583,0.027552050775362404,0.03362775126414643,0.04132457066126903,0.04768534182010757,0.06850976259885287,0.06850976258603735,0.006472731872138629,0.010501139492332114,0.03152785755837536,0.10097307678738095,0.049791990372871374,0.047183523909626185,0.033954518264514524,0.04878685000681753,0.050805591759789416,0.070957199726365,0.07242844724267668,0.15424043879132576,0.15644574549789678,0.0022345618726481503,-0.007494927463701204,-0.011445016579106149,-0.02732257063817101,0.018753865434429938,0.025640218576919206,0.04084799070776898,0.05227084297317148,0.038588422712301916,0.05074597168343651,0.06330983893867204,0.04826182643543512,0.08973401210159812,0.043766317180551864,0.12426717011821989,0.052910648541236664,0.05249961997861302,0.031191529632332127,0.03061125269151608,0.032265043470974995,0.00042156859665602736,0.05227084297317148,0.0538619729649598,0.05046635645628386,0.024025672622683784,0.02524094826071385,0.07636724950557684,-0.0020024226147202923,-0.06470101184935835,-0.0007328539675082988,-0.007830757768589929,-0.008904188374433002,-0.008660972180443597,0.008814086893665118,0.008814086483700398,0.05516259291319564,0.05895402714423027,0.05576610443950446,0.022902130184597042,0.0319486394271066,0.046423040189992056,0.08443379763833812,0.004536123013188224,-0.02028833729823005,0.009197975605381752,0.00744772650177881,0.08230056503341984,0.039624359796960384,-0.10029724610056409,-0.0038774537193875416,-0.0004710299641121902
return_5d,-0.0011031398414599728,-0.0002265353868891235,-0.0003828694000420571,0.000306983774048037,0.4478495790789924,0.44683035866451176,0.022902130136971757,1.0,0.49694019720215543,0.2854690524686289,0.12939142983999652,0.1298017979297762,0.09571702887172798,0.07092468689374415,0.0660920947989125,0.05713500933689552,0.04478544211951182,0.04478544209447295,-0.13543597949488134,-0.05889858509460457,0.001907501027183956,0.14697560509122454,-0.006582080279280167,-0.007200352795170049,-0.008474969218480096,0.39093749620286466,0.38044944759077554,0.2859262580046798,0.28482433246353267,0.14828148274574576,0.14671267641785907,0.2343138688472404,-0.012527583765514093,0.018223614564655356,0.04239629786171881,0.008865599667120387,0.006123481067834621,0.006313239770955171,-0.006714622043614397,0.7650108367542492,-0.007468781431375822,0.5209485769403254,-0.007884713975325915,0.37856298130732374,-0.008196074237097617,0.2750840136824697,-0.0049196402525931646,-0.006371888334916007,0.5451461964544156,0.07754405501784553,0.03218060515922359,0.16161478019364872,-0.006714622043614397,-0.00634866363252938,-0.007114709512589899,0.07913956890071076,0.710748890177167,-0.003979415136523234,1.4359804197211973e-05,0.02110397155771976,0.17473829661538454,-0.0028343315102264143,0.022855857983480853,0.03092176663421436,0.3734524061935797,0.37345240605024976,0.017094117622700297,-0.006696951268898406,0.0040410175197444055,0.9999999999998738,0.7049815251534619,0.4969401970815885,0.2854690525217458,0.28107148177808344,0.02698149845428999,0.350131088341601,0.3133122272655631,0.06707243272051355,0.3875168928071797,0.06972884048236316,0.01249243893566276,-0.00909514493266906
return_20d,-0.0006508921764063402,-0.00015637184941958484,-0.00032709121048968634,3.4174097147887155e-05,0.2227267838544613,0.2228543275276681,0.04642304063448537,0.49694019720215543,1.0,0.5737147055578703,0.2626414973858469,0.07785761119348096,0.10177895892556459,0.10970467767762421,0.10219723181488866,0.09974306680149995,0.08327633947311856,0.08327633943287494,-0.2897746234855216,-0.14163417624256527,-0.0033285743947923355,0.25701005939422816,-0.01064151735873186,-0.012721198252743326,-0.016572217729303618,0.7401291072035504,0.7238767025937695,0.5470718131542454,0.5463119554964303,0.2919678545443691,0.2892429149254895,0.1174774315933358,-0.13094112430101876,-0.04344358759762061,0.05413148371692715,0.024626004039888058,0.015906660332850365,0.013580310569855187,-0.007737018944601955,0.8497265623789191,-0.012823121331685878,0.8743210015881001,-0.014904290424429052,0.6981399401171585,-0.016294044623016944,0.5302035692996774,-0.004325097062780144,-0.007989922133569723,0.7209122989668015,0.1969126978532901,0.1684765506432282,0.12928794266845625,-0.007737018944601955,-0.006624405409249226,-0.008963504240570233,0.16181645560535715,0.6555330843903227,-0.0008102889273577063,0.001256210737441497,0.06022239897796254,0.0473054847695072,0.004542982572123092,0.01861960909699736,0.020264859520239684,0.17972550823726277,0.17972550790274333,0.013957620548394998,-0.002989218507728287,0.00484634977113946,0.4969401967224831,0.7052451132849967,0.9999999999999518,0.5737147056569915,0.14710537362930845,-0.017271001657931148,0.1690410632062915,0.15226186618054144,0.14560743768169385,0.7618935955501273,0.05748173276738527,0.008030662907543291,-0.006693004381688402
return_60d,-0.0006645038162347697,-0.00028189652224597315,-0.0006137910215353046,-0.0003196430163693803,0.12794108765815598,0.1274517226065744,0.08443379766704469,0.2854690524686289,0.5737147055578703,1.0,0.46379041386858816,0.07293853339065959,0.09007570973403159,0.10216707810854576,0.12933877560810123,0.13796823497860006,0.130896034829434,0.13089603499995933,-0.2374550715282695,-0.27782615469688,-0.014960322476001814,0.3714464631491575,-0.008004633771106155,-0.016231193232616375,-0.027016699951694517,0.6180055211345328,0.6141109996390359,0.9015147702845167,0.9145242194478559,0.48998861448447883,0.49008465620333486,0.06071385343980465,-0.2407204245302851,-0.21884741192922533,0.03270115952532192,0.05144883559951907,0.05634529372084592,0.03342616823203836,-0.004757728243522747,0.48672475192399867,-0.011700281944374686,0.7778277774965018,-0.019741463621250663,0.9313600303567766,-0.02512820085143874,0.8121139681692545,-0.0028927727483567846,-0.006069854933694438,0.4089726716675559,0.17075430822199403,0.17828325492286753,0.007746669424506537,-0.004757728243522747,-0.003841771418213718,-0.005768675588215024,0.10096736262876999,0.3711392596613496,0.008595129297131713,0.0003468624460903658,0.06168850524792542,0.00980477428898852,-0.0009051988403442931,0.04706929467318219,0.04614423017686316,0.09804341012558461,0.09804340916149606,0.01654094528581824,0.005337304154150026,0.009450257311963459,0.2854690524137564,0.4042991693632709,0.5737147055634063,0.9999999999999941,0.08054430803579983,-0.08929190330870812,0.09981319010661067,0.08821583353265997,0.1924531642779914,0.4313785556225364,0.04621732483543481,0.006550482464182182,-0.0030453901117672827
